fault_id,fault_type,affected_bus,fault_resistance_ohm,inception_sample,fault_location_pct
146,SLG,5,36.0067,167,43.35
147,SLG,5,7.1178,167,2.75
148,SLG,5,4.2482,167,88.94
149,SLG,1,39.6832,167,68.74
150,SLG,30,30.3257,167,65.0
151,SLG,10,12.6676,167,54.64
152,SLG,30,43.3098,167,95.6
153,SLG,5,4.3036,167,17.1
154,SLG,5,20.9109,167,1.31
155,SLG,30,39.2928,167,88.51
156,SLG,5,41.0962,167,90.08
157,SLG,5,30.3866,167,99.79
158,SLG,1,33.2296,167,55.12
159,SLG,5,26.878,167,51.97
160,SLG,1,22.2384,167,44.01
161,SLG,5,17.281,167,86.21
162,SLG,10,40.6176,167,20.17
163,SLG,10,11.4802,167,13.52
164,SLG,10,19.483,167,10.69
165,SLG,1,24.7917,167,47.95
166,SLG,30,34.1285,167,79.0
167,SLG,10,29.2333,167,74.1
168,SLG,5,34.2186,167,56.62
169,SLG,1,18.9432,167,99.52
170,SLG,1,14.82,167,13.99
171,SLG,1,35.3061,167,83.53
172,SLG,1,21.116,167,82.66
173,SLG,30,2.3927,167,7.77
174,SLG,30,36.5323,167,96.94
175,SLG,10,36.2808,167,90.6
176,SLG,10,29.9476,167,25.97
177,SLG,1,14.7442,167,81.61
178,SLG,30,9.1085,167,76.02
179,SLG,5,13.2031,167,87.8
180,SLG,5,35.2118,167,8.0
181,SLG,5,20.5498,167,20.37
182,SLG,30,12.7378,167,63.53
183,SLG,30,21.6896,167,90.59
184,SLG,30,35.1043,167,10.75
185,SLG,5,24.5609,167,34.64
186,SLG,10,22.6111,167,31.8
187,SLG,10,45.8333,167,39.13
188,SLG,10,25.8506,167,92.47
189,SLG,1,43.5381,167,42.52
190,SLG,10,33.4319,167,27.69
191,SLG,1,28.9914,167,73.05
192,SLG,5,22.5967,167,75.86
193,SLG,10,3.5991,167,35.13
194,SLG,10,15.8067,167,59.73
195,SLG,30,4.2876,167,8.39
196,SLG,10,42.7054,167,65.99
197,SLG,30,12.2287,167,25.04
198,SLG,30,0.8349,167,6.52
199,SLG,5,17.8204,167,51.88
200,LL,10,43.5968,167,31.37
201,LL,30,43.9343,167,32.79
202,LL,30,22.3709,167,2.97
203,LL,30,23.4839,167,49.42
204,LL,10,15.9961,167,21.32
205,LL,5,37.0943,167,32.95
206,LL,10,36.5205,167,33.21
207,LL,10,49.1608,167,90.99
208,LL,5,32.8031,167,82.67
209,LL,1,44.3871,167,25.08
210,LL,30,26.2071,167,55.88
211,LL,10,31.8418,167,71.42
212,LL,5,26.2158,167,47.62
213,LL,1,23.943,167,66.03
214,LL,5,49.4622,167,34.79
215,LL,30,42.2532,167,34.49
216,LL,10,43.9001,167,88.12
217,LL,1,26.867,167,84.42
218,LL,30,34.6396,167,7.09
219,LL,5,28.4771,167,76.64
220,LL,10,29.5435,167,4.41
221,LL,30,6.0031,167,15.69
222,LL,1,23.883,167,13.76
223,LL,10,4.5579,167,18.06
224,LL,5,23.0919,167,34.07
225,LL,10,19.3861,167,76.47
226,LL,10,26.2351,167,71.42
227,LL,30,22.4108,167,86.11
228,LL,10,41.9627,167,17.41
229,LL,30,42.3282,167,51.04
230,LL,1,17.8317,167,95.17
231,LL,1,40.551,167,81.5
232,LL,10,11.4989,167,64.87
233,LL,1,39.9359,167,79.83
234,LL,10,3.1047,167,31.83
235,LL,1,12.1919,167,56.41
236,LL,10,6.6232,167,97.95
237,LL,10,42.711,167,31.83
238,LL,5,36.4329,167,42.64
239,LL,10,45.3434,167,68.56
240,LL,30,8.8779,167,75.56
241,LL,1,16.0737,167,39.48
242,LL,1,1.0091,167,59.17
243,LL,10,12.1392,167,90.85
244,LL,5,38.6402,167,86.36
245,LL,30,35.7315,167,94.54
246,LL,1,18.2836,167,10.8
247,LL,10,4.9038,167,47.83
248,LL,5,10.0487,167,52.51
249,LL,1,24.1679,167,5.71
250,LL,30,35.5285,167,25.72
251,LL,1,42.1639,167,90.99
252,LL,1,26.8774,167,59.48
253,LL,1,3.3112,167,32.06
254,LL,1,24.903,167,37.63
255,LL,1,13.8426,167,2.91
256,LL,5,31.2431,167,60.91
257,LL,30,19.1853,167,50.6
258,LL,1,28.0404,167,83.12
259,LL,1,10.0943,167,73.31
260,LL,30,35.3271,167,24.6
261,LL,5,20.8994,167,10.76
262,LL,30,44.953,167,79.09
263,LL,5,34.618,167,61.71
264,LL,30,15.112,167,84.89
265,LL,30,33.7163,167,12.0
266,LL,10,27.475,167,7.39
267,LL,10,3.1805,167,62.78
268,LL,1,47.8559,167,24.61
269,LL,5,28.2159,167,79.51
270,LL,1,18.1537,167,25.14
271,LL,5,23.2673,167,32.39
272,LL,5,35.6611,167,26.71
273,LL,10,44.0823,167,70.82
274,LL,1,2.8031,167,80.04
275,LL,1,10.4446,167,31.98
276,LL,1,38.2101,167,56.64
277,LL,30,43.2084,167,35.29
278,LL,5,35.0004,167,19.42
279,LL,5,45.4246,167,90.06
280,DLG,1,23.8592,167,18.87
281,DLG,30,41.7761,167,70.88
282,DLG,5,30.1824,167,83.7
283,DLG,1,19.0587,167,9.93
284,DLG,1,26.4271,167,67.58
285,DLG,5,11.3164,167,9.43
286,DLG,5,19.3266,167,64.35
287,DLG,10,13.4457,167,71.23
288,DLG,10,46.1663,167,20.64
289,DLG,1,17.2912,167,44.75
290,DLG,5,38.2084,167,30.57
291,DLG,5,41.5922,167,61.93
292,DLG,10,20.1872,167,34.53
293,DLG,1,23.2975,167,31.29
294,DLG,5,16.537,167,50.84
295,DLG,5,14.6324,167,64.35
296,DLG,10,47.6592,167,16.48
297,DLG,1,45.1575,167,58.3
298,DLG,1,28.1818,167,58.05
299,DLG,30,24.7869,167,29.6
300,DLG,30,23.6583,167,82.83
301,DLG,1,4.1072,167,26.75
302,DLG,1,20.5692,167,98.21
303,DLG,5,19.8426,167,98.42
304,DLG,10,30.8985,167,39.08
305,DLG,10,30.3439,167,84.54
306,DLG,1,31.793,167,6.48
307,DLG,30,28.7031,167,42.7
308,DLG,5,22.3135,167,72.15
309,DLG,10,25.2396,167,0.94
310,DLG,5,28.5222,167,37.78
311,DLG,1,2.7365,167,10.09
312,DLG,10,8.6017,167,41.31
313,DLG,5,34.3865,167,5.39
314,DLG,1,19.9643,167,79.1
315,DLG,10,13.8284,167,20.49
316,DLG,10,27.253,167,12.83
317,DLG,5,31.2726,167,82.8
318,DLG,30,44.2181,167,25.85
319,DLG,10,24.2958,167,93.56
320,DLG,10,29.7249,167,64.78
321,DLG,1,45.3659,167,26.71
322,DLG,10,34.4795,167,69.67
323,DLG,1,38.3345,167,6.56
324,DLG,1,30.8895,167,50.21
325,DLG,10,46.3544,167,63.63
326,DLG,30,29.786,167,17.98
327,DLG,30,19.0132,167,41.35
328,DLG,5,41.0198,167,0.95
329,DLG,30,44.0665,167,40.41
330,DLG,10,32.317,167,73.12
331,DLG,10,26.7632,167,65.8
332,DLG,30,28.1068,167,86.06
333,DLG,5,45.7598,167,91.45
334,DLG,5,33.8669,167,52.4
335,DLG,30,18.245,167,57.06
336,DLG,10,6.6678,167,83.22
337,DLG,10,28.7532,167,11.15
338,DLG,10,1.398,167,24.64
339,DLG,30,47.2337,167,31.2
340,DLG,1,26.3088,167,4.02
341,DLG,5,40.3871,167,9.04
342,DLG,1,48.136,167,27.09
343,DLG,30,29.231,167,78.85
344,DLG,5,18.586,167,54.75
345,DLG,5,18.6105,167,45.52
346,DLG,5,42.8714,167,94.49
347,DLG,1,26.614,167,98.27
348,DLG,10,46.2773,167,67.05
349,DLG,1,46.8382,167,55.68
350,DLG,30,21.0876,167,10.03
351,DLG,10,14.2293,167,42.22
352,DLG,5,3.5999,167,64.83
353,DLG,5,32.3141,167,71.38
354,DLG,10,10.6248,167,54.48
355,DLG,30,39.6909,167,23.24
356,DLG,30,23.2453,167,30.58
357,DLG,30,35.578,167,82.04
358,DLG,30,30.6313,167,15.67
359,DLG,5,19.2929,167,59.32
360,LLL,10,43.4547,167,2.98
361,LLL,10,46.881,167,31.5
362,LLL,30,22.6739,167,37.92
363,LLL,5,10.3034,167,48.68
364,LLL,30,4.0082,167,72.51
365,LLL,1,12.8901,167,28.85
366,LLL,5,10.7717,167,69.52
367,LLL,1,17.7925,167,5.49
368,LLL,5,43.9679,167,71.12
369,LLL,1,45.0308,167,41.5
370,LLL,30,25.0649,167,94.52
371,LLL,5,24.3643,167,79.25
372,LLL,30,27.4317,167,96.21
373,LLL,5,36.5917,167,85.52
374,LLL,10,24.4738,167,77.1
375,LLL,1,21.5909,167,9.08
376,LLL,10,49.4836,167,89.61
377,LLL,30,39.0848,167,38.75
378,LLL,10,47.2422,167,75.23
379,LLL,1,10.2634,167,9.26
380,LLL,5,34.4093,167,54.11
381,LLL,10,27.3986,167,36.7
382,LLL,5,12.7805,167,27.22
383,LLL,1,8.9281,167,29.72
384,LLL,1,8.0873,167,79.42
385,LLL,30,48.1961,167,42.48
386,LLL,5,29.9999,167,57.45
387,LLL,1,2.27,167,29.91
388,LLL,1,35.7176,167,9.15
389,LLL,30,41.9445,167,88.63
390,LLL,30,29.5111,167,41.89
391,LLL,5,30.0197,167,2.7
392,LLL,30,33.5264,167,19.87
393,LLL,10,20.3348,167,88.99
394,LLL,30,21.4286,167,98.51
395,LLL,10,39.4356,167,37.16
396,LLL,30,34.2784,167,88.26
397,LLL,5,27.8227,167,85.52
398,LLL,1,3.3456,167,31.91
399,LLL,10,27.4515,167,13.81
400,LLL,10,39.6685,167,36.99
401,LLL,1,22.1376,167,86.6
402,LLL,10,5.7806,167,55.64
403,LLL,1,1.2458,167,63.9
404,LLL,1,36.7811,167,72.83
405,LLL,5,33.9256,167,52.73
406,LLL,30,5.6373,167,78.11
407,LLL,30,8.4962,167,38.45
408,LLL,1,2.3322,167,57.43
409,LLL,10,9.6177,167,55.24
410,LLL,10,1.7693,167,21.48
411,LLL,10,22.4088,167,33.34
412,LLL,5,24.7382,167,17.57
413,LLL,10,49.8648,167,11.77
414,LLL,5,22.438,167,8.3
415,LLL,5,42.0287,167,77.53
416,LLL,5,15.6614,167,64.98
417,LLL,5,19.4899,167,64.23
418,LLL,1,41.5006,167,81.18
419,LLL,30,23.0624,167,47.21
420,LLL,10,22.1172,167,46.25
421,LLL,10,14.59,167,26.96
422,LLL,1,23.5814,167,48.18
423,LLL,5,8.4093,167,76.37
424,LLL,10,15.6332,167,48.59
425,LLL,1,30.9821,167,59.91
426,LLL,1,45.4213,167,67.44
427,LLL,1,48.6556,167,40.57
428,LLL,30,5.8648,167,69.78
429,LLL,5,0.7257,167,28.62
430,LLL,5,24.282,167,63.3
431,LLL,5,20.8611,167,17.31
432,LLL,5,19.2506,167,54.35
433,LLL,5,33.5648,167,29.39
434,LLL,30,21.9098,167,18.55
435,LLL,10,33.4323,167,31.99
436,LLL,1,17.2711,167,47.46
437,LLL,10,28.8312,167,49.46
438,LLL,30,31.0388,167,34.8
439,LLL,10,33.6576,167,4.99
440,HIF,1,823.4391,167,82.0
441,HIF,1,976.8458,167,7.59
442,HIF,30,1873.9975,167,67.64
443,HIF,30,1076.8161,167,36.23
444,HIF,5,1987.3345,167,98.26
445,HIF,10,849.2021,167,48.23
446,HIF,30,524.2289,167,0.63
447,HIF,30,1732.8373,167,54.47
448,HIF,10,978.9044,167,17.31
449,HIF,5,1938.2412,167,19.67
450,HIF,30,1638.0237,167,83.96
451,HIF,30,1632.6745,167,84.16
452,HIF,10,1706.8123,167,29.52
453,HIF,1,1766.5998,167,54.68
454,HIF,1,985.298,167,8.44
455,HIF,1,1441.2541,167,53.01
456,HIF,5,1884.2556,167,31.32
457,HIF,30,1246.3879,167,95.74
458,HIF,10,1780.967,167,82.14
459,HIF,30,1459.3498,167,99.34
460,HIF,1,1066.9679,167,6.69
461,HIF,5,871.4229,167,15.16
462,HIF,30,535.9399,167,95.69
463,HIF,30,1555.0072,167,51.01
464,HIF,10,1081.1159,167,52.46
465,HIF,10,854.2246,167,11.2
466,HIF,10,828.7399,167,53.14
467,HIF,30,1918.3355,167,17.04
468,HIF,5,1172.5436,167,1.1
469,HIF,30,1171.7079,167,56.72
470,HIF,5,1928.5649,167,25.71
471,HIF,30,898.3068,167,68.93
472,HIF,30,1707.4117,167,85.55
473,HIF,1,643.8361,167,83.66
474,HIF,1,1481.2754,167,27.59
475,HIF,10,1082.4127,167,67.97
476,HIF,5,1886.7129,167,25.72
477,HIF,10,521.1975,167,94.05
478,HIF,5,1094.1477,167,24.52
479,HIF,1,892.6493,167,67.67
480,HIF,5,1483.1302,167,46.72
481,HIF,5,1985.078,167,20.54
482,HIF,1,1259.6822,167,54.81
483,HIF,10,550.8339,167,88.07
484,HIF,10,569.5348,167,37.54
485,HIF,30,1209.4172,167,61.67
486,HIF,1,897.1128,167,48.14
487,HIF,1,1058.9116,167,63.73
488,HIF,5,708.7826,167,96.47
489,HIF,10,1898.9622,167,40.32
490,HIF,30,632.3848,167,41.86
491,HIF,10,1452.7957,167,36.28
492,HIF,10,1859.4482,167,14.31
493,HIF,5,860.5134,167,36.43
494,HIF,30,647.9499,167,38.85
495,HIF,5,1793.3949,167,43.39
496,HIF,1,1937.1654,167,74.15
497,HIF,5,1153.7122,167,50.39
498,HIF,5,969.6052,167,2.17
499,HIF,5,1077.5079,167,21.39
