supplier_id,supplier_name,country,financial_stability_score,geopolitical_risk_score,natural_disaster_risk,single_customer_dependency_pct,quality_score,on_time_delivery_pct,risk_tier
supplier_131,GlobalParts TAI-131,Taiwan,63,66,66,51.1,63,82,High
supplier_132,PrecisionCo TAI-132,Taiwan,100,84,66,14.1,85,100,Medium
supplier_133,UniComp CHI-133,China,62,67,41,33.2,63,80,High
supplier_134,EliteMfg TAI-134,Taiwan,56,90,64,57.1,60,86,High
supplier_135,CoreTech JAP-135,Japan,51,25,97,10.8,78,100,Medium
supplier_136,PrimeParts CHI-136,China,56,86,39,13.7,63,87,High
supplier_137,NexGen SOU-137,South Korea,70,41,50,51.6,83,93,Medium
supplier_138,ApexManuf CHI-138,China,47,67,55,51.7,97,82,High
supplier_139,StarComp CHI-139,China,65,66,58,6.4,76,84,High
supplier_140,TechMfg TAI-140,Taiwan,78,74,62,57.8,43,78,High
supplier_141,GlobalParts MEX-141,Mexico,52,62,55,54.4,79,79,High
supplier_142,PrecisionCo CHI-142,China,63,75,50,53.1,93,80,High
supplier_143,UniComp CHI-143,China,54,63,55,26.9,62,92,High
supplier_144,EliteMfg TAI-144,Taiwan,81,89,72,13.4,100,81,High
supplier_145,CoreTech IND-145,India,54,44,72,11.8,68,77,High
supplier_146,PrimeParts USA-146,USA,65,32,12,17.8,100,88,Medium
supplier_147,NexGen CHI-147,China,76,72,59,43.2,69,86,High
supplier_148,ApexManuf CHI-148,China,35,71,51,33.5,73,75,High
supplier_149,StarComp USA-149,USA,42,21,21,31.8,80,82,Medium
supplier_150,TechMfg CHI-150,China,63,53,61,11.8,80,76,High
supplier_151,GlobalParts USA-151,USA,64,31,30,36.3,83,88,Medium
supplier_152,PrecisionCo CHI-152,China,43,71,52,48.6,73,87,High
supplier_153,UniComp GER-153,Germany,73,26,13,8.3,59,68,Medium
supplier_154,EliteMfg CHI-154,China,35,82,61,49.4,71,79,High
supplier_155,CoreTech TAI-155,Taiwan,68,94,86,43.3,83,98,High
supplier_156,PrimeParts SOU-156,South Korea,66,41,38,52.3,77,73,Medium
supplier_157,NexGen CHI-157,China,85,80,69,57.9,100,69,High
supplier_158,ApexManuf TAI-158,Taiwan,52,73,83,15.4,77,77,High
supplier_159,StarComp TAI-159,Taiwan,49,91,77,37.6,84,58,Critical
supplier_160,TechMfg JAP-160,Japan,51,34,71,8.7,66,94,Medium
supplier_161,GlobalParts IND-161,India,76,65,48,47.0,63,83,High
supplier_162,PrecisionCo SOU-162,South Korea,32,29,36,16.9,58,72,High
supplier_163,UniComp TAI-163,Taiwan,73,97,72,41.9,75,79,High
supplier_164,EliteMfg TAI-164,Taiwan,71,73,77,9.9,90,85,High
supplier_165,CoreTech TAI-165,Taiwan,66,63,60,10.6,77,87,High
supplier_166,PrimeParts USA-166,USA,56,19,11,33.8,84,88,Medium
supplier_167,NexGen CHI-167,China,56,71,60,13.1,76,100,High
supplier_168,ApexManuf CHI-168,China,55,85,43,42.1,88,79,High
supplier_169,StarComp CHI-169,China,51,55,48,41.9,67,85,High
supplier_170,TechMfg CHI-170,China,47,72,43,33.1,73,73,High
supplier_171,GlobalParts CHI-171,China,60,65,41,9.2,75,62,High
supplier_172,PrecisionCo CHI-172,China,60,84,47,24.2,69,90,High
supplier_173,UniComp JAP-173,Japan,85,34,61,36.0,94,76,Medium
supplier_174,EliteMfg JAP-174,Japan,84,25,76,59.7,72,76,Medium
supplier_175,CoreTech SOU-175,South Korea,73,45,44,41.0,68,86,Medium
supplier_176,PrimeParts TAI-176,Taiwan,54,90,68,31.1,85,84,High
supplier_177,NexGen JAP-177,Japan,45,19,85,32.9,59,88,High
supplier_178,ApexManuf CHI-178,China,61,66,43,51.4,56,76,High
supplier_179,StarComp GER-179,Germany,71,30,20,16.1,98,71,Medium
supplier_180,TechMfg TAI-180,Taiwan,73,84,61,45.3,73,91,High
supplier_181,GlobalParts VIE-181,Vietnam,42,58,60,16.3,79,97,High
supplier_182,PrecisionCo CHI-182,China,77,73,62,30.4,85,62,High
supplier_183,UniComp TAI-183,Taiwan,55,93,57,51.3,88,77,High
supplier_184,EliteMfg SOU-184,South Korea,40,39,60,10.2,70,75,High
supplier_185,CoreTech TAI-185,Taiwan,88,77,63,29.9,86,75,High
supplier_186,PrimeParts TAI-186,Taiwan,51,91,70,58.0,58,73,Critical
supplier_187,NexGen CHI-187,China,51,54,44,36.9,74,100,Medium
supplier_188,ApexManuf CHI-188,China,65,73,60,20.9,84,87,High
supplier_189,StarComp CHI-189,China,71,100,64,39.2,84,77,High
supplier_190,TechMfg CHI-190,China,76,61,43,21.5,91,90,Medium
supplier_191,GlobalParts SOU-191,South Korea,82,48,41,56.4,89,95,Medium
supplier_192,PrecisionCo SOU-192,South Korea,69,43,55,25.7,80,89,Medium
supplier_193,UniComp SOU-193,South Korea,68,36,43,5.1,100,92,Medium
supplier_194,EliteMfg CHI-194,China,61,82,58,36.8,73,86,High
supplier_195,CoreTech MAL-195,Malaysia,68,40,41,47.5,85,97,Medium
supplier_196,PrimeParts CHI-196,China,69,70,62,41.8,93,95,Medium
supplier_197,NexGen CHI-197,China,88,78,50,47.0,84,79,Medium
supplier_198,ApexManuf CHI-198,China,89,80,46,38.6,81,74,High
supplier_199,StarComp CHI-199,China,57,89,73,56.3,95,97,High
supplier_200,TechMfg MAL-200,Malaysia,78,43,55,7.6,71,92,Medium
supplier_201,GlobalParts CHI-201,China,91,72,51,43.3,72,71,High
supplier_202,PrecisionCo GER-202,Germany,87,10,15,16.6,95,93,Low
supplier_203,UniComp TAI-203,Taiwan,66,68,66,55.8,82,86,High
supplier_204,EliteMfg SOU-204,South Korea,73,52,39,34.4,68,100,Medium
supplier_205,CoreTech TAI-205,Taiwan,65,82,75,8.2,80,84,High
supplier_206,PrimeParts CHI-206,China,56,79,38,22.6,89,91,High
supplier_207,NexGen JAP-207,Japan,43,22,88,59.7,88,95,Medium
supplier_208,ApexManuf MAL-208,Malaysia,87,50,55,48.1,91,73,Medium
supplier_209,StarComp CHI-209,China,51,62,64,5.2,81,84,High
supplier_210,TechMfg JAP-210,Japan,53,23,68,39.1,73,74,Medium
supplier_211,GlobalParts CHI-211,China,78,81,42,26.9,100,75,Medium
supplier_212,PrecisionCo JAP-212,Japan,76,31,85,13.4,74,85,Medium
supplier_213,UniComp JAP-213,Japan,71,29,61,10.6,92,74,Medium
supplier_214,EliteMfg TAI-214,Taiwan,65,77,58,39.0,71,81,High
supplier_215,CoreTech JAP-215,Japan,48,31,86,55.6,78,66,High
supplier_216,PrimeParts CHI-216,China,80,76,59,59.1,70,56,High
supplier_217,NexGen CHI-217,China,54,79,55,15.5,62,81,High
supplier_218,ApexManuf CHI-218,China,51,80,50,48.4,70,87,High
supplier_219,StarComp TAI-219,Taiwan,70,82,71,54.3,67,77,High
supplier_220,TechMfg GER-220,Germany,64,35,1,15.2,81,81,Medium
supplier_221,GlobalParts CHI-221,China,86,71,52,52.0,100,99,Medium
supplier_222,PrecisionCo TAI-222,Taiwan,67,79,70,47.1,69,94,High
supplier_223,UniComp JAP-223,Japan,73,29,62,18.9,57,79,Medium
supplier_224,EliteMfg CHI-224,China,61,77,73,47.6,97,91,High
supplier_225,CoreTech JAP-225,Japan,86,48,67,9.1,88,84,Medium
supplier_226,PrimeParts CHI-226,China,73,72,49,29.8,66,91,High
supplier_227,NexGen USA-227,USA,77,4,16,56.6,86,81,Low
supplier_228,ApexManuf TAI-228,Taiwan,68,65,93,12.9,85,79,High
supplier_229,StarComp TAI-229,Taiwan,60,99,50,33.5,65,80,High
supplier_230,TechMfg CHI-230,China,60,65,55,18.0,76,84,High
supplier_231,GlobalParts TAI-231,Taiwan,49,95,64,54.2,72,84,High
supplier_232,PrecisionCo USA-232,USA,89,44,32,37.2,100,87,Medium
supplier_233,UniComp CHI-233,China,93,82,56,41.1,58,87,High
supplier_234,EliteMfg JAP-234,Japan,46,13,76,15.7,79,86,Medium
supplier_235,CoreTech TAI-235,Taiwan,72,70,78,32.8,85,73,High
supplier_236,PrimeParts JAP-236,Japan,67,40,84,55.8,73,75,High
supplier_237,NexGen SOU-237,South Korea,60,31,38,34.7,70,84,Medium
supplier_238,ApexManuf TAI-238,Taiwan,66,90,63,55.8,69,73,High
supplier_239,StarComp CHI-239,China,77,73,55,11.4,95,68,High
supplier_240,TechMfg SOU-240,South Korea,79,47,35,14.3,59,99,Medium
supplier_241,GlobalParts CHI-241,China,77,66,49,25.1,76,80,Medium
supplier_242,PrecisionCo TAI-242,Taiwan,50,87,82,11.9,76,89,High
supplier_243,UniComp CHI-243,China,69,64,48,53.7,82,85,Medium
supplier_244,EliteMfg SOU-244,South Korea,73,29,46,32.5,100,81,Medium
supplier_245,CoreTech SOU-245,South Korea,74,73,41,26.3,68,100,Medium
supplier_246,PrimeParts CHI-246,China,52,79,50,27.9,62,98,High
supplier_247,NexGen JAP-247,Japan,65,17,87,21.8,84,93,Medium
supplier_248,ApexManuf TAI-248,Taiwan,77,58,76,39.7,76,83,High
supplier_249,StarComp JAP-249,Japan,45,31,61,26.5,81,95,Medium
supplier_250,TechMfg CHI-250,China,57,89,64,41.5,66,70,High
supplier_251,GlobalParts CHI-251,China,74,67,66,49.0,69,87,High
supplier_252,PrecisionCo TAI-252,Taiwan,59,80,79,47.1,81,87,High
supplier_253,UniComp CHI-253,China,44,78,56,8.1,87,82,High
supplier_254,EliteMfg CHI-254,China,85,72,57,54.4,85,81,Medium
supplier_255,CoreTech SOU-255,South Korea,94,65,48,44.3,61,70,Medium
supplier_256,PrimeParts CHI-256,China,65,75,53,44.6,93,100,High
supplier_257,NexGen SOU-257,South Korea,89,55,42,38.7,80,100,Medium
supplier_258,ApexManuf CHI-258,China,64,70,66,23.3,69,82,High
supplier_259,StarComp CHI-259,China,62,75,66,49.5,93,86,High
supplier_260,TechMfg TAI-260,Taiwan,100,83,69,14.6,75,67,High
supplier_261,GlobalParts JAP-261,Japan,66,27,59,26.0,55,81,Medium
supplier_262,PrecisionCo CHI-262,China,73,75,50,46.7,70,85,High
supplier_263,UniComp CHI-263,China,70,65,57,39.8,78,100,Medium
supplier_264,EliteMfg GER-264,Germany,67,12,10,42.1,88,78,Low
supplier_265,CoreTech MEX-265,Mexico,61,44,50,59.2,74,93,Medium
supplier_266,PrimeParts TAI-266,Taiwan,72,95,77,8.6,100,84,High
supplier_267,NexGen TAI-267,Taiwan,70,79,85,32.5,72,90,High
supplier_268,ApexManuf CHI-268,China,57,80,59,42.6,86,70,High
supplier_269,StarComp SOU-269,South Korea,72,40,68,33.2,72,71,Medium
supplier_270,TechMfg TAI-270,Taiwan,89,76,62,34.1,87,91,Medium
supplier_271,GlobalParts CHI-271,China,70,76,57,7.9,85,95,High
supplier_272,PrecisionCo CHI-272,China,70,66,53,28.0,58,67,High
supplier_273,UniComp CHI-273,China,83,90,42,32.9,75,82,High
supplier_274,EliteMfg MAL-274,Malaysia,74,27,38,20.3,78,73,Medium
supplier_275,CoreTech TAI-275,Taiwan,81,75,65,34.2,78,93,High
supplier_276,PrimeParts TAI-276,Taiwan,55,66,66,39.6,65,71,High
supplier_277,NexGen TAI-277,Taiwan,72,72,55,43.1,72,96,High
supplier_278,ApexManuf JAP-278,Japan,70,32,72,60.0,84,73,Medium
supplier_279,StarComp CHI-279,China,68,78,37,53.3,66,87,High
supplier_280,TechMfg CHI-280,China,69,82,65,41.1,90,81,High
supplier_281,GlobalParts CHI-281,China,100,62,49,25.2,89,89,Medium
supplier_282,PrecisionCo TAI-282,Taiwan,80,59,85,27.8,94,64,High
supplier_283,UniComp SOU-283,South Korea,73,39,45,12.9,84,74,Medium
supplier_284,EliteMfg TAI-284,Taiwan,69,78,74,21.6,81,72,High
supplier_285,CoreTech TAI-285,Taiwan,71,100,86,29.7,83,55,High
supplier_286,PrimeParts VIE-286,Vietnam,70,64,63,13.4,76,90,High
supplier_287,NexGen CHI-287,China,52,86,54,30.4,93,69,High
supplier_288,ApexManuf TAI-288,Taiwan,61,74,91,55.7,54,79,High
supplier_289,StarComp TAI-289,Taiwan,76,87,92,59.4,82,76,High
supplier_290,TechMfg TAI-290,Taiwan,94,76,63,54.5,64,80,High
supplier_291,GlobalParts USA-291,USA,66,27,21,9.3,60,87,Medium
supplier_292,PrecisionCo CHI-292,China,71,69,50,47.7,96,77,Medium
supplier_293,UniComp MAL-293,Malaysia,71,49,42,46.3,79,71,Medium
supplier_294,EliteMfg CHI-294,China,72,75,60,9.0,80,98,High
supplier_295,CoreTech TAI-295,Taiwan,100,92,58,48.6,74,87,High
supplier_296,PrimeParts TAI-296,Taiwan,58,62,66,16.4,83,89,High
supplier_297,NexGen USA-297,USA,73,24,30,57.2,80,100,Medium
supplier_298,ApexManuf TAI-298,Taiwan,72,80,71,14.8,74,87,High
supplier_299,StarComp CHI-299,China,62,73,47,6.6,87,82,High
supplier_300,TechMfg CHI-300,China,39,80,56,51.9,89,71,High
supplier_301,GlobalParts CHI-301,China,85,74,32,6.0,75,79,Medium
supplier_302,PrecisionCo USA-302,USA,58,18,20,17.4,95,82,Medium
supplier_303,UniComp CHI-303,China,59,63,62,29.7,81,79,High
supplier_304,EliteMfg GER-304,Germany,62,3,8,53.2,82,77,Low
supplier_305,CoreTech TAI-305,Taiwan,68,88,53,11.9,68,74,High
supplier_306,PrimeParts CHI-306,China,73,69,42,18.6,91,65,High
supplier_307,NexGen CHI-307,China,47,80,52,37.8,87,87,High
supplier_308,ApexManuf TAI-308,Taiwan,54,84,57,52.3,85,76,High
supplier_309,StarComp CHI-309,China,82,97,52,14.9,74,85,High
supplier_310,TechMfg CHI-310,China,47,74,55,31.8,58,82,High
supplier_311,GlobalParts SOU-311,South Korea,89,42,38,17.7,68,66,Medium
supplier_312,PrecisionCo SOU-312,South Korea,60,35,41,36.7,74,80,Medium
supplier_313,UniComp CHI-313,China,69,69,44,5.2,92,86,Medium
supplier_314,EliteMfg CHI-314,China,60,73,34,33.2,75,75,High
supplier_315,CoreTech CHI-315,China,58,70,64,56.6,68,79,High
supplier_316,PrimeParts SOU-316,South Korea,62,53,41,41.1,86,79,Medium
supplier_317,NexGen JAP-317,Japan,90,29,66,22.0,94,80,Medium
supplier_318,ApexManuf JAP-318,Japan,84,23,67,22.8,69,93,Medium
supplier_319,StarComp VIE-319,Vietnam,75,46,64,51.6,84,100,Medium
supplier_320,TechMfg JAP-320,Japan,64,35,75,39.6,78,76,Medium
supplier_321,GlobalParts CHI-321,China,75,72,45,38.3,81,82,High
supplier_322,PrecisionCo CHI-322,China,90,56,67,24.3,82,79,Medium
supplier_323,UniComp SOU-323,South Korea,56,58,58,42.4,84,85,High
supplier_324,EliteMfg GER-324,Germany,95,0,18,28.2,51,81,Low
supplier_325,CoreTech MEX-325,Mexico,97,43,67,38.2,79,86,Medium
supplier_326,PrimeParts CHI-326,China,44,67,64,32.7,84,86,High
supplier_327,NexGen CHI-327,China,100,70,71,39.8,100,72,Medium
supplier_328,ApexManuf CHI-328,China,72,71,56,45.6,84,97,Medium
supplier_329,StarComp CHI-329,China,59,66,55,39.7,77,75,High
supplier_330,TechMfg TAI-330,Taiwan,87,76,84,12.0,87,90,High
supplier_331,GlobalParts TAI-331,Taiwan,57,83,89,20.2,90,91,High
supplier_332,PrecisionCo CHI-332,China,74,76,60,56.7,63,87,High
supplier_333,UniComp CHI-333,China,67,71,67,23.4,63,92,High
supplier_334,EliteMfg USA-334,USA,48,0,34,5.5,85,80,Medium
supplier_335,CoreTech TAI-335,Taiwan,49,68,67,22.8,83,80,High
supplier_336,PrimeParts USA-336,USA,72,21,28,15.6,75,86,Medium
supplier_337,NexGen MAL-337,Malaysia,73,15,56,19.7,86,72,Medium
supplier_338,ApexManuf CHI-338,China,65,64,62,57.4,68,90,High
supplier_339,StarComp CHI-339,China,60,65,64,8.7,88,93,High
supplier_340,TechMfg MAL-340,Malaysia,66,37,43,12.8,73,80,Medium
supplier_341,GlobalParts SOU-341,South Korea,78,56,43,17.8,71,66,Medium
supplier_342,PrecisionCo CHI-342,China,80,67,52,11.6,69,69,High
supplier_343,UniComp SOU-343,South Korea,63,41,40,21.6,88,68,Medium
supplier_344,EliteMfg TAI-344,Taiwan,79,81,69,46.3,82,78,High
supplier_345,CoreTech GER-345,Germany,67,26,7,41.9,79,73,Medium
supplier_346,PrimeParts CHI-346,China,44,71,69,19.0,82,63,High
supplier_347,NexGen IND-347,India,76,60,48,19.2,82,74,Medium
supplier_348,ApexManuf VIE-348,Vietnam,74,66,62,10.2,77,93,High
supplier_349,StarComp CHI-349,China,51,80,48,40.7,73,79,High
supplier_350,TechMfg CHI-350,China,92,60,59,59.7,88,71,Medium
supplier_351,GlobalParts TAI-351,Taiwan,50,72,71,14.4,64,76,High
supplier_352,PrecisionCo CHI-352,China,57,73,74,23.9,68,73,High
supplier_353,UniComp CHI-353,China,79,74,46,13.1,70,87,High
supplier_354,EliteMfg TAI-354,Taiwan,100,85,69,27.3,63,92,High
supplier_355,CoreTech MAL-355,Malaysia,80,35,62,12.1,89,87,Medium
supplier_356,PrimeParts IND-356,India,67,50,53,43.2,73,89,Medium
supplier_357,NexGen CHI-357,China,53,82,58,30.8,77,94,High
supplier_358,ApexManuf GER-358,Germany,51,4,14,38.0,71,89,Medium
supplier_359,StarComp CHI-359,China,73,69,56,41.0,75,68,High
supplier_360,TechMfg JAP-360,Japan,69,38,75,53.1,90,90,Medium
supplier_361,GlobalParts USA-361,USA,69,13,20,10.7,76,86,Medium
supplier_362,PrecisionCo GER-362,Germany,95,20,6,57.2,77,93,Low
supplier_363,UniComp CHI-363,China,66,80,53,16.4,60,100,High
supplier_364,EliteMfg GER-364,Germany,53,22,12,15.6,73,82,Medium
supplier_365,CoreTech CHI-365,China,73,79,65,52.9,83,100,High
