component_id,current_stock_units,weeks_of_supply,reorder_point,safety_stock_units,last_replenishment_date
COMP-0037,44286,21.4,1783,833,2024-06-06
COMP-0038,22912,25.3,9443,1597,2024-04-09
COMP-0039,47807,7.3,6036,687,2024-04-18
COMP-0040,15654,25.4,7046,3880,2024-05-27
COMP-0041,23836,26.0,681,4089,2024-04-15
COMP-0042,32175,19.0,2292,1692,2024-06-29
COMP-0043,1127,9.8,5622,5000,2024-05-26
COMP-0044,36666,7.5,2520,3902,2024-05-20
COMP-0045,2090,12.4,2556,1388,2024-05-09
COMP-0046,48178,17.8,7140,4836,2024-06-08
COMP-0047,11619,21.7,488,2098,2024-04-12
COMP-0048,32578,25.0,9791,1992,2024-05-03
COMP-0049,8363,11.9,8954,2992,2024-04-20
COMP-0050,36587,20.8,9558,2884,2024-05-23
COMP-0051,45667,7.9,3840,2438,2024-05-27
COMP-0052,12918,18.4,8224,461,2024-06-07
COMP-0053,10903,10.2,7144,1685,2024-05-10
COMP-0054,49383,13.8,3767,4584,2024-04-25
COMP-0055,25912,19.7,7338,533,2024-05-25
COMP-0056,17494,6.6,6936,4427,2024-05-18
COMP-0057,37074,18.0,5873,3355,2024-04-08
COMP-0058,39246,22.1,3117,1894,2024-06-01
COMP-0059,5554,21.6,5564,3756,2024-04-25
COMP-0060,26924,21.3,8643,1772,2024-06-05
COMP-0061,65,24.4,9931,3949,2024-05-22
COMP-0062,7251,8.2,567,1927,2024-04-15
COMP-0063,24065,21.7,9514,673,2024-05-25
COMP-0064,9155,13.7,659,1801,2024-05-27
COMP-0065,12046,3.2,1317,1954,2024-06-16
COMP-0066,46481,19.7,2137,2873,2024-05-26
COMP-0067,28184,15.8,4426,1858,2024-04-04
COMP-0068,23159,17.0,7589,2819,2024-04-24
COMP-0069,23086,18.1,7221,3780,2024-05-16
COMP-0070,1715,12.3,5712,516,2024-05-25
COMP-0071,49705,9.6,2780,3576,2024-05-22
COMP-0072,19215,13.2,5836,1328,2024-06-20
COMP-0073,34525,10.1,3466,4277,2024-04-27
COMP-0074,20197,0.7,3395,335,2024-06-22
COMP-0075,17294,5.3,5020,1599,2024-05-16
COMP-0076,14870,24.3,5785,4963,2024-05-01
COMP-0077,27740,10.2,407,1485,2024-04-19
COMP-0078,2109,24.1,2679,2597,2024-05-13
COMP-0079,48354,6.7,1015,2410,2024-04-09
COMP-0080,29805,22.5,9916,890,2024-06-01
COMP-0081,13694,6.2,7712,905,2024-05-26
COMP-0082,7676,25.2,7002,1216,2024-05-21
COMP-0083,25193,6.1,5009,604,2024-05-24
COMP-0084,4612,22.4,723,2726,2024-06-27
COMP-0085,42022,7.5,6867,4503,2024-05-18
COMP-0086,7061,10.7,2887,1762,2024-05-11
COMP-0087,16157,24.5,6445,4150,2024-05-31
COMP-0088,2108,23.5,5890,2058,2024-06-03
COMP-0089,16968,24.9,8664,1205,2024-04-14
COMP-0090,27216,18.9,5742,3261,2024-05-17
COMP-0091,22889,25.3,6013,254,2024-06-07
COMP-0092,42549,13.4,7947,183,2024-06-14
COMP-0093,47225,20.7,6471,2048,2024-05-09
COMP-0094,42843,9.8,8391,1399,2024-04-08
COMP-0095,39037,21.0,6519,2827,2024-06-05
COMP-0096,22136,23.7,4517,4592,2024-06-25
COMP-0097,46795,20.4,4099,3015,2024-04-24
COMP-0098,34069,19.4,8531,4898,2024-04-05
COMP-0099,7397,16.4,5033,3253,2024-04-14
COMP-0100,26609,3.1,7047,3231,2024-05-27
COMP-0101,45297,19.7,5571,1248,2024-05-12
COMP-0102,38650,21.9,7798,856,2024-06-06
COMP-0103,42831,14.7,6199,4848,2024-06-09
COMP-0104,14958,14.5,4950,3643,2024-04-17
COMP-0105,44605,2.6,4664,447,2024-05-17
COMP-0106,37455,15.1,8396,4073,2024-06-01
COMP-0107,7925,4.5,9218,1297,2024-05-31
COMP-0108,10056,19.3,4428,4590,2024-04-15
COMP-0109,15566,20.7,679,1734,2024-04-26
COMP-0110,22889,23.5,8957,1291,2024-04-21
COMP-0111,26198,8.5,1983,816,2024-04-06
COMP-0112,10636,14.2,6022,3156,2024-04-08
COMP-0113,48395,19.1,8755,970,2024-04-11
COMP-0114,9775,19.8,1227,735,2024-04-04
COMP-0115,5580,6.2,584,1212,2024-04-19
COMP-0116,30359,2.7,5248,4633,2024-06-05
COMP-0117,31131,8.7,3308,2817,2024-04-12
COMP-0118,5624,19.2,6654,4902,2024-06-28
COMP-0119,18125,8.6,4332,1303,2024-04-14
COMP-0120,11630,11.3,9544,3067,2024-04-03
COMP-0121,38229,8.8,242,4307,2024-04-21
COMP-0122,9597,24.0,3665,3038,2024-06-10
COMP-0123,19479,5.6,7977,1464,2024-06-12
COMP-0124,23457,24.6,4513,3275,2024-05-08
COMP-0125,18312,0.7,6387,1781,2024-06-24
COMP-0126,10186,21.4,762,4705,2024-06-08
COMP-0127,34971,16.1,3355,3411,2024-05-08
COMP-0128,4988,0.6,4164,251,2024-05-20
COMP-0129,5021,6.5,7415,4930,2024-04-27
COMP-0130,27870,23.7,250,4007,2024-04-05
COMP-0131,40407,12.2,124,3477,2024-05-23
COMP-0132,36051,14.3,8435,1431,2024-05-05
COMP-0133,24993,2.5,2105,2046,2024-04-28
COMP-0134,46053,21.7,6245,1219,2024-04-14
COMP-0135,16808,14.2,6347,3414,2024-04-08
COMP-0136,47171,23.0,8033,575,2024-04-01
COMP-0137,10194,18.8,4095,4257,2024-04-29
COMP-0138,30054,16.7,1824,3358,2024-05-22
COMP-0139,47603,5.1,4561,3507,2024-04-23
COMP-0140,10299,14.1,7010,4854,2024-06-15
COMP-0141,20146,3.1,5613,2318,2024-05-30
COMP-0142,10190,23.0,3786,2483,2024-05-23
COMP-0143,19461,22.8,6025,2123,2024-05-22
COMP-0144,3193,4.0,8849,898,2024-05-28
COMP-0145,39026,14.8,1037,2520,2024-04-04
COMP-0146,37601,16.5,6604,2943,2024-06-04
COMP-0147,18544,12.5,9318,3994,2024-06-05
COMP-0148,10980,11.3,9879,4734,2024-05-27
COMP-0149,33761,5.0,446,1245,2024-04-18
COMP-0150,10276,24.8,4879,2248,2024-06-22
COMP-0151,14346,18.9,6198,4963,2024-05-05
COMP-0152,31241,15.2,5346,4663,2024-04-28
COMP-0153,37613,9.1,8647,4852,2024-05-19
COMP-0154,36682,8.5,6396,1665,2024-06-13
COMP-0155,38953,5.5,9666,2275,2024-06-09
COMP-0156,3125,2.5,6225,3227,2024-06-26
COMP-0157,42154,3.6,733,2090,2024-05-22
COMP-0158,26995,9.2,8310,4621,2024-05-22
COMP-0159,5915,8.2,6043,2969,2024-05-22
COMP-0160,7251,9.2,3924,4580,2024-05-26
COMP-0161,31311,23.1,210,4468,2024-04-03
COMP-0162,2843,0.6,8639,507,2024-04-23
COMP-0163,29595,2.9,5774,459,2024-04-07
COMP-0164,30312,4.2,7785,2637,2024-04-04
COMP-0165,5884,12.1,1349,3163,2024-06-15
COMP-0166,46697,25.2,1587,1914,2024-05-09
COMP-0167,21747,20.3,2666,106,2024-04-12
COMP-0168,9218,24.3,9185,3272,2024-04-09
COMP-0169,42978,9.2,6426,4182,2024-04-07
COMP-0170,31760,4.8,1312,2689,2024-05-21
COMP-0171,41368,16.2,2908,738,2024-04-09
COMP-0172,4058,14.6,4961,4051,2024-05-22
COMP-0173,37743,3.1,7105,4857,2024-06-25
COMP-0174,17848,14.1,6449,2036,2024-05-24
COMP-0175,48785,1.8,3406,3314,2024-04-29
COMP-0176,33785,11.9,4272,2989,2024-04-10
COMP-0177,33620,6.1,7402,2960,2024-05-01
COMP-0178,34764,5.4,1409,2075,2024-04-26
COMP-0179,13153,7.6,1346,4140,2024-04-10
COMP-0180,17492,24.2,7410,1266,2024-04-11
COMP-0181,39328,16.6,3194,3364,2024-05-26
COMP-0182,11704,9.4,7002,750,2024-06-29
COMP-0183,371,20.2,1030,4948,2024-06-22
COMP-0184,49871,22.4,6034,1347,2024-04-24
COMP-0185,32379,5.8,4193,966,2024-04-07
COMP-0186,36582,10.8,5707,1287,2024-04-06
COMP-0187,49479,11.8,2228,3555,2024-06-20
COMP-0188,23973,10.7,1336,1355,2024-04-28
COMP-0189,47734,18.1,3455,2475,2024-04-18
COMP-0190,6398,1.6,8788,4948,2024-04-21
COMP-0191,40810,18.3,1556,4519,2024-05-27
COMP-0192,46372,6.0,7107,4522,2024-05-02
COMP-0193,5916,4.8,1342,1134,2024-05-05
COMP-0194,43172,18.4,3434,3022,2024-04-29
COMP-0195,11377,19.1,6254,3972,2024-04-19
COMP-0196,1472,2.6,9124,2696,2024-05-09
COMP-0197,20103,6.0,7513,3120,2024-06-06
COMP-0198,5935,15.1,2743,1623,2024-05-28
COMP-0199,42995,16.1,6695,4962,2024-05-01
COMP-0200,20014,20.1,2598,4668,2024-05-01
COMP-0201,24358,5.6,1393,3130,2024-06-02
COMP-0202,43294,8.8,9367,4614,2024-06-28
COMP-0203,25832,1.3,1502,745,2024-05-24
COMP-0204,3002,12.0,7992,2388,2024-04-15
COMP-0205,42272,12.5,570,3926,2024-04-20
COMP-0206,35416,22.2,6780,3519,2024-06-05
COMP-0207,11636,17.8,5058,2062,2024-06-14
COMP-0208,19754,8.4,8177,3990,2024-06-21
COMP-0209,49201,18.5,7681,2495,2024-04-11
COMP-0210,11998,7.6,8932,2190,2024-05-03
COMP-0211,12012,6.7,9992,2528,2024-05-18
COMP-0212,2509,3.1,9111,2620,2024-04-07
COMP-0213,113,23.3,4933,895,2024-05-05
COMP-0214,41800,20.2,6747,2294,2024-06-23
COMP-0215,31975,24.1,6315,1722,2024-04-04
COMP-0216,494,17.0,9687,3432,2024-05-04
COMP-0217,49547,16.0,5569,1490,2024-05-05
COMP-0218,19032,2.8,519,1673,2024-05-05
COMP-0219,44059,8.2,3211,2897,2024-06-12
COMP-0220,26357,25.1,8031,2683,2024-05-04
COMP-0221,30866,23.0,9460,1465,2024-06-10
COMP-0222,32180,5.9,1620,1391,2024-06-21
COMP-0223,36436,7.7,5871,4653,2024-04-08
COMP-0224,6158,9.7,6173,3019,2024-04-02
COMP-0225,29140,20.4,9537,3962,2024-04-19
COMP-0226,12765,15.8,9775,3570,2024-04-11
COMP-0227,7631,14.6,741,3625,2024-05-15
COMP-0228,25868,2.7,473,2190,2024-06-28
COMP-0229,40129,1.9,3011,214,2024-05-22
COMP-0230,39402,16.2,8147,3460,2024-04-30
COMP-0231,37060,21.9,411,2227,2024-06-16
COMP-0232,33264,13.7,3096,3497,2024-04-07
COMP-0233,34681,20.5,9982,2115,2024-04-25
COMP-0234,4261,17.5,5324,1122,2024-06-17
COMP-0235,3952,25.6,2765,447,2024-04-02
COMP-0236,29379,6.6,3297,949,2024-06-09
COMP-0237,7287,6.2,4900,1888,2024-05-02
COMP-0238,42902,3.1,840,4955,2024-06-05
COMP-0239,42843,8.7,7797,1619,2024-05-18
COMP-0240,22102,20.6,6601,2359,2024-06-02
COMP-0241,16335,7.8,7337,1593,2024-05-02
COMP-0242,6453,24.1,4564,2216,2024-04-02
COMP-0243,30385,23.8,7764,1333,2024-06-17
COMP-0244,3951,5.6,6579,4400,2024-06-05
COMP-0245,30492,19.4,5276,4641,2024-04-26
COMP-0246,45359,14.8,8708,1030,2024-04-07
COMP-0247,48351,22.2,8890,3981,2024-06-09
COMP-0248,13192,19.3,5361,3694,2024-04-03
COMP-0249,39423,8.8,215,3186,2024-05-30
COMP-0250,48926,21.3,2956,1867,2024-06-25
COMP-0251,16614,18.6,3658,2766,2024-05-24
COMP-0252,25139,16.1,1526,4334,2024-05-13
COMP-0253,3018,19.6,9821,4494,2024-04-02
COMP-0254,5822,19.9,1945,4183,2024-05-11
COMP-0255,7928,12.4,7154,3206,2024-06-10
COMP-0256,40544,21.9,552,3453,2024-04-17
COMP-0257,45643,17.0,1709,4717,2024-04-24
COMP-0258,29718,8.6,5621,2194,2024-04-11
COMP-0259,43092,18.9,6460,2322,2024-05-02
COMP-0260,21662,4.2,7241,1138,2024-04-07
COMP-0261,3771,21.8,2929,1828,2024-04-10
COMP-0262,49403,15.8,6547,3363,2024-06-20
COMP-0263,41652,16.1,4419,4311,2024-06-22
COMP-0264,2121,25.8,1203,4994,2024-05-31
COMP-0265,13214,6.9,3562,2760,2024-05-02
COMP-0266,18069,20.7,4783,988,2024-05-14
COMP-0267,7717,12.8,252,1334,2024-06-25
COMP-0268,47298,3.4,8286,119,2024-06-10
COMP-0269,5024,5.5,4654,2013,2024-05-12
COMP-0270,15866,24.8,4661,1585,2024-06-22
COMP-0271,43426,18.9,5810,4907,2024-06-18
COMP-0272,43031,22.5,6401,1555,2024-04-20
COMP-0273,28527,18.9,9359,2512,2024-05-25
COMP-0274,18772,6.2,9213,4335,2024-05-08
COMP-0275,5208,22.7,7680,2300,2024-04-08
COMP-0276,24155,19.0,941,1546,2024-06-11
COMP-0277,43191,18.4,7814,1242,2024-06-13
COMP-0278,33196,12.3,8345,759,2024-05-12
COMP-0279,34042,17.2,9717,2586,2024-05-08
COMP-0280,4633,5.6,265,3089,2024-06-27
COMP-0281,40065,9.3,3400,2121,2024-05-13
COMP-0282,32279,5.1,6929,4365,2024-05-06
COMP-0283,15478,5.2,9178,915,2024-05-01
COMP-0284,36484,14.0,551,4849,2024-04-24
COMP-0285,45463,9.0,437,2789,2024-04-11
COMP-0286,43497,18.9,2332,4397,2024-05-05
COMP-0287,2730,19.4,1720,4488,2024-05-13
COMP-0288,21380,24.7,1209,274,2024-05-16
COMP-0289,17764,6.1,7477,4763,2024-06-17
COMP-0290,39060,17.7,7439,1388,2024-06-05
COMP-0291,4326,13.4,7488,3891,2024-05-29
COMP-0292,28257,16.2,7891,768,2024-05-15
COMP-0293,42545,14.4,7754,3117,2024-04-06
COMP-0294,41442,9.6,8199,1916,2024-05-19
COMP-0295,21301,23.3,9578,3057,2024-06-12
COMP-0296,7186,9.8,2815,3293,2024-04-11
COMP-0297,16719,21.0,9282,346,2024-06-05
COMP-0298,46545,1.3,8882,345,2024-05-22
COMP-0299,44901,14.1,3838,717,2024-05-10
COMP-0300,18216,5.7,2331,4533,2024-04-18
COMP-0301,39103,13.1,854,3678,2024-06-12
COMP-0302,38404,7.6,3264,4666,2024-04-27
COMP-0303,22614,8.1,4615,3957,2024-04-16
COMP-0304,49985,20.0,949,1839,2024-06-07
COMP-0305,14069,0.6,9189,4211,2024-05-10
COMP-0306,42224,15.2,6261,3687,2024-04-17
COMP-0307,25412,11.1,1210,2393,2024-04-13
COMP-0308,1657,13.2,8899,2142,2024-05-10
COMP-0309,2124,20.4,7663,2856,2024-04-11
COMP-0310,48940,11.1,8455,3332,2024-05-02
COMP-0311,39514,3.5,4884,886,2024-04-17
COMP-0312,49461,2.0,6058,264,2024-04-30
COMP-0313,32089,2.3,2902,3428,2024-05-06
COMP-0314,16664,13.7,7349,1349,2024-06-29
COMP-0315,39773,0.7,5811,4080,2024-04-07
COMP-0316,24061,22.7,2746,2957,2024-06-28
COMP-0317,9755,12.0,1062,2701,2024-04-22
COMP-0318,5619,13.8,9432,1093,2024-05-29
COMP-0319,41631,15.4,541,2871,2024-05-26
COMP-0320,18891,12.7,9101,1853,2024-04-22
COMP-0321,40293,3.0,8498,1908,2024-05-21
COMP-0322,3150,11.3,8948,3859,2024-05-10
COMP-0323,32853,6.4,8744,2169,2024-04-10
COMP-0324,29596,15.6,4030,1384,2024-05-31
COMP-0325,49796,1.8,5319,1972,2024-06-24
COMP-0326,21436,9.0,4206,1417,2024-05-05
COMP-0327,31952,4.8,475,3896,2024-06-11
COMP-0328,49635,6.8,4461,2147,2024-06-17
COMP-0329,42308,19.5,6016,4442,2024-04-29
COMP-0330,40419,22.3,2834,3060,2024-05-05
COMP-0331,38355,5.9,6185,3904,2024-06-08
COMP-0332,33278,6.6,4800,1586,2024-04-29
COMP-0333,8585,4.4,3154,2909,2024-06-16
COMP-0334,35358,11.7,1359,3474,2024-06-29
COMP-0335,25803,8.1,5470,3547,2024-05-11
COMP-0336,28944,22.7,9361,4873,2024-05-09
COMP-0337,10591,18.3,4239,1404,2024-04-07
COMP-0338,32653,3.0,4947,3379,2024-04-22
COMP-0339,13306,20.0,203,2922,2024-06-22
COMP-0340,5737,20.4,1155,2069,2024-04-28
COMP-0341,1045,21.4,5663,2469,2024-04-14
COMP-0342,28147,25.9,4629,2305,2024-05-28
COMP-0343,32317,22.1,1798,4490,2024-05-23
COMP-0344,19515,2.1,8758,410,2024-06-20
COMP-0345,43991,15.9,498,3066,2024-04-16
COMP-0346,49049,2.8,4086,4463,2024-05-27
COMP-0347,44922,16.9,3546,3581,2024-05-02
COMP-0348,15345,11.2,1120,4463,2024-05-03
COMP-0349,33711,10.9,2662,724,2024-05-05
COMP-0350,18172,1.3,4088,4685,2024-06-09
COMP-0351,33960,6.8,7783,2091,2024-04-17
COMP-0352,31790,12.6,4722,4436,2024-04-21
COMP-0353,8611,6.6,3894,161,2024-06-20
COMP-0354,213,12.5,6752,3834,2024-04-18
COMP-0355,26649,11.1,4631,2240,2024-06-03
COMP-0356,9484,21.7,2074,2147,2024-06-21
COMP-0357,30513,1.2,9031,455,2024-05-13
COMP-0358,43081,20.4,677,305,2024-06-10
COMP-0359,199,23.9,5703,501,2024-05-02
COMP-0360,39342,20.8,1865,509,2024-05-21
COMP-0361,12504,12.9,230,1768,2024-04-17
COMP-0362,4800,19.8,4357,2806,2024-04-27
COMP-0363,5375,8.7,4623,4729,2024-04-25
COMP-0364,3917,4.8,3752,3798,2024-06-01
COMP-0365,23850,7.7,8781,93,2024-06-08
COMP-0366,20889,1.9,1420,2726,2024-04-03
COMP-0367,16748,19.1,5414,4889,2024-04-21
COMP-0368,7471,20.9,3588,2047,2024-04-04
COMP-0369,10177,18.6,7444,3000,2024-05-22
COMP-0370,40769,2.8,8429,2144,2024-04-23
COMP-0371,43339,14.9,3684,1142,2024-04-10
COMP-0372,22239,1.2,6090,2291,2024-04-25
COMP-0373,16359,16.9,9298,4043,2024-04-13
COMP-0374,36062,22.5,8271,563,2024-05-30
COMP-0375,44390,22.1,4794,3295,2024-04-09
COMP-0376,810,5.1,1553,2628,2024-05-29
COMP-0377,10508,22.8,7726,811,2024-05-08
COMP-0378,49576,8.2,1221,3718,2024-04-13
COMP-0379,11585,3.1,3541,587,2024-06-02
COMP-0380,30157,13.1,8087,4362,2024-06-14
COMP-0381,45086,24.8,3195,3247,2024-05-22
COMP-0382,16507,4.4,4472,913,2024-06-02
COMP-0383,24110,20.5,8166,4543,2024-05-21
COMP-0384,48064,10.2,8948,1538,2024-04-13
COMP-0385,22077,9.4,412,4682,2024-04-14
COMP-0386,5217,19.8,9023,1413,2024-04-30
COMP-0387,43401,18.5,8174,1960,2024-06-07
COMP-0388,33642,17.3,4716,1642,2024-05-08
COMP-0389,18070,12.6,8863,3567,2024-06-13
COMP-0390,49869,22.1,2224,932,2024-06-29
COMP-0391,36852,1.9,8705,3245,2024-05-25
COMP-0392,45782,10.9,8022,1644,2024-04-16
COMP-0393,5757,13.5,1093,423,2024-05-08
COMP-0394,8367,2.9,8920,3484,2024-05-30
COMP-0395,13091,25.5,6628,2206,2024-04-14
COMP-0396,10467,13.7,8481,2639,2024-05-10
COMP-0397,3650,22.7,8600,621,2024-04-18
COMP-0398,18138,22.9,8204,4582,2024-06-19
COMP-0399,16433,25.4,2997,3445,2024-05-11
COMP-0400,40250,13.3,1847,1056,2024-05-02
COMP-0401,42024,21.2,8300,2371,2024-06-25
COMP-0402,48266,1.0,4590,4449,2024-04-11
COMP-0403,46410,16.4,1821,773,2024-05-09
COMP-0404,23824,14.9,6293,3404,2024-04-26
COMP-0405,38459,2.8,6299,4000,2024-05-27
COMP-0406,27380,8.8,5511,1952,2024-04-22
COMP-0407,31716,21.6,3247,4188,2024-06-16
COMP-0408,19994,5.2,7717,834,2024-05-13
COMP-0409,22548,16.8,3273,4046,2024-06-10
COMP-0410,33323,15.1,7975,875,2024-04-04
COMP-0411,47826,16.0,7147,3323,2024-04-16
COMP-0412,1906,16.6,2275,1250,2024-05-25
COMP-0413,24689,1.1,7464,3449,2024-05-22
COMP-0414,5669,12.2,6552,4840,2024-06-08
COMP-0415,44263,22.2,4697,4170,2024-06-11
COMP-0416,39544,25.8,3735,3078,2024-04-08
COMP-0417,26666,14.0,436,267,2024-06-24
COMP-0418,36162,11.8,9247,1569,2024-05-23
COMP-0419,16141,15.0,2802,1131,2024-06-16
COMP-0420,13792,13.0,8010,2980,2024-05-10
COMP-0421,24885,5.2,8424,4095,2024-06-14
COMP-0422,3904,20.5,4266,3492,2024-06-24
COMP-0423,24938,13.3,7972,3098,2024-05-10
COMP-0424,11566,1.9,5687,3492,2024-06-07
COMP-0425,388,11.0,7578,3141,2024-05-10
COMP-0426,31030,1.7,9455,1150,2024-05-20
COMP-0427,23624,3.2,3676,767,2024-04-05
COMP-0428,19778,8.4,9619,2473,2024-04-05
COMP-0429,28159,25.5,448,815,2024-04-15
COMP-0430,46432,15.8,2222,3980,2024-04-19
COMP-0431,3004,9.5,3261,1267,2024-05-04
COMP-0432,9763,3.5,1556,4461,2024-06-07
COMP-0433,5339,9.8,7439,1788,2024-05-15
COMP-0434,23667,5.4,2035,324,2024-05-02
COMP-0435,23539,17.5,1173,1461,2024-05-24
COMP-0436,37187,10.2,6746,2446,2024-04-14
COMP-0437,43614,23.3,650,4716,2024-06-05
COMP-0438,25065,14.8,521,1070,2024-06-09
COMP-0439,14842,21.0,4646,3357,2024-04-19
COMP-0440,46304,25.4,6044,2850,2024-05-19
COMP-0441,20800,21.4,489,3513,2024-06-10
COMP-0442,46411,2.3,1844,1476,2024-05-31
COMP-0443,39744,8.2,3329,2647,2024-05-07
COMP-0444,41456,24.4,7541,631,2024-06-21
COMP-0445,22457,15.5,1588,1418,2024-06-21
COMP-0446,48229,16.4,3770,3328,2024-04-20
COMP-0447,13257,17.5,2254,1496,2024-05-02
COMP-0448,19683,8.5,8611,3468,2024-04-23
COMP-0449,18633,6.6,7545,4142,2024-05-05
COMP-0450,1756,7.5,6784,2149,2024-05-20
COMP-0451,44593,20.2,4414,2736,2024-06-29
COMP-0452,31610,5.2,5060,2418,2024-05-02
COMP-0453,33847,13.3,6836,2178,2024-05-12
COMP-0454,16447,8.5,3219,3758,2024-04-23
COMP-0455,47671,20.2,1404,2174,2024-05-02
COMP-0456,36764,7.1,8857,2381,2024-05-15
COMP-0457,45254,23.8,486,3093,2024-04-30
COMP-0458,12485,19.2,6267,498,2024-06-04
COMP-0459,32231,20.9,6078,121,2024-06-21
COMP-0460,17714,23.2,9593,343,2024-04-04
COMP-0461,3055,8.0,8103,1539,2024-05-08
COMP-0462,36104,19.7,1289,4047,2024-06-16
COMP-0463,44481,6.6,8682,3363,2024-06-15
COMP-0464,9821,18.6,802,1034,2024-06-13
COMP-0465,13848,4.8,2057,1428,2024-06-02
COMP-0466,10135,12.9,9418,2852,2024-06-06
COMP-0467,23562,1.0,1787,2223,2024-05-28
COMP-0468,17528,1.2,1189,773,2024-06-20
COMP-0469,48886,19.6,3253,299,2024-06-23
COMP-0470,9126,16.3,6819,4368,2024-04-11
COMP-0471,13818,20.8,1921,3364,2024-04-13
COMP-0472,25358,21.1,9768,4026,2024-06-18
COMP-0473,37240,21.3,9477,1782,2024-06-10
COMP-0474,36528,24.4,1735,826,2024-06-15
COMP-0475,47146,10.8,7794,4822,2024-04-25
COMP-0476,45411,19.0,1009,227,2024-05-14
COMP-0477,2781,5.3,9014,2631,2024-06-20
COMP-0478,40193,2.5,2042,831,2024-04-02
COMP-0479,19292,5.6,1316,2968,2024-04-18
COMP-0480,34171,6.2,2543,3178,2024-04-30
COMP-0481,26048,21.8,4048,3318,2024-05-03
COMP-0482,5186,15.7,2953,3948,2024-04-13
COMP-0483,26104,19.3,3708,1624,2024-05-23
COMP-0484,39313,19.2,5476,1478,2024-06-24
COMP-0485,39420,2.9,4604,4636,2024-04-25
COMP-0486,13704,8.8,6117,1592,2024-06-23
COMP-0487,48739,8.5,9266,4985,2024-06-05
COMP-0488,41223,15.2,1100,4841,2024-06-06
COMP-0489,21619,17.9,8445,2121,2024-06-29
COMP-0490,14154,6.4,5700,4768,2024-06-28
COMP-0491,12369,5.7,6232,345,2024-04-10
COMP-0492,27542,5.8,5777,411,2024-04-02
COMP-0493,38488,4.7,5510,4942,2024-05-14
COMP-0494,25831,11.3,9598,487,2024-05-22
COMP-0495,13359,7.6,4665,303,2024-06-15
COMP-0496,35789,23.3,5831,847,2024-04-24
COMP-0497,4515,10.7,1052,4989,2024-06-29
COMP-0498,25131,17.6,3148,3871,2024-06-03
COMP-0499,44724,12.7,8422,4614,2024-04-30
COMP-0500,3285,17.9,8851,1287,2024-04-10
COMP-0501,36489,15.0,8100,4326,2024-06-03
COMP-0502,26419,22.8,3051,2510,2024-06-25
COMP-0503,41259,8.8,9421,4305,2024-04-24
COMP-0504,14240,24.8,3367,3399,2024-06-26
COMP-0505,11481,22.6,3598,4249,2024-06-05
COMP-0506,5437,23.4,2828,120,2024-04-16
COMP-0507,32841,15.3,1147,68,2024-06-09
COMP-0508,17401,16.2,2230,890,2024-06-18
COMP-0509,32767,7.0,4751,244,2024-04-14
COMP-0510,42088,6.0,5590,1572,2024-04-07
COMP-0511,4443,7.3,8247,4059,2024-04-04
COMP-0512,49578,8.0,2750,1007,2024-05-26
COMP-0513,3121,18.0,1731,1389,2024-05-10
COMP-0514,38226,6.6,8956,3578,2024-06-14
COMP-0515,6957,4.2,3650,309,2024-04-05
COMP-0516,33867,20.8,7203,1854,2024-04-23
COMP-0517,24520,4.1,2504,4157,2024-05-22
COMP-0518,39002,8.9,8308,664,2024-06-29
COMP-0519,49326,5.6,6635,2975,2024-05-12
COMP-0520,11144,13.5,247,4002,2024-05-25
