index,plaintext_hex
10,37dcf9f3c354109186fb577000ad022047da1cf19d276381b1bde46ed17e03c4da588df3983058e54b518b7c02bc59bc140876e8ad6a1ef2c35d6b1645148686377c3790e757d4a3d809e358c39c78e4548381be0e6df891591dd05ad9dbb86a431d9a0f4819cdfedb3990f63a03f9bd983ebb1537302a5d7e27e6d1a6e8b08e8e419c274d5d1fee181b5981e9587dc06f1f97181fcb5831e354921ba12845d535dcd81fdb9e54c092f32c2b1221a251853df9418eb7f6c327e23a6946c33a57af3267f89694ee09ff675866758300f8b10fbc498fe93fbe10ec5875211d94a95b854bbe757b89dfa75b83568acf39fa9e10227f0dafd65d8010f6c690d38bad
11,5bc9efb893315d8f785fed6f09733316ea7264a856c0c9c3a22e66219eb8cee557a9465a78e59e78a24c774dec2a58e07a38d53851862d12fdf67c1eb7aaea03f6f7cc3161dd1c65d033f574059f8f187be15b8eb70edd6fdf130a889936c9e5cf9c5b2709f8ab4d8ab917bc9d7c2bf5379ed7916b057b285305ffc62b0367b7304e6bf4fffc27f650270fb8dbae35ef934b448cd17c12181bda26b40ccfa30fe7b8c3de66043c38f63d720917c45c49c2324eaaba404367c1f9489449e25fcc495ab9f56a06402a422770d3be5ca19fed87195fc8416e038ef4b36d13817ddea18cdad7fcb2a2be3ad1fda620c6a949bc7476c20511536e3dc7f7d040a8ca44
12,2c0a49372358999b44d67e41b515068e272a1180661d9bbd156f78c5ab4c42b67a7ce77017810538d559d110f39863fc56b608e27fa177935712cda3f2be1eb399df51bbb79e4444619e7ccbdbe2fba8a9d44f457a58c72625e45614f0b86226debb684dad6d6fbfa86c424591de6e11cb92e1218567e53f7eceffc5b4b14372f395f37575e9af296e3212b19d36873e4ab7a3c8c2c7373ab0166e670e3b704807c9547aee7eeb2c52ab6f20ee1f4b8e0cd14dacdec0088459d5d28206e3ed89e2cae9677f944805cc85cff2684683b535386247080e20829dafa5440e6d32b3a14284aa2cb4596a1cdb754bfbdf4f0edfff0c50565cad1f55946568f6fae26c
13,21aaf9a99082b7432b017da7b6fcd145b40f324b0507f3620cbf14f3e486801d1a5fe9348b2adc2845212647a65482d4b95090e88724023657503cfd159b463bff7f615607668ef901ce5d7af7a9dbe41ef45fe0d7902514704f551efebc5d342a8781df4db5b7650b440ed6b2b3d268c3db4f2e410a5f32c25dac34201ae6d9ff57876cd836db42db8d9ec4e4ab0c3e2e63b06620ddbcd6a21389257728b336f10e15bd866d6f0be6eaa7486bd8f73ad1e66347b728e86d718441f4c439a612029a71eb379864cc3ba70aa923aa5ac6b6337353668fafa6bd2a4eb4b22909d61db0a517b84edc56351ec2c6b979fdd8b68501417a7b0b4806a8e8f2ad26e474
14,3d523f5257898d7e8199a15841202978fc1c8dbb77710d269a7b688e7b6947c2744bbe2b86afdb31cc96418a7a73d529773e22e3fbda60015f315c7d91d4f92a25ace74a041a817d9a505d1e5816405bbf0c94f09dcf7b98f30ea3225dce0f69b9bae19b11f6bb6a3f91b73c20ac509e879dd665764f9c5f697462e0adc697774f8d3a6ecb0554767ac054a6b641907639fc39583d229bf508d8892ebb75137cd52e9d203bd8a3f66e52d5ab0656c81ea79f05b4974d099d6df8b824e91c5d550f9e6a950378f6fca4c4af4ccc1032d81dac6d308a1474682ac614c4868271739830bf828a3702fb8d049538e9bcfe99c8ed1709c4477b9bd1247ed31bbef139
15,d8582d2fe0b465bd50d4ea85c761f2552ab7c03918dd1b75bab27090b4ee5ee70e8ce0bedf26f809d38def5aa3b9fe4da02e34db9980747c381bbe247bacb784c827117c9a0c2030e837dc086477edf0f4f6e8793ec576939bb09f3b278e1acc735e82bb3510004dd1c7c6a63e3132931307b81bb7c2bb03336cc5fb5c3bf7302581a796523d6bc701a8b1cf491fda4ee6c0c35de501690e7cbc598809d864ba584d0d91d8203f8edc83cbd897251644ba80c57f9e4596e7e9d41d43bc062db18dfa27022307c04ef25ee586dab44909916dfcfb6bbfdd893595bfd3624c31f41dc948d821b44b16bc1817c1ac2300130e25b665722864449d2db8f6b996abac
16,038dbae75bccaaeea34c241d44b0b10210a39a9811a11376844199e2db0e125f7f1550154955b61dad3084ccf864d2177ed2fe095a4be677d8af3e8548291430d5e5fe049a5a7d4cc9b8511ca41bed24cd02d9ea94c72d5037138f9830c90c01935286293496f88403ff46c111909a7a894873d1bde2452d6b1b09e35cb8b633acd68df83e2a75ea5318d52064edfde3d08e0bdeca1dd732cebb23812b94183721fee9a041e38d39782cca7e091db030f6a6aa4fe59503ea6f06516352a98e59dea88c432ae419572798acba67bf31fc9eb56752cf182c752be63118976ec5998d5b0320eea2594f6467747bc0a5c7fcfe2fea3a3a0362343077414630b3d651
17,2e4283ff0fd7ed45c153a8f3d7764f181197c3253ae90506a03f9f6527a5475b91103fee5c2b9d36875efb3bd4642bf4921996d48b37253473766b601b4b1949d82874d3935f20fcd2d0e4d27f1b7fd1b79811a77c224c949a3c01c2d0a8f17357ba163b724841c613b0915d78410e6988508e0c64d8dc38278a4c4a5cd06ac45d43cdc06cfaf9179de289cea77e6b698b2ccfe4178625f3bebb4ef6824a8649371cff225943c436a96f8803e587fac9b1c74827e810b11493b338240c3749a285b721c805e881fae1f4dc20dcc97b1f3dfac62f0ff6fbff3beb7d52cdfa8660d5917d29d91995771ca21b6488625391f3369aad0f58f8b23ad436b9a18465aa
18,9b15d285cf90695d7dbbcade71137fa4f04d653c574d2e8f1a60495cd78e5aeb7ee5dd88297940e7e6d5e4875440286243b79a1f75315793d8b539c9c449b53603098bbcdcd0604262b8e9eede43d9b788d7663865d3c067b5a12258e2f35374c9abe5c41f161c29b1c4a08544ab3d77a0ed921c1046ba8a26f057dda2130708821319ca164665fdaa55486cab584859f8018097e2e1fc2aa874ddb1f99fc8bcdc7e970939797227e9683a5b4e38fe7c705c8c14fc9926611f526f6c2eefeae60b019c114be59254d567b56034b44a8bdd9a5b16f3c024c4ccf67cd85fed927d288fb3bae464f9529f38a28748040f725281290a227c6f346085a21c8fc16115
19,eade4c2f691c5a7896455e2d09ee7770610c392eedffde25455d300902c01d95b8ce3578a6fe569b64c1df56523c5d0d0326c39f9c8cf41b3acaf998c1238695237091a5b67b8b25d9bd398055d38325d1a6abd5c1725d02a37c5f6ff7d1f18354104981374754bfa75fc3afb8581ad46fa55d735b124e7b51f407f39d8f7af7d3476cbbc34c05918a770d46fe727427710988b45723dd332260fbba1b1aad0073efa3c899495dd61497c0ddace450c4160fec63ed67f05f959e4aae239953feb0e3fc3833e1b8cedfc76504ab3da4f4c6e91689c5c12453a99fef30c9fa67d05dc1addb43e1cde24ccc1fc426f708695a08405ea4282f51d3529a95926b8389
20,3c398d0e3ced729040a9486135395cc213cbf4884c8c5021fd573bdf28a35398b51e00146026677ab2371f58943cbf1ffa7f190defeccf5c96ab4e8e12cbaaa247bfb5289f58c2dca7a2c79eaf51ea5e234279b96e9ff4f190c9c1560d465a4c8e64d7fe59e56ebb6773a30660fff12dbf7065a13a2fa3439609e6464954eb35dec21345374fcd1287dda0918d4e3c1f3df3feab1e58d156389c1cfb9d1209511447d98e8acc6e33c898e42a2aaf499dd1282324ce5d72aa38ea585c038df4fd7a6162f12b8edfd73c48e1878e41136d5f0c351b5978b23fe32157fffd11c0782ee860e4efa39a9d58a1be86d08716738df088c5fec9aebd60591ec8e32c3edc
21,48174b966a40c93eac5608987fae8fbb4c7fa1166ab450de0c068943b79286cbd81ece7e0864703c5d9dbbea6c2321441bf45356bb048a1124cd013c6657e93dac4eec0acb993cbcf648b65312622cd36b7c08534db4bd7df9b3453002c807debf910d892443629b78a9de8671bd89939124b592e861fc4f7756d4228fcc59479c712bbf9ba0d512dbe78d16e2a557282e56dfafbf6cd90938bd4d699c5f0506b2d79e5f331ac307e7a37dd8a1dab49ffee52b2d1c0a077a524e6b2655a828ac2d3d64cdc55946c6b3551e31208ba2b150c2416497450004ee9cc0641931f9d23419065e7d95d342282ad550aebe373a1d7033c096121738d73a8d4bf5263191
22,7864dfb3bbaf1129415e3e72e1a027d8a5a5f15d2d7a913b7f4f9273d2fb72461784b881d29820ffd638382ce8cff53c8f2f14f111e8590da4e9ee5bbf11f7e814b8cb57b74b490ee77b3f7b0d6bcba4ccd4b1279a5264a6e4594d47952bc07415b8279bd3573d2a89babbfee27d03751d62f7c0e0b993b85e7e82f0566ba254fbaf9eb2aa6a6a2ebc7f5f92c00addbdd2c2f50df075e405da10dfa71f0da48d8f910ff7cc47bdc7fd0e3d2d7d1a3890daf19d9dc5f4b5dd26f8f3c1760a2c75ee54b13b790687199c98bde080cd73830faffb593bf727fb9a2dbeffa709defd75bc772c0adf7ef8533d4e32ab402421fae9107009b966f346884f575a7f5c34
23,fed764fed1bc0b32ea2a4504b0f05c7fdc543e698e7d22cee26ee95b637ed1ab79d8f976fe25d77af59104e9f0b93991cc5ae1975165fd6c359b08431f4acb3ca264eb4f01d4b6477839927ab717845412d3f3e49afc71438ca1d39d1d755157b816539ad577418a55772edc938acd30cd76369b75e7a646bfb3a386448352d48a6f9554880b2ce8a3eedfd64f443f2d442eed9c6a576635a89c955e6a8dfb296a0368b2350c0cc774ea6c641f1261ebc45436c178d61e43819fe518247abcd8e47d3ec5ee208eede24e669435ffb4610cd424709bac42725f7d083de0248d815e196d66f73e8b9f7427067b4a5f9ab0192c64744f041b640b0ea8a8731f65a3
24,dbc3da93718447f922d61d88ff23f40f20b1bcdc0b63a6e8325d0c2c28a6044de7303577a30ed2ddfcd7db016a5eb0ca000bce50f6afa92b9ecf9a9ceef8151bc418cd45b8f811a4e98896d10ba155f4fe64ab45b077db1140de6d2c397a58c50e0824273c4b391175cee75d3801d7ab21ca4227fd63326f89045b2f64f49dceb0741f54d1ef184313c82ad2008dc66085f7268998690b5533a931142ac0db6310398da9b2ba500681ca38666bdfc706a98b4a8dc53064dd784ffc80b557e004d2f1b87cb018d3df29ecd9a99b806652bd05e9196973456607c3f43e00eb8966d4c850a1eb25a60eaa8cfcf0cf856c0dc4a5cce6eff3c56b838f3079b129f654
25,e6a55e7562c010bb4441b2d59d53ad85c70649022f06716b29d143f69619c465731e2c080a0ccecf53cf7fa8c53c2e8af07c2ca442fa4034dc0fcd67e63f65f03447d87ca1237899767faa707385ab781239964a7d0997e7c67d8f16d6fea1e649d125094d7f22d8e3adf986bda166d005a1283eff708d74e994654afeacf19a0cea70fd0363c2a1708c6827b9616602e08c7e89e4e96ee54d18116b5aa1a5f76698777ca666207bdbd13db61aa9ae8457c462758c3dc4f33f0d918c9bc1f8167a50fb4184150a4e5b37ba34dc026ace65be96e9a656a91fd79220ac4df7a018f2b50d70cdc6a9e311ef6491ffb7361f1c36b847f39c78f60a7bb3fd7b48e7a9
26,fb6ac20db22bee7817b480d9a001a4b660af87e8cb35a550d6aec8a3ea22a448558cad63ebcb63639c7276c02a3cfd915e4a7e1254209a3e888a99dd726a415becb73ceceae3826506842c86031b3f7c23b21aabf525e14079e4d292d62521958909fd7b48d8e49f97731a20dadf6af3efe25e1bc4c241be1f6ef23853cb1ab4c4101ec57c12d55b86319466f705d4087dc72f454db457f8d48439ab8469e9b6907153d096eb6280387a8cf74e0317326eca22d061831fd027092eecbb32fbe66fb7cf9ac782797c94d00171efa898afa68a82c79f032d94e7e399c672fd558acac0817e09047528057029613105243155e8ca2fb5f062bfc3f41fac20129666
27,f6b7b63c8fcec1d19ed7bef8c2fe0facc615e2797883ad02aa9f8988711ff55575edcf527a08a9ccdfc221ae9db31391fd4cd0d2fdb6f8a55221742194993645860cd41eaf63e641294dcd156c5e1d263673509d43914ca8ffdde0d162b62d83ce3e6d5507cb788e5609968c01c4da461d07869c240908f385c958e10b8fc13a0bc1fba29238b256eb400e3632c3df91668db7d978c15b8c8e70917ede4bc009bef4b8c6f39388438d6a60e281e10f062683c6aec32128ded11b8e71300a60ce9fb8919a5577dead30f63b5791aa2ebb322735d72f3c1535dab36b0f9717be2d369036f902dc640ebf5e1e65f2391b0f82dfa9e9b24c2d6a1306b615322e1872
28,e45f615309cfb166d3c9b844e4dbc38bffc59e7b9ac13545460761f8a08417c34a3a85d227e12c0dfccb22a98d734bfc5e2310c9c829c299587b960a8f001aacdb0641dc9ce8b384bbcc43796d95a2990b636e19ab66a1e3fea163eb11a18db71c8c10e6a98bd315cadf65cfeca75983d2a17232917c6b98045d631494a90eedf5ae5cfe3e5221469b6d7b4660a75b5efe3666d8564ec802c166284a4516f71af37f6f61037b8d6ccfc1760bb69896dde1e374fa7c71aa32bea812e5f443096b77f9fc11cf13aec16645c7eaf6efd5c755aea313de439b32f858db6d88e6a70033f833a1764f2ff14663ba07721a29dbc8b2f72503862b807b25f93581bb0954
29,cbf076db0f9729af7106c6e39ca09333c91778c664fa3aec35932124ac63583407c0bf93ab4f2728414c73e4f63f37e0ec0d86ba8a4a95332474b727230e21335b3d06437527854efd7bac74ab9d8ec4a5246eda4d05de2be27e5bcd82f441383a8e6ba8df2ecdbf7ce576f4fbef49febfc0b30b65e31473b284a1b59660381d6659dde6680ad71c72c3d3485678fe3fd12f497c75407568bf0f7ca7b074033823d40b14c96e55056c09ac0a16b0c99ac2f505c2d54e78e4c39ad5f35e0ccf9cb5bbb1f692e1b47c53abfb4d699859d7cfc3ebc9e23f8a7ba09b1d4d1e39792bf7136a5b7a10ee4d386e66c81f165ddb3250335ea62d1bd3522587c872dfde6f
30,78c459255a67cf4d10917f9523c5b8596235fae79320ad0037df3ce73ffea450effc97af686db652adcf96f1025af2f99aa1b00e6996b22138bf608655d7a654ab30bdb2a26657ac8a99254f1251eb2d53c7b7d1d924ce34a288922328c01ba09d70ca10ad3c2ff6d256eb4419a0cdd9a8893b4c61ab14efc966e253a298334786a1495eff4607c8adc381d8ec8787a92c74c96d3667b1ffaa308ea5ec955504d28628b5ecbb42a4bf85317010758f7da851787b9205718e2dc5040ac08b63f8dd2e2646014d5a245de04f4d4c0a835fc4c975fe8f847526b660bb4608b71bbf0d926022ae48d7f25d439d1b3fcdcc73f0ca0ee0599a2af528ea94c186fd581b
31,7ff615c59deeb8915fcb931a45e6fe655e6eb4d2dddeeaf5ea0c90a99051fc802932a1e779724feeafad8221199db944aee43f3f0115f83fb86548bd56a9ad571b0c2beaf1f3f670c114da78c7ab21f97ddebbf977bb8f762dabdccdf3edb7dd8b715a1b9d58dfd0e9faca690aaec6b5a82436d8cad0f107e1265c28bace05d865b35c60fd591ff5432e4fd7779ed80056bccdae5aac7d93ca738d5968746006b2212c2b680fbf95726458ed0c6c6c2b89212988feb309e5f1039b0d7664964a4d6025da1dfa35eb5acc02aa9efae709e2d0ac6263b93c26283d6ed14199d4741113c5a7489bbf6df19c2b322680d0ae38ccedef122870f12e47d73ba0ec1a2d
32,0dbbf5151a135b050cefd47fd3596ae0284e8080397e7c20a515bcb9593449fdb93dd5241ebeebb44c6cbd04bd2de709e7e2bd8976724488b7b701cf83d4a425a9e242b42160f970ffce375b85d8448b962a9eed6ed913d30c0397a6b034358afd5d793a409d95915c8ed3fc5ccc035d81fd04cad96a131710df3484c2997f4baa55e664d1ee269ad303a7d9131596313ecf75a03c654c118803cf3064f76a398026d921a3242134bc1b232717b5d3235a2c36172df2195ee89189808f52e4db1ae72d715a44b7f0c65a2da8702eebabbd406d6232ef6ddfcb70f0a566da60f827ee846c1295e56417f30503cefddf7190214ef561a2412675348b422e5079eb
33,521542c8a0b585be38e2e968ebd1054b13414741ade77bb63234ab313a5acb09006f8fda5767822ce898c1e7fb722762debbb81b10722ae4f1ddb41ad0366badb5d2537b3a955b7fb5b5cf4d7fc23cad04a1ecab569eaba9ad0e4f7c4aef2cb45b69aa610f7bc6d8b1f09e543f4c1a79173cca249ed5e38a934fdc840b5cdd66d44577a27f6fcefe4496f725bc9909094bad427d139a69c474de744095534fd7fdeaecf6418b72180ade9c072d5f83272bf190c4ea4b25e21194b0106925eba896de53c1cc065c42fa1c86ecbce490f920d0b8c657a883b69e30bb1c46b006472705e4e704bb9c9e62bfad8688c5c823e19a9ab83a1adfd09747e47c5ae54a2b
34,ca7d6dd646146059ee60ea2a0edbd1051f9b20a3b5994da7894fe50e58e33858e3025f569ec3c2eb2085fc427c62fc47bb395f28361ed8d1ff547eb0e861a531b1fbce5a715289d4ab836ed2b9c72bbc5fe93143749d969d8281ae8e0602c779a83038261a83667f624ca4ea9648a2528b854b521f4c9c23100cafda63a6890504b76540c1a22e615c3c22dc9cf1d6fd5e95d2b9ff525e9fa6ba25283d3aa61976f84f156a894d427f6407af4722f6f56e38fffa61e261c2d84f99ff7e89efc5e7d8c0fcb200c0b5af025def7aab531f57f78a82db54a7b711552037a93d56d2b355646da85f0b48c1296549a2eaae13334c0df95733fb13167f7efc6ecd587a
35,c991d129941f8f1572ff0b928b2c0847ae03165f97fc4321a2bb0bf870de462406d1a5d77ccc7b9a9e4b29f48d17306a0f11bf6ab1ebbe4c25cce98853eed605be6b27d02885a9bd6223be38073490589ec907182ddf718456c4f724d9c77dbd86e01c625759ca2ed11b6727f334731f70e1a335036e2db94350d40229ea2a727558ce3a22ce6128033b4eff32f570e85631c305e7a2bbb70a429421a87bcaef5973a04019731407ccbc9b422143e2434d66c0d5c7a100697687275df70f84c5329f67dd5028566e4ec0dfa12878805c8e8961a73b41bee8edf3e7d9a755728e7ee77868e184630840038daed8de1baac392efec153b1bb9c5fc27981ca881f2
36,9f7806b7bed30ee9b3e27e627ebe6e0e65d8144737fe930868ab7f08381e30d76b81495fd0e3b3e833f65c389c1b1245517188bb15781e44b22afb71bbfc9c6f829eb8d2e45098da996295f5bb2b4ab8256cfb9404c9550a255b86ebb4b119a0e8321125b636a6cbe8e67f1bc29c9273d050585fa1a800b2db132b5e19229e245986b8e188041a409b24a57253479d88436cda5cff40cbf47c81a17a42afa8237d2d1a68bb498f79d275e88392a41a07a089355b70bab4ad1bff0dccd4d918bf733820775d438500c853046a958830ad45d4af22cf985df99a3d5d173f44c740b498d0caeb76b7eb8916e92833408aecb38a9a35381368971ba623b93c5b2eb3
37,8fcfab0555f2a8e6ace61ed0605b5529d15c2cf2f8e2049cac72473b2858fc72c374b976b3eb5bd204db6f9372b340a02396c23447da5c9fce370aa2b85136d9a32edd079e23e2f9430256f02b64b03d2155ac17c7504d187b63958f4787c0f967b0cad10a5245aa682ff732b8fc6086fbb308c60e6532914c31087390a55cddb3b16cc3299f0c1cb4135e74d1a2421247cdd999aadbf44a26c68ec26474874dbd25bc97c399d2b4b2c1ddfde1f5c92c24fadd9cc149c2706d4cd1a186e8078466ed07fee9fbe1270c5ec8140767d71d51d2b374700f85173f90daed172b8f03f4b0f7a0fc7e16d888a882565d57f726facc62c508cf6b2e2a6ba0e08b17b690
38,647e5216a76926d73a59696459a20a67e040112e84fc2d218d4657948bf7af923302e4f241293055ac60e2d9d0fe04d9ef4d41109263dd7500aa49afe751ddd3abd22c0e4ff9e6cace11a2c3e26dbe5d4983850c19c1b38a36bfeb519e0b884cf8f0c7eaa50fd0817e51018d625d48fddd1688f6c60580c7915d1e37b4dd625f2c1566833462080d04434a968865e923bd6891d314cf2dfd9d22b536e110c13b871a65b8f5cf2fb5f9b2c5028d8379fd6023726b74be4ca6d003a9af20907e540568e5e007144338effbf82e20ea1b181fa016d824270a9135561897a54620241392ad4ae47356f23854e2796cf59767ed8a598da2449c18ba6f921087060c56
39,afdfa56d43c72cf11ec870c694637552ae7d539ecb335c86c40d1740b543f797c87ed95537f19453f9aed494158932e102e630710ee4ebe2f9f6e8ce0acf272cb251d04fe3edc6a2ec5d851f928b1704ca34c2ae7417a82a6e99c6deb519636f854f31a11f644edf55a01b1961403b37a4a1143e5b0331a5e42b58cafe50f0c3a4c61cbcf381d98d58a3317708d33ca9444450759dc4bc35e65a4a42cba406fc950485e68b9b4fd2a7345fce9e7ac4ae26d19bc6cce81155371ee57289cee48b57a5706e965b6bcf36e9141ff2b1c0faec77ffc78274e38615cd4c156cd988e0d7759c59c649ff276c1e344a8472443d9278246dfa8a6f5686cd459b6fd0f166
40,4d80dc68521c8b46dcd96a2c6798925cad306e83e382cc76f46062c8b19d056db3e26d33f9e866e039a36fab3dfd35e943dde5a3c9d7edbb2a982f7c87e8f7e4e42fe35e301aaa7f44866e2d27f2c51c7bcb613df2e65bf71ed5957a2fdabf9ebce0fa3459048209858480ddf07e2fe0f9cd847f18a848701ecdb8a4a14626a5c10b2c042780a0d0c135a455897c0fe5f5a78b23bab93d2f2bdc65f279b8dc43361e96f23fc8101e2bbb10c521a35f993580d85c6d065bfd184af69ada740e86386d68d88fe881c6548c59c23365d20bb5f9a8454af23d2cb5f9efb987b9fc44f86e903558c5344c5a1d378ead15f0c82627d3492aa505afadfd4c5a95a4900d
