sensor_id,x_m,y_m,lat,lon,road_id,sensor_type
S0101,500,5000,12.9941225,77.5739814,road_010,occupancy
S0102,1000,5000,12.9941225,77.5791361,road_010,speed
S0103,1500,5000,12.9941225,77.5842907,road_010,volume
S0104,2000,5000,12.9941225,77.5894454,road_010,occupancy
S0105,2500,5000,12.9941225,77.5946,road_010,speed
S0106,3000,5000,12.9941225,77.5997546,road_010,volume
S0107,3500,5000,12.9941225,77.6049093,road_010,occupancy
S0108,4000,5000,12.9941225,77.6100639,road_010,speed
S0109,4500,5000,12.9941225,77.6152186,road_010,volume
S0110,5000,5000,12.9941225,77.6203732,road_010,occupancy
S0111,500,0,12.9490775,77.5739814,road_011,speed
S0112,500,500,12.953582,77.5739814,road_011,volume
S0113,500,1000,12.9580865,77.5739814,road_011,occupancy
S0114,500,1500,12.962591,77.5739814,road_011,speed
S0115,500,2000,12.9670955,77.5739814,road_011,volume
S0116,500,2500,12.9716,77.5739814,road_011,occupancy
S0117,500,3000,12.9761045,77.5739814,road_011,speed
S0118,500,3500,12.980609,77.5739814,road_011,volume
S0119,500,4000,12.9851135,77.5739814,road_011,occupancy
S0120,500,4500,12.989618,77.5739814,road_011,speed
S0121,500,5000,12.9941225,77.5739814,road_011,volume
S0122,1000,0,12.9490775,77.5791361,road_012,occupancy
S0123,1000,500,12.953582,77.5791361,road_012,speed
S0124,1000,1000,12.9580865,77.5791361,road_012,volume
S0125,1000,1500,12.962591,77.5791361,road_012,occupancy
S0126,1000,2000,12.9670955,77.5791361,road_012,speed
S0127,1000,2500,12.9716,77.5791361,road_012,volume
S0128,1000,3000,12.9761045,77.5791361,road_012,occupancy
S0129,1000,3500,12.980609,77.5791361,road_012,speed
S0130,1000,4000,12.9851135,77.5791361,road_012,volume
S0131,1000,4500,12.989618,77.5791361,road_012,occupancy
S0132,1000,5000,12.9941225,77.5791361,road_012,speed
S0133,1500,0,12.9490775,77.5842907,road_013,volume
S0134,1500,500,12.953582,77.5842907,road_013,occupancy
S0135,1500,1000,12.9580865,77.5842907,road_013,speed
S0136,1500,1500,12.962591,77.5842907,road_013,volume
S0137,1500,2000,12.9670955,77.5842907,road_013,occupancy
S0138,1500,2500,12.9716,77.5842907,road_013,speed
S0139,1500,3000,12.9761045,77.5842907,road_013,volume
S0140,1500,3500,12.980609,77.5842907,road_013,occupancy
S0141,1500,4000,12.9851135,77.5842907,road_013,speed
S0142,1500,4500,12.989618,77.5842907,road_013,volume
S0143,1500,5000,12.9941225,77.5842907,road_013,occupancy
S0144,2000,0,12.9490775,77.5894454,road_014,speed
S0145,2000,500,12.953582,77.5894454,road_014,volume
S0146,2000,1000,12.9580865,77.5894454,road_014,occupancy
S0147,2000,1500,12.962591,77.5894454,road_014,speed
S0148,2000,2000,12.9670955,77.5894454,road_014,volume
S0149,2000,2500,12.9716,77.5894454,road_014,occupancy
S0150,2000,3000,12.9761045,77.5894454,road_014,speed
S0151,2000,3500,12.980609,77.5894454,road_014,volume
S0152,2000,4000,12.9851135,77.5894454,road_014,occupancy
S0153,2000,4500,12.989618,77.5894454,road_014,speed
S0154,2000,5000,12.9941225,77.5894454,road_014,volume
S0155,2500,0,12.9490775,77.5946,road_015,occupancy
S0156,2500,500,12.953582,77.5946,road_015,speed
S0157,2500,1000,12.9580865,77.5946,road_015,volume
S0158,2500,1500,12.962591,77.5946,road_015,occupancy
S0159,2500,2000,12.9670955,77.5946,road_015,speed
S0160,2500,2500,12.9716,77.5946,road_015,volume
S0161,2500,3000,12.9761045,77.5946,road_015,occupancy
S0162,2500,3500,12.980609,77.5946,road_015,speed
S0163,2500,4000,12.9851135,77.5946,road_015,volume
S0164,2500,4500,12.989618,77.5946,road_015,occupancy
S0165,2500,5000,12.9941225,77.5946,road_015,speed
S0166,3000,0,12.9490775,77.5997546,road_016,volume
S0167,3000,500,12.953582,77.5997546,road_016,occupancy
S0168,3000,1000,12.9580865,77.5997546,road_016,speed
S0169,3000,1500,12.962591,77.5997546,road_016,volume
S0170,3000,2000,12.9670955,77.5997546,road_016,occupancy
S0171,3000,2500,12.9716,77.5997546,road_016,speed
S0172,3000,3000,12.9761045,77.5997546,road_016,volume
S0173,3000,3500,12.980609,77.5997546,road_016,occupancy
S0174,3000,4000,12.9851135,77.5997546,road_016,speed
S0175,3000,4500,12.989618,77.5997546,road_016,volume
S0176,3000,5000,12.9941225,77.5997546,road_016,occupancy
S0177,3500,0,12.9490775,77.6049093,road_017,speed
S0178,3500,500,12.953582,77.6049093,road_017,volume
S0179,3500,1000,12.9580865,77.6049093,road_017,occupancy
S0180,3500,1500,12.962591,77.6049093,road_017,speed
S0181,3500,2000,12.9670955,77.6049093,road_017,volume
S0182,3500,2500,12.9716,77.6049093,road_017,occupancy
S0183,3500,3000,12.9761045,77.6049093,road_017,speed
S0184,3500,3500,12.980609,77.6049093,road_017,volume
S0185,3500,4000,12.9851135,77.6049093,road_017,occupancy
S0186,3500,4500,12.989618,77.6049093,road_017,speed
S0187,3500,5000,12.9941225,77.6049093,road_017,volume
S0188,4000,0,12.9490775,77.6100639,road_018,occupancy
S0189,4000,500,12.953582,77.6100639,road_018,speed
S0190,4000,1000,12.9580865,77.6100639,road_018,volume
S0191,4000,1500,12.962591,77.6100639,road_018,occupancy
S0192,4000,2000,12.9670955,77.6100639,road_018,speed
S0193,4000,2500,12.9716,77.6100639,road_018,volume
S0194,4000,3000,12.9761045,77.6100639,road_018,occupancy
S0195,4000,3500,12.980609,77.6100639,road_018,speed
S0196,4000,4000,12.9851135,77.6100639,road_018,volume
S0197,4000,4500,12.989618,77.6100639,road_018,occupancy
S0198,4000,5000,12.9941225,77.6100639,road_018,speed
S0199,4500,0,12.9490775,77.6152186,road_019,volume
S0200,4500,500,12.953582,77.6152186,road_019,occupancy
S0201,4500,1000,12.9580865,77.6152186,road_019,speed
S0202,4500,1500,12.962591,77.6152186,road_019,volume
S0203,4500,2000,12.9670955,77.6152186,road_019,occupancy
S0204,4500,2500,12.9716,77.6152186,road_019,speed
S0205,4500,3000,12.9761045,77.6152186,road_019,volume
S0206,4500,3500,12.980609,77.6152186,road_019,occupancy
S0207,4500,4000,12.9851135,77.6152186,road_019,speed
S0208,4500,4500,12.989618,77.6152186,road_019,volume
S0209,4500,5000,12.9941225,77.6152186,road_019,occupancy
S0210,5000,0,12.9490775,77.6203732,road_020,speed
S0211,5000,500,12.953582,77.6203732,road_020,volume
S0212,5000,1000,12.9580865,77.6203732,road_020,occupancy
S0213,5000,1500,12.962591,77.6203732,road_020,speed
S0214,5000,2000,12.9670955,77.6203732,road_020,volume
S0215,5000,2500,12.9716,77.6203732,road_020,occupancy
S0216,5000,3000,12.9761045,77.6203732,road_020,speed
S0217,5000,3500,12.980609,77.6203732,road_020,volume
S0218,5000,4000,12.9851135,77.6203732,road_020,occupancy
S0219,5000,4500,12.989618,77.6203732,road_020,speed
S0220,5000,5000,12.9941225,77.6203732,road_020,volume
S0221,3334.0,612.0,12.954591,77.6031979,road_032,occupancy
S0222,4096.0,1290.0,12.9606991,77.6110536,road_033,speed
S0223,3330.0,2029.0,12.9673568,77.6031567,road_034,volume
S0224,442.0,4846.0,12.9927351,77.5733835,road_035,occupancy
S0225,2674.0,811.0,12.9563838,77.5963938,road_036,speed
S0226,4971.0,4287.0,12.9876991,77.6200742,road_037,volume
S0227,88.0,815.0,12.9564198,77.569734,road_038,occupancy
S0228,505.0,1690.0,12.9643027,77.574033,road_039,speed
S0229,2012.0,3389.0,12.979609,77.5895691,road_040,volume
S0230,3667.0,3083.0,12.9768523,77.6066309,road_041,occupancy
S0231,2209.0,4775.0,12.9920955,77.5916,road_042,speed
S0232,1871.0,2057.0,12.967609,77.5881155,road_043,volume
S0233,2007.0,4699.0,12.9914108,77.5895175,road_044,occupancy
S0234,4937.0,4634.0,12.9908252,77.6197237,road_045,speed
S0235,2932.0,3578.0,12.9813117,77.5990536,road_046,volume
S0236,2057.0,97.0,12.9499514,77.590033,road_047,occupancy
S0237,2957.0,3987.0,12.9849964,77.5993113,road_048,speed
S0238,542.0,4504.0,12.9896541,77.5744144,road_049,volume
S0239,2718.0,2619.0,12.9726721,77.5968474,road_050,occupancy
S0240,4267.0,986.0,12.9579604,77.6128165,road_021,speed
S0241,4844.0,904.0,12.9572216,77.6187649,road_022,volume
S0242,3708.0,4227.0,12.9871586,77.6070536,road_023,occupancy
S0243,3265.0,436.0,12.9530054,77.6024866,road_024,speed
S0244,3462.0,2731.0,12.9736811,77.6045175,road_025,volume
S0245,4956.0,1017.0,12.9582396,77.6199196,road_026,occupancy
S0246,1099.0,1506.0,12.962645,77.5801567,road_027,speed
S0247,4191.0,4886.0,12.9930955,77.612033,road_028,volume
S0248,4841.0,1383.0,12.9615369,77.618734,road_029,occupancy
S0249,3570.0,3418.0,12.9798703,77.6056309,road_030,speed
S0250,1586.0,3837.0,12.983645,77.5851773,road_031,volume
S0251,3279.0,1441.0,12.9620595,77.6026309,road_032,occupancy
S0252,1723.0,732.0,12.9556721,77.5865897,road_033,speed
S0253,1998.0,3861.0,12.9838613,77.5894247,road_034,volume
S0254,2935.0,2268.0,12.9695099,77.5990845,road_035,occupancy
S0255,4174.0,1439.0,12.9620414,77.6118577,road_036,speed
S0256,936.0,1058.0,12.958609,77.5784763,road_037,volume
S0257,2189.0,4919.0,12.9933928,77.5913938,road_038,occupancy
S0258,2767.0,3232.0,12.9781946,77.5973526,road_039,speed
S0259,4212.0,2615.0,12.972636,77.6122495,road_040,volume
S0260,2861.0,571.0,12.9542216,77.5983216,road_041,occupancy
S0261,1470.0,4563.0,12.9901856,77.5839814,road_042,speed
S0262,3704.0,1664.0,12.9640685,77.6070124,road_043,volume
S0263,2999.0,3954.0,12.9846991,77.5997443,road_044,occupancy
S0264,267.0,4527.0,12.9898613,77.5715794,road_045,speed
S0265,1363.0,1029.0,12.9583477,77.5828784,road_046,volume
S0266,4513.0,4890.0,12.9931315,77.6153526,road_047,occupancy
S0267,834.0,4471.0,12.9893568,77.5774247,road_048,speed
S0268,2744.0,2831.0,12.974582,77.5971155,road_049,volume
S0269,2356.0,3622.0,12.9817081,77.5931155,road_050,occupancy
S0270,2961.0,1387.0,12.961573,77.5993526,road_021,speed
S0271,652.0,3619.0,12.9816811,77.5755485,road_022,volume
S0272,1818.0,2156.0,12.9685009,77.5875691,road_023,occupancy
S0273,4837.0,1627.0,12.9637351,77.6186928,road_024,speed
S0274,451.0,3485.0,12.9804739,77.5734763,road_025,volume
S0275,4051.0,1916.0,12.9663387,77.6105897,road_026,occupancy
S0276,4337.0,3523.0,12.9808162,77.6135381,road_027,speed
S0277,1143.0,4258.0,12.9874378,77.5806103,road_028,volume
S0278,2556.0,1354.0,12.9612757,77.5951773,road_029,occupancy
S0279,3370.0,1032.0,12.9583748,77.6035691,road_030,speed
S0280,1715.0,1602.0,12.9635099,77.5865072,road_031,volume
S0281,1131.0,2119.0,12.9681676,77.5804866,road_032,occupancy
S0282,4936.0,3642.0,12.9818883,77.6197134,road_033,speed
S0283,3294.0,2187.0,12.9687802,77.6027856,road_034,volume
S0284,3224.0,3468.0,12.9803207,77.6020639,road_035,occupancy
S0285,901.0,4977.0,12.9939153,77.5781155,road_036,speed
S0286,776.0,1168.0,12.9596,77.5768268,road_037,volume
S0287,1914.0,3792.0,12.9832396,77.5885588,road_038,occupancy
S0288,781.0,2384.0,12.970555,77.5768784,road_039,speed
S0289,4620.0,2091.0,12.9679153,77.6164557,road_040,volume
S0290,4421.0,3008.0,12.9761766,77.6144041,road_041,occupancy
S0291,4042.0,590.0,12.9543928,77.6104969,road_042,speed
S0292,1977.0,1577.0,12.9632847,77.5892082,road_043,volume
S0293,2075.0,1370.0,12.9614198,77.5902186,road_044,occupancy
S0294,1946.0,3052.0,12.976573,77.5888887,road_045,speed
S0295,2344.0,1125.0,12.9592126,77.5929918,road_046,volume
S0296,1243.0,237.0,12.9512126,77.5816412,road_047,occupancy
S0297,7.0,203.0,12.9509063,77.568899,road_048,speed
S0298,1355.0,3873.0,12.9839694,77.5827959,road_049,volume
S0299,4822.0,3419.0,12.9798793,77.6185381,road_050,occupancy
S0300,987.0,4248.0,12.9873477,77.5790021,road_021,speed
S0301,758.0,3386.0,12.979582,77.5766412,road_022,volume
S0302,500.0,261.0,12.9514288,77.5739814,road_023,occupancy
S0303,1694.0,3506.0,12.9806631,77.5862907,road_024,speed
S0304,3027.0,2735.0,12.9737171,77.600033,road_025,volume
S0305,782.0,4809.0,12.9924018,77.5768887,road_026,occupancy
S0306,4289.0,1149.0,12.9594288,77.6130433,road_027,speed
S0307,4044.0,389.0,12.952582,77.6105175,road_028,volume
S0308,993.0,4165.0,12.9866,77.5790639,road_029,occupancy
S0309,3824.0,2113.0,12.9681135,77.6082495,road_030,speed
S0310,1734.0,2350.0,12.9702486,77.5867031,road_031,volume
S0311,3961.0,3585.0,12.9813748,77.6096619,road_032,occupancy
S0312,2817.0,914.0,12.9573117,77.597868,road_033,speed
S0313,404.0,2255.0,12.9693928,77.5729918,road_034,volume
S0314,2690.0,4012.0,12.9852216,77.5965588,road_035,occupancy
S0315,2769.0,2971.0,12.9758432,77.5973732,road_036,speed
S0316,1099.0,4516.0,12.9897622,77.5801567,road_037,volume
S0317,1658.0,4327.0,12.9880595,77.5859196,road_038,occupancy
S0318,3424.0,1367.0,12.9613928,77.6041258,road_039,speed
S0319,2507.0,3979.0,12.9849243,77.5946722,road_040,volume
S0320,614.0,3181.0,12.9777351,77.5751567,road_041,occupancy
S0321,1408.0,605.0,12.9545279,77.5833423,road_042,speed
S0322,2391.0,1318.0,12.9609514,77.5934763,road_043,volume
S0323,632.0,3769.0,12.9830324,77.5753423,road_044,occupancy
S0324,3533.0,4230.0,12.9871856,77.6052495,road_045,speed
S0325,3324.0,775.0,12.9560595,77.6030948,road_046,volume
S0326,3690.0,3521.0,12.9807982,77.606868,road_047,occupancy
S0327,1900.0,1629.0,12.9637532,77.5884144,road_048,speed
S0328,4552.0,917.0,12.9573387,77.6157546,road_049,volume
S0329,622.0,492.0,12.9535099,77.5752392,road_050,occupancy
S0330,4864.0,493.0,12.9535189,77.6189711,road_021,speed
S0331,1632.0,2315.0,12.9699333,77.5856515,road_022,volume
S0332,4013.0,580.0,12.9543027,77.6101979,road_023,occupancy
S0333,1772.0,3030.0,12.9763748,77.5870948,road_024,speed
S0334,3223.0,4126.0,12.9862486,77.6020536,road_025,volume
S0335,296.0,2112.0,12.9681045,77.5718784,road_026,occupancy
S0336,4427.0,3098.0,12.9769874,77.614466,road_027,speed
S0337,4607.0,4182.0,12.9867532,77.6163216,road_028,volume
S0338,4823.0,4121.0,12.9862036,77.6185485,road_029,occupancy
S0339,2502.0,1567.0,12.9631946,77.5946206,road_030,speed
S0340,1911.0,2829.0,12.974564,77.5885278,road_031,volume
S0341,4130.0,2375.0,12.9704739,77.6114041,road_032,occupancy
S0342,2573.0,599.0,12.9544739,77.5953526,road_033,speed
S0343,3240.0,999.0,12.9580775,77.6022289,road_034,volume
S0344,2353.0,421.0,12.9528703,77.5930845,road_035,occupancy
S0345,2838.0,1111.0,12.9590865,77.5980845,road_036,speed
S0346,3495.0,4790.0,12.9922306,77.6048577,road_037,volume
S0347,208.0,4535.0,12.9899333,77.5709711,road_038,occupancy
S0348,1470.0,4117.0,12.9861676,77.5839814,road_039,speed
S0349,3817.0,4233.0,12.9872126,77.6081773,road_040,volume
S0350,3302.0,4598.0,12.9905009,77.602868,road_041,occupancy
S0351,72.0,940.0,12.9575459,77.5695691,road_042,speed
S0352,438.0,2903.0,12.9752306,77.5733423,road_043,volume
S0353,308.0,1883.0,12.9660414,77.5720021,road_044,occupancy
S0354,1595.0,962.0,12.9577441,77.5852701,road_045,speed
S0355,3630.0,684.0,12.9552396,77.6062495,road_046,volume
S0356,2540.0,4343.0,12.9882036,77.5950124,road_047,occupancy
S0357,4964.0,3192.0,12.9778342,77.6200021,road_048,speed
S0358,4745.0,3541.0,12.9809784,77.6177443,road_049,volume
S0359,3996.0,4456.0,12.9892216,77.6100227,road_050,occupancy
S0360,3264.0,943.0,12.957573,77.6024763,road_021,speed
S0361,3818.0,4965.0,12.9938072,77.6081876,road_022,volume
S0362,2266.0,2456.0,12.9712036,77.5921876,road_023,occupancy
S0363,2461.0,1720.0,12.964573,77.5941979,road_024,speed
S0364,1170.0,4687.0,12.9913027,77.5808887,road_025,volume
S0365,1991.0,1303.0,12.9608162,77.5893526,road_026,occupancy
S0366,3016.0,4297.0,12.9877892,77.5999196,road_027,speed
S0367,1455.0,810.0,12.9563748,77.5838268,road_028,volume
S0368,3573.0,3003.0,12.9761315,77.6056619,road_029,occupancy
S0369,1770.0,3102.0,12.9770234,77.5870742,road_030,speed
S0370,4492.0,1662.0,12.9640505,77.6151361,road_031,volume
S0371,1805.0,3055.0,12.9766,77.5874351,road_032,occupancy
S0372,2350.0,4701.0,12.9914288,77.5930536,road_033,speed
S0373,800.0,1867.0,12.9658973,77.5770742,road_034,volume
S0374,3548.0,596.0,12.9544468,77.6054041,road_035,occupancy
S0375,3775.0,2289.0,12.9696991,77.6077443,road_036,speed
S0376,2072.0,512.0,12.9536901,77.5901876,road_037,volume
S0377,1078.0,3291.0,12.9787261,77.5799402,road_038,occupancy
S0378,103.0,3698.0,12.9823928,77.5698887,road_039,speed
S0379,2695.0,177.0,12.9506721,77.5966103,road_040,volume
S0380,4016.0,4155.0,12.9865099,77.6102289,road_041,occupancy
S0381,1330.0,3428.0,12.9799604,77.5825381,road_042,speed
S0382,179.0,2230.0,12.9691676,77.5706722,road_043,volume
S0383,2683.0,28.0,12.9493297,77.5964866,road_044,occupancy
S0384,2989.0,893.0,12.9571225,77.5996412,road_045,speed
S0385,336.0,2276.0,12.969582,77.5722907,road_046,volume
S0386,916.0,4063.0,12.9856811,77.5782701,road_047,occupancy
S0387,4951.0,228.0,12.9511315,77.619868,road_048,speed
S0388,3551.0,3485.0,12.9804739,77.6054351,road_049,volume
S0389,4899.0,86.0,12.9498523,77.619332,road_050,occupancy
S0390,4978.0,2659.0,12.9730324,77.6201464,road_021,speed
S0391,3928.0,1422.0,12.9618883,77.6093216,road_022,volume
S0392,3877.0,3897.0,12.9841856,77.6087959,road_023,occupancy
S0393,2062.0,772.0,12.9560324,77.5900845,road_024,speed
S0394,1489.0,4251.0,12.9873748,77.5841773,road_025,volume
S0395,2939.0,3789.0,12.9832126,77.5991258,road_026,occupancy
S0396,3784.0,4879.0,12.9930324,77.6078371,road_027,speed
S0397,4571.0,2734.0,12.9737081,77.6159505,road_028,volume
S0398,3361.0,1102.0,12.9590054,77.6034763,road_029,occupancy
S0399,2861.0,3714.0,12.9825369,77.5983216,road_030,speed
S0400,4054.0,2679.0,12.9732126,77.6106206,road_031,volume
S0401,3736.0,108.0,12.9500505,77.6073423,road_032,occupancy
S0402,823.0,904.0,12.9572216,77.5773113,road_033,speed
S0403,4046.0,1198.0,12.9598703,77.6105381,road_034,volume
S0404,1100.0,3457.0,12.9802216,77.580167,road_035,occupancy
S0405,1411.0,4466.0,12.9893117,77.5833732,road_036,speed
S0406,2483.0,834.0,12.956591,77.5944247,road_037,volume
S0407,3326.0,2256.0,12.9694018,77.6031155,road_038,occupancy
S0408,3941.0,3156.0,12.9775099,77.6094557,road_039,speed
S0409,4297.0,4200.0,12.9869153,77.6131258,road_040,volume
S0410,1720.0,4382.0,12.988555,77.5865588,road_041,occupancy
S0411,4077.0,2342.0,12.9701766,77.6108577,road_042,speed
S0412,3052.0,863.0,12.9568523,77.6002907,road_043,volume
S0413,4390.0,977.0,12.9578793,77.6140845,road_044,occupancy
S0414,1686.0,3206.0,12.9779604,77.5862082,road_045,speed
S0415,776.0,2518.0,12.9717622,77.5768268,road_046,volume
S0416,3750.0,306.0,12.9518342,77.6074866,road_047,occupancy
S0417,612.0,4763.0,12.9919874,77.5751361,road_048,speed
S0418,4420.0,3300.0,12.9788072,77.6143938,road_049,volume
S0419,175.0,4060.0,12.9856541,77.5706309,road_050,occupancy
S0420,4534.0,1870.0,12.9659243,77.6155691,road_021,speed
S0421,2430.0,2407.0,12.9707622,77.5938784,road_022,volume
S0422,1324.0,1728.0,12.964645,77.5824763,road_023,occupancy
S0423,1251.0,960.0,12.9577261,77.5817237,road_024,speed
S0424,408.0,4584.0,12.9903748,77.573033,road_025,volume
S0425,4804.0,4345.0,12.9882216,77.6183526,road_026,occupancy
S0426,2985.0,2813.0,12.9744198,77.5996,road_027,speed
S0427,2883.0,1707.0,12.9644559,77.5985485,road_028,volume
S0428,1585.0,1459.0,12.9622216,77.585167,road_029,occupancy
S0429,4034.0,654.0,12.9549694,77.6104144,road_030,speed
S0430,1047.0,3514.0,12.9807351,77.5796206,road_031,volume
S0431,3105.0,223.0,12.9510865,77.6008371,road_032,occupancy
S0432,3873.0,3026.0,12.9763387,77.6087546,road_033,speed
S0433,3372.0,3759.0,12.9829423,77.6035897,road_034,volume
S0434,2653.0,27.0,12.9493207,77.5961773,road_035,occupancy
S0435,1565.0,3127.0,12.9772486,77.5849608,road_036,speed
S0436,232.0,3146.0,12.9774198,77.5712186,road_037,volume
S0437,685.0,436.0,12.9530054,77.5758887,road_038,occupancy
S0438,2611.0,3623.0,12.9817171,77.5957443,road_039,speed
S0439,1349.0,1047.0,12.9585099,77.582734,road_040,volume
S0440,1359.0,2226.0,12.9691315,77.5828371,road_041,occupancy
S0441,3428.0,1333.0,12.9610865,77.604167,road_042,speed
S0442,437.0,537.0,12.9539153,77.573332,road_043,volume
S0443,1192.0,3937.0,12.9845459,77.5811155,road_044,occupancy
S0444,4072.0,3368.0,12.9794198,77.6108062,road_045,speed
S0445,1449.0,3975.0,12.9848883,77.5837649,road_046,volume
S0446,3733.0,2252.0,12.9693658,77.6073113,road_047,occupancy
S0447,3011.0,1381.0,12.9615189,77.599868,road_048,speed
S0448,4582.0,3448.0,12.9801405,77.6160639,road_049,volume
S0449,4615.0,1790.0,12.9652036,77.6164041,road_050,occupancy
