incident_id,timestamp,type,x_m,y_m,lat,lon,severity,duration_minutes,affected_road_id
INC_00032,2024-01-06 12:47:00,traffic_accident,528.19,2725.36,12.9736303,77.5742721,low,65,road_011
INC_00033,2024-01-06 13:28:00,construction,4974.76,1768.1,12.9650063,77.620113,high,227,road_048
INC_00034,2024-01-06 17:12:00,construction,338.34,3646.93,12.9819327,77.5723148,high,238,road_006
INC_00035,2024-01-07 07:59:00,traffic_accident,1453.68,859.12,12.9568173,77.5838132,low,91,road_017
INC_00036,2024-01-07 13:09:00,construction,2083.65,2597.79,12.972481,77.5903077,critical,21,road_022
INC_00037,2024-01-07 11:32:00,road_closure,2271.06,3110.59,12.9771008,77.5922398,medium,162,road_006
INC_00038,2024-01-07 20:17:00,construction,1321.98,1946.86,12.9666167,77.5824554,high,179,road_007
INC_00039,2024-01-07 15:17:00,flooding,3043.61,4773.91,12.9920857,77.6002043,medium,52,road_042
INC_00040,2024-01-07 02:52:00,road_closure,539.95,209.7,12.9509667,77.5743932,low,18,road_049
INC_00041,2024-01-08 16:38:00,emergency_response,58.38,4660.16,12.9910609,77.5694286,medium,187,road_016
INC_00042,2024-01-08 06:28:00,construction,1120.23,4538.91,12.9899686,77.5803756,low,82,road_019
INC_00043,2024-01-08 23:16:00,construction,196.2,1671.8,12.9641387,77.5708495,medium,83,road_015
INC_00044,2024-01-08 18:52:00,traffic_accident,4221.97,377.21,12.9524757,77.6123522,medium,25,road_050
INC_00045,2024-01-08 07:10:00,construction,998.21,2932.17,12.9754934,77.5791176,low,184,road_026
INC_00046,2024-01-09 06:53:00,construction,1696.8,3744.33,12.9828102,77.5863196,high,64,road_042
INC_00047,2024-01-09 16:15:00,traffic_accident,2659.4,747.82,12.9558146,77.5962433,medium,61,road_047
INC_00048,2024-01-09 14:58:00,construction,605.66,2498.19,12.9715837,77.5750707,medium,224,road_013
INC_00049,2024-01-09 13:05:00,construction,4981.37,945.69,12.9575972,77.6201811,high,66,road_018
INC_00050,2024-01-09 07:22:00,flooding,1735.53,1413.21,12.9618091,77.5867189,high,194,road_001
INC_00051,2024-01-10 16:20:00,flooding,3833.15,4544.44,12.9900183,77.6083438,medium,135,road_026
INC_00052,2024-01-10 20:28:00,flooding,1998.26,1350.59,12.9612449,77.5894275,low,154,road_031
INC_00053,2024-01-10 20:07:00,flooding,4202.69,3413.83,12.9798327,77.6121535,medium,141,road_035
INC_00054,2024-01-10 08:50:00,construction,1175.67,4121.26,12.986206,77.5809471,high,168,road_016
INC_00055,2024-01-10 20:15:00,construction,4475.08,2004.16,12.967133,77.6149616,critical,99,road_009
INC_00056,2024-01-11 17:46:00,construction,433.72,2157.56,12.9685149,77.5732981,critical,20,road_016
INC_00057,2024-01-11 05:23:00,road_closure,2636.45,1470.93,12.9623291,77.5960067,low,70,road_011
INC_00058,2024-01-11 13:06:00,construction,3186.76,4551.78,12.9900845,77.60168,high,131,road_048
INC_00059,2024-01-11 07:30:00,road_closure,1400.93,914.63,12.9573174,77.5832693,medium,159,road_042
INC_00060,2024-01-11 08:58:00,flooding,4706.0,2319.58,12.9699746,77.6173423,high,120,road_050
INC_00061,2024-01-12 12:44:00,construction,4340.34,1695.43,12.9643516,77.6135726,low,42,road_006
INC_00062,2024-01-12 16:12:00,flooding,1956.29,3476.16,12.9803943,77.5889947,high,94,road_010
INC_00063,2024-01-12 11:15:00,construction,4908.6,3595.7,12.9814712,77.619431,critical,138,road_034
INC_00064,2024-01-12 21:07:00,road_closure,2703.46,3789.85,12.9832203,77.5966975,low,213,road_044
INC_00065,2024-01-12 19:00:00,flooding,4131.22,4538.75,12.9899672,77.6114167,medium,18,road_047
INC_00066,2024-01-13 23:32:00,traffic_accident,2208.13,2577.19,12.9722954,77.591591,medium,216,road_042
INC_00067,2024-01-13 00:01:00,emergency_response,2054.45,4929.33,12.9934859,77.5900067,low,41,road_017
INC_00068,2024-01-13 11:03:00,traffic_accident,2028.53,3100.19,12.9770071,77.5897395,critical,23,road_020
INC_00069,2024-01-13 21:53:00,emergency_response,3773.92,4533.36,12.9899185,77.6077332,critical,19,road_005
INC_00070,2024-01-13 17:07:00,construction,1612.47,4484.33,12.9894768,77.5854502,low,103,road_001
INC_00071,2024-01-13 19:18:00,traffic_accident,3228.4,3367.37,12.9794141,77.6021093,medium,198,road_002
INC_00072,2024-01-14 00:22:00,road_closure,3877.61,296.59,12.9517494,77.6088021,high,150,road_037
INC_00073,2024-01-14 07:01:00,construction,3647.3,72.93,12.9497345,77.6064278,medium,66,road_031
INC_00074,2024-01-14 02:14:00,construction,1996.84,4713.11,12.9915379,77.5894128,low,193,road_045
INC_00075,2024-01-14 17:00:00,road_closure,701.51,3410.71,12.9798046,77.5760589,high,127,road_008
INC_00076,2024-01-14 19:42:00,road_closure,430.84,1749.39,12.9648378,77.5732684,low,112,road_034
INC_00077,2024-01-14 04:26:00,emergency_response,4164.36,3058.53,12.9766318,77.6117583,low,154,road_014
INC_00078,2024-01-15 21:35:00,flooding,1174.86,2261.47,12.9694511,77.5809388,medium,27,road_005
INC_00079,2024-01-15 16:15:00,road_closure,4234.13,936.45,12.957514,77.6124776,medium,55,road_013
INC_00080,2024-01-15 01:15:00,flooding,632.86,3870.72,12.9839489,77.5753511,low,94,road_027
INC_00081,2024-01-15 12:01:00,road_closure,2550.98,2488.49,12.9714963,77.5951256,low,157,road_010
INC_00082,2024-01-15 19:12:00,flooding,322.58,729.48,12.9556494,77.5721524,critical,118,road_048
INC_00083,2024-01-16 18:33:00,traffic_accident,4527.01,254.55,12.9513707,77.615497,high,152,road_046
INC_00084,2024-01-16 21:46:00,flooding,4784.65,929.73,12.9574535,77.6181531,critical,23,road_027
INC_00085,2024-01-16 13:33:00,road_closure,3472.27,3911.79,12.9843188,77.6046235,high,193,road_046
INC_00086,2024-01-16 02:20:00,road_closure,1099.31,4015.52,12.9852533,77.5801599,low,34,road_017
INC_00087,2024-01-16 18:09:00,road_closure,3087.45,2564.17,12.9721781,77.6006562,critical,141,road_005
INC_00088,2024-01-17 02:17:00,construction,4431.95,2986.69,12.9759846,77.614517,high,208,road_037
INC_00089,2024-01-17 00:45:00,flooding,2164.0,4746.51,12.9918388,77.591136,critical,170,road_046
INC_00090,2024-01-17 21:36:00,flooding,1236.2,1184.76,12.959751,77.5815711,high,12,road_039
INC_00091,2024-01-17 22:14:00,flooding,2278.64,710.03,12.9554742,77.5923179,medium,53,road_031
INC_00092,2024-01-17 17:41:00,emergency_response,234.18,4752.21,12.9918902,77.571241,low,51,road_046
INC_00093,2024-01-17 23:39:00,construction,3005.52,3434.52,12.9800191,77.5998115,high,148,road_005
INC_00094,2024-01-18 04:10:00,road_closure,137.49,620.16,12.9546645,77.5702442,low,183,road_003
INC_00095,2024-01-18 08:40:00,road_closure,490.69,2752.54,12.9738751,77.5738854,low,186,road_048
INC_00096,2024-01-18 06:44:00,traffic_accident,2981.35,1323.08,12.9609971,77.5995624,critical,47,road_027
INC_00097,2024-01-18 12:11:00,construction,279.78,724.27,12.9556024,77.5717111,medium,20,road_022
INC_00098,2024-01-18 11:22:00,construction,4715.55,400.37,12.9526844,77.6174407,low,51,road_015
INC_00099,2024-01-18 17:38:00,emergency_response,2936.08,3409.3,12.9797919,77.5990956,medium,167,road_047
INC_00100,2024-01-19 00:29:00,road_closure,4589.69,1373.99,12.9614557,77.6161432,medium,43,road_007
INC_00101,2024-01-19 04:08:00,emergency_response,4864.97,4393.67,12.9886601,77.6189811,medium,72,road_004
INC_00102,2024-01-19 18:13:00,traffic_accident,2859.8,4147.89,12.9864458,77.5983093,low,54,road_012
INC_00103,2024-01-19 12:57:00,road_closure,1723.43,4127.72,12.9862641,77.5865941,high,94,road_021
INC_00104,2024-01-19 08:14:00,traffic_accident,3742.08,4305.75,12.987868,77.607405,high,86,road_002
INC_00105,2024-01-20 08:32:00,construction,4061.25,849.63,12.9567318,77.6106954,low,151,road_024
INC_00106,2024-01-20 20:51:00,emergency_response,4452.12,2786.55,12.9741815,77.614725,low,36,road_010
INC_00107,2024-01-20 21:52:00,emergency_response,4864.89,2230.24,12.9691698,77.6189803,critical,225,road_012
INC_00108,2024-01-20 13:47:00,emergency_response,4299.17,2731.58,12.9736863,77.6131481,low,18,road_044
INC_00109,2024-01-20 20:13:00,traffic_accident,2088.11,2700.04,12.9734021,77.5903537,high,204,road_044
INC_00110,2024-01-21 21:03:00,road_closure,1203.31,3584.64,12.9813715,77.581232,medium,129,road_026
INC_00111,2024-01-21 22:32:00,road_closure,1631.69,4352.38,12.9882881,77.5856483,low,105,road_024
INC_00112,2024-01-21 14:48:00,emergency_response,1546.83,687.12,12.9552678,77.5847735,low,37,road_034
INC_00113,2024-01-21 20:16:00,emergency_response,197.61,2659.39,12.973036,77.570864,critical,189,road_009
INC_00114,2024-01-21 06:48:00,traffic_accident,1502.49,245.16,12.9512861,77.5843164,high,199,road_042
INC_00115,2024-01-22 10:59:00,construction,2467.83,3908.92,12.984293,77.5942683,critical,95,road_034
INC_00116,2024-01-22 15:43:00,emergency_response,43.1,303.92,12.9518155,77.5692711,medium,221,road_010
INC_00117,2024-01-22 02:57:00,emergency_response,2157.27,4350.76,12.9882735,77.5910668,critical,149,road_009
INC_00118,2024-01-22 17:32:00,construction,3374.89,1610.45,12.9635861,77.6036194,medium,203,road_011
INC_00119,2024-01-22 11:48:00,traffic_accident,56.13,2212.53,12.9690102,77.5694055,critical,188,road_050
INC_00120,2024-01-23 15:19:00,traffic_accident,2983.61,3956.09,12.9847179,77.5995857,low,169,road_043
INC_00121,2024-01-23 13:28:00,flooding,2647.34,4358.49,12.9883432,77.596119,low,70,road_039
INC_00122,2024-01-23 09:40:00,road_closure,604.07,1405.61,12.9617406,77.5750544,medium,233,road_016
INC_00123,2024-01-23 22:31:00,construction,4700.95,3840.23,12.9836741,77.6172902,low,233,road_007
INC_00124,2024-01-23 04:10:00,flooding,1494.45,3986.97,12.9849962,77.5842335,medium,142,road_021
INC_00125,2024-01-24 09:35:00,traffic_accident,4159.33,3552.1,12.9810783,77.6117065,high,123,road_020
INC_00126,2024-01-24 21:45:00,flooding,2900.21,4192.29,12.9868459,77.5987259,medium,216,road_007
INC_00127,2024-01-24 00:44:00,flooding,3354.45,3133.7,12.977309,77.6034088,medium,165,road_044
INC_00128,2024-01-24 18:27:00,traffic_accident,982.3,436.47,12.9530097,77.5789536,medium,151,road_042
INC_00129,2024-01-24 01:29:00,road_closure,4371.56,1648.06,12.9639249,77.6138944,high,64,road_023
INC_00130,2024-01-25 11:10:00,traffic_accident,2351.17,4155.89,12.9865179,77.5930656,low,84,road_014
INC_00131,2024-01-25 12:28:00,traffic_accident,4488.03,1158.03,12.9595102,77.6150951,medium,59,road_037
INC_00132,2024-01-25 14:39:00,construction,592.81,2226.24,12.9691337,77.5749383,high,206,road_044
INC_00133,2024-01-25 08:16:00,flooding,3640.16,935.17,12.9575025,77.6063543,low,86,road_003
INC_00134,2024-01-25 18:38:00,construction,788.08,3008.24,12.9761787,77.5769513,medium,51,road_006
INC_00135,2024-01-26 04:01:00,construction,3902.28,221.89,12.9510765,77.6090565,high,229,road_008
INC_00136,2024-01-26 05:32:00,traffic_accident,1340.78,2138.0,12.9683387,77.5826493,critical,35,road_024
INC_00137,2024-01-26 17:18:00,construction,3188.99,3800.14,12.983313,77.6017029,low,232,road_042
INC_00138,2024-01-26 13:49:00,emergency_response,71.43,2276.57,12.9695872,77.5695632,critical,57,road_036
INC_00139,2024-01-26 10:17:00,emergency_response,4356.31,4577.96,12.9903204,77.6137373,low,119,road_048
INC_00140,2024-01-26 23:54:00,traffic_accident,2075.07,2113.96,12.9681221,77.5902193,medium,199,road_008
INC_00141,2024-01-27 04:30:00,emergency_response,2070.4,2899.85,12.9752023,77.5901711,low,186,road_018
INC_00142,2024-01-27 21:26:00,construction,3690.36,801.2,12.9562955,77.6068718,critical,26,road_015
INC_00143,2024-01-27 16:25:00,emergency_response,2948.93,422.57,12.9528844,77.5992281,low,99,road_032
INC_00144,2024-01-27 10:11:00,construction,4321.54,2604.66,12.9725429,77.6133787,low,206,road_040
INC_00145,2024-01-27 09:41:00,emergency_response,2641.69,2511.08,12.9716998,77.5960607,critical,46,road_012
INC_00146,2024-01-28 04:09:00,traffic_accident,4815.46,3261.35,12.978459,77.6184708,low,193,road_050
INC_00147,2024-01-28 13:27:00,flooding,1041.4,2182.04,12.9687355,77.5795629,low,162,road_034
INC_00148,2024-01-28 12:54:00,flooding,2537.49,242.76,12.9512645,77.5949865,critical,150,road_046
INC_00149,2024-01-28 20:09:00,emergency_response,4948.85,3146.31,12.9774227,77.6198458,high,100,road_006
INC_00150,2024-01-28 14:07:00,flooding,2096.69,3819.04,12.9834833,77.5904422,medium,127,road_047
INC_00151,2024-01-28 01:00:00,traffic_accident,4696.54,242.58,12.9512628,77.6172448,low,85,road_040
INC_00152,2024-01-29 09:35:00,flooding,3251.06,1413.99,12.9618162,77.6023429,medium,239,road_027
INC_00153,2024-01-29 13:22:00,flooding,711.26,2610.77,12.9725979,77.5761594,high,149,road_037
INC_00154,2024-01-29 11:45:00,flooding,799.53,4943.36,12.9936122,77.5770694,high,34,road_046
INC_00155,2024-01-29 11:16:00,road_closure,4665.07,355.62,12.9522813,77.6169203,high,123,road_041
INC_00156,2024-01-29 00:22:00,traffic_accident,3585.35,4274.5,12.9875865,77.6057892,low,74,road_025
INC_00157,2024-01-29 04:50:00,construction,4592.48,4707.93,12.9914913,77.616172,high,214,road_039
INC_00158,2024-01-30 02:16:00,flooding,4587.93,3404.17,12.9797456,77.6161251,medium,211,road_042
INC_00159,2024-01-30 12:47:00,flooding,1139.63,2955.92,12.9757074,77.5805756,medium,204,road_021
INC_00160,2024-01-30 08:55:00,construction,4171.97,1194.19,12.9598359,77.6118368,medium,66,road_003
INC_00161,2024-01-30 01:50:00,construction,4971.02,4406.41,12.9887749,77.6200744,low,210,road_038
INC_00162,2024-01-30 16:30:00,road_closure,1948.91,4784.43,12.9921804,77.5889186,high,142,road_049
INC_00163,2024-01-31 20:42:00,road_closure,1461.98,3544.72,12.9810119,77.5838988,medium,23,road_017
INC_00164,2024-01-31 14:30:00,traffic_accident,4578.99,3600.83,12.9815174,77.6160328,low,31,road_031
INC_00165,2024-01-31 00:10:00,road_closure,3007.63,1026.01,12.9583209,77.5998333,high,124,road_029
INC_00166,2024-01-31 08:57:00,emergency_response,4003.62,975.68,12.9578674,77.6101012,medium,73,road_008
INC_00167,2024-01-31 02:53:00,flooding,4485.32,1675.16,12.964169,77.6150672,medium,74,road_030
INC_00168,2024-02-01 01:41:00,road_closure,2842.89,346.48,12.9521989,77.5981349,critical,220,road_020
INC_00169,2024-02-01 09:01:00,road_closure,1283.76,3454.23,12.9801967,77.5820615,low,25,road_028
INC_00170,2024-02-01 23:58:00,construction,2378.06,1988.2,12.9669892,77.5933429,high,61,road_026
INC_00171,2024-02-01 17:10:00,construction,3091.22,2894.44,12.9751535,77.6006951,critical,49,road_039
INC_00172,2024-02-01 12:53:00,construction,3651.25,973.85,12.9578509,77.6064686,high,58,road_049
INC_00173,2024-02-02 16:42:00,road_closure,934.69,3913.26,12.984332,77.5784628,critical,237,road_006
INC_00174,2024-02-02 19:26:00,emergency_response,1129.42,2777.1,12.9740964,77.5804703,critical,60,road_036
INC_00175,2024-02-02 21:17:00,construction,1874.03,4007.99,12.9851855,77.5881467,low,144,road_015
INC_00176,2024-02-02 00:22:00,flooding,2002.9,721.87,12.9555808,77.5894752,critical,50,road_043
INC_00177,2024-02-02 19:06:00,flooding,1130.26,2428.85,12.970959,77.5804789,low,113,road_005
INC_00178,2024-02-02 06:14:00,traffic_accident,1963.15,4051.53,12.9855777,77.5890654,low,196,road_007
INC_00179,2024-02-03 02:54:00,construction,3824.29,1568.44,12.9632076,77.6082525,low,136,road_033
INC_00180,2024-02-03 14:32:00,construction,1823.44,3666.8,12.9821117,77.5876252,high,194,road_003
INC_00181,2024-02-03 04:42:00,road_closure,1343.0,711.07,12.9554835,77.5826722,low,221,road_049
INC_00182,2024-02-03 12:10:00,construction,2872.48,4407.04,12.9887805,77.59844,medium,52,road_007
INC_00183,2024-02-03 02:22:00,emergency_response,755.51,4328.75,12.9880752,77.5766155,critical,106,road_011
INC_00184,2024-02-03 03:03:00,flooding,212.98,3292.3,12.9787378,77.5710225,critical,89,road_024
INC_00185,2024-02-04 03:28:00,flooding,1264.01,4475.87,12.9894006,77.5818578,medium,30,road_019
INC_00186,2024-02-04 00:59:00,traffic_accident,4670.32,4462.6,12.989281,77.6169745,medium,28,road_035
INC_00187,2024-02-04 00:54:00,traffic_accident,3869.74,3350.48,12.979262,77.608721,high,102,road_034
INC_00188,2024-02-04 10:58:00,traffic_accident,2329.72,1509.34,12.9626751,77.5928445,medium,113,road_031
INC_00189,2024-02-04 01:26:00,traffic_accident,4123.03,1489.64,12.9624976,77.6113323,critical,199,road_009
INC_00190,2024-02-05 01:55:00,emergency_response,1863.87,2526.41,12.9718379,77.588042,medium,74,road_049
INC_00191,2024-02-05 09:58:00,construction,316.74,1001.33,12.9580984,77.5720922,low,206,road_011
INC_00192,2024-02-05 15:29:00,traffic_accident,3358.4,3287.3,12.9786928,77.6034494,low,206,road_003
INC_00193,2024-02-05 08:26:00,construction,2028.53,4643.67,12.9909123,77.5897395,low,46,road_047
INC_00194,2024-02-05 16:07:00,traffic_accident,3251.13,2830.96,12.9745816,77.6023436,critical,214,road_045
INC_00195,2024-02-06 04:55:00,flooding,749.96,2368.69,12.970417,77.5765584,medium,14,road_013
INC_00196,2024-02-06 06:04:00,traffic_accident,3943.86,3400.24,12.9797102,77.6094851,high,120,road_035
INC_00197,2024-02-06 02:24:00,flooding,2546.92,2626.42,12.972739,77.5950837,medium,102,road_049
INC_00198,2024-02-06 18:24:00,emergency_response,2941.74,3440.75,12.9800752,77.5991541,critical,103,road_001
INC_00199,2024-02-06 07:02:00,road_closure,2097.95,984.47,12.9579465,77.5904551,low,71,road_031
INC_00200,2024-02-07 13:55:00,emergency_response,3898.25,1695.69,12.964354,77.6090149,high,31,road_043
INC_00201,2024-02-07 07:38:00,flooding,997.44,2785.49,12.974172,77.5791097,critical,170,road_018
INC_00202,2024-02-07 09:10:00,flooding,4818.44,2071.6,12.9677406,77.6185015,low,96,road_023
INC_00203,2024-02-07 11:21:00,construction,784.79,3674.93,12.982185,77.5769175,medium,81,road_025
INC_00204,2024-02-07 09:29:00,traffic_accident,1507.83,182.35,12.9507203,77.5843714,medium,74,road_004
INC_00205,2024-02-07 15:09:00,emergency_response,1030.62,2669.46,12.9731267,77.5794518,critical,191,road_015
INC_00206,2024-02-08 17:31:00,flooding,2516.6,3820.3,12.9834946,77.5947712,critical,80,road_022
INC_00207,2024-02-08 17:34:00,traffic_accident,2531.18,1052.57,12.9585601,77.5949214,medium,164,road_014
INC_00208,2024-02-08 15:28:00,traffic_accident,3525.78,26.88,12.9493196,77.605175,critical,11,road_025
INC_00209,2024-02-08 11:35:00,flooding,3638.3,2060.54,12.9676409,77.6063351,critical,190,road_021
INC_00210,2024-02-08 17:47:00,construction,1715.39,716.16,12.9555294,77.5865112,medium,19,road_025
INC_00211,2024-02-09 16:06:00,flooding,4892.99,4256.57,12.987425,77.61927,low,158,road_019
INC_00212,2024-02-09 17:49:00,road_closure,232.89,4933.99,12.9935279,77.5712277,low,221,road_028
INC_00213,2024-02-09 21:29:00,traffic_accident,711.37,1430.33,12.9619633,77.5761605,critical,80,road_012
INC_00214,2024-02-09 09:14:00,emergency_response,2108.76,1183.9,12.9597433,77.5905666,critical,190,road_006
INC_00215,2024-02-09 23:53:00,emergency_response,1337.85,1972.63,12.9668489,77.5826191,medium,226,road_022
INC_00216,2024-02-10 02:56:00,traffic_accident,1874.26,4112.4,12.9861261,77.5881491,critical,189,road_018
INC_00217,2024-02-10 10:52:00,traffic_accident,4200.94,1738.44,12.9647391,77.6121355,low,45,road_015
INC_00218,2024-02-10 16:29:00,construction,2356.8,2847.19,12.9747278,77.5931237,medium,20,road_008
INC_00219,2024-02-10 15:45:00,road_closure,782.63,1828.37,12.9655493,77.5768952,critical,234,road_032
INC_00220,2024-02-10 12:02:00,traffic_accident,1769.73,1878.18,12.965998,77.5870714,low,207,road_030
INC_00221,2024-02-11 14:58:00,road_closure,3227.96,4804.16,12.9923582,77.6021047,high,169,road_015
INC_00222,2024-02-11 02:56:00,emergency_response,879.52,3570.52,12.9812443,77.577894,medium,11,road_039
INC_00223,2024-02-11 10:40:00,traffic_accident,1424.57,718.0,12.955546,77.5835131,medium,29,road_035
INC_00224,2024-02-11 22:51:00,emergency_response,3348.32,4980.72,12.9939488,77.6033456,medium,119,road_042
INC_00225,2024-02-11 14:04:00,flooding,2005.06,987.23,12.9579715,77.5894976,high,20,road_040
INC_00226,2024-02-12 17:28:00,emergency_response,4981.12,2054.58,12.9675872,77.6201785,low,16,road_029
INC_00227,2024-02-12 16:52:00,road_closure,4281.19,3582.9,12.9813559,77.6129628,high,184,road_020
INC_00228,2024-02-12 05:17:00,construction,1796.0,1410.43,12.9617841,77.5873422,low,86,road_049
INC_00229,2024-02-12 03:38:00,traffic_accident,2885.21,4277.69,12.9876152,77.5985713,high,147,road_043
INC_00230,2024-02-12 23:38:00,flooding,4200.78,785.97,12.9561582,77.6121338,high,183,road_005
INC_00231,2024-02-12 20:57:00,traffic_accident,3375.88,3061.29,12.9766566,77.6036297,low,233,road_047
INC_00232,2024-02-13 01:44:00,road_closure,4245.64,1697.59,12.9643711,77.6125963,low,141,road_047
INC_00233,2024-02-13 03:58:00,traffic_accident,3026.38,2674.11,12.9731686,77.6000266,critical,221,road_043
INC_00234,2024-02-13 09:15:00,flooding,490.61,4194.56,12.9868663,77.5738847,low,185,road_007
INC_00235,2024-02-13 09:44:00,emergency_response,4538.75,726.71,12.9556244,77.615618,medium,209,road_034
INC_00236,2024-02-13 12:29:00,flooding,326.56,3291.74,12.9787328,77.5721934,medium,168,road_003
INC_00237,2024-02-14 21:42:00,flooding,2472.13,3513.94,12.9807346,77.5943127,high,235,road_002
INC_00238,2024-02-14 00:51:00,emergency_response,2973.16,1675.22,12.9641695,77.5994779,low,145,road_014
INC_00239,2024-02-14 18:22:00,flooding,1709.63,3830.53,12.9835867,77.5864519,high,189,road_031
INC_00240,2024-02-14 07:27:00,construction,3221.94,3557.79,12.9811297,77.6020427,high,72,road_022
INC_00241,2024-02-14 04:38:00,emergency_response,287.4,1731.48,12.9646764,77.5717896,critical,164,road_018
INC_00242,2024-02-15 11:14:00,road_closure,178.88,2952.14,12.9756734,77.570671,medium,141,road_047
INC_00243,2024-02-15 04:49:00,flooding,3435.21,695.36,12.955342,77.6042413,medium,229,road_003
INC_00244,2024-02-15 07:20:00,traffic_accident,4279.39,3400.51,12.9797127,77.6129442,low,228,road_021
INC_00245,2024-02-15 09:41:00,emergency_response,4299.51,1113.28,12.9591071,77.6131516,low,135,road_049
INC_00246,2024-02-15 18:02:00,flooding,446.9,4119.83,12.9861931,77.5734341,high,67,road_042
INC_00247,2024-02-15 21:14:00,construction,4065.65,644.76,12.9548862,77.6107407,low,30,road_050
INC_00248,2024-02-16 02:56:00,construction,3876.89,4422.37,12.9889187,77.6087947,medium,47,road_044
INC_00249,2024-02-16 21:18:00,road_closure,2151.15,4784.23,12.9921787,77.5910036,medium,125,road_036
INC_00250,2024-02-16 05:50:00,traffic_accident,186.45,2272.26,12.9695483,77.5707489,medium,119,road_006
INC_00251,2024-02-16 05:12:00,road_closure,3174.77,447.85,12.9531122,77.6015564,low,28,road_027
INC_00252,2024-02-16 03:02:00,traffic_accident,2799.83,3904.81,12.984256,77.597691,low,158,road_012
INC_00253,2024-02-16 11:12:00,emergency_response,4655.12,854.95,12.9567797,77.6168178,high,183,road_027
INC_00254,2024-02-17 16:51:00,traffic_accident,936.51,2006.13,12.9671507,77.5784816,critical,203,road_046
INC_00255,2024-02-17 20:46:00,traffic_accident,3378.37,55.98,12.9495818,77.6036554,high,86,road_034
INC_00256,2024-02-17 00:55:00,construction,1938.87,142.53,12.9503615,77.5888151,high,72,road_025
INC_00257,2024-02-17 23:06:00,construction,322.84,1424.3,12.961909,77.5721551,critical,164,road_034
INC_00258,2024-02-17 20:19:00,construction,2272.21,3266.19,12.9785026,77.5922516,critical,18,road_031
