x_m,y_m,elevation_m
101.01,1010.1,911.196
101.01,1060.61,901.921
101.01,1111.11,906.103
101.01,1161.62,900.569
101.01,1212.12,901.907
101.01,1262.63,904.082
101.01,1313.13,901.087
101.01,1363.64,897.861
101.01,1414.14,897.652
101.01,1464.65,899.52
101.01,1515.15,895.793
101.01,1565.66,896.799
101.01,1616.16,895.591
101.01,1666.67,893.358
101.01,1717.17,898.139
101.01,1767.68,894.341
101.01,1818.18,888.281
101.01,1868.69,892.001
101.01,1919.19,889.643
101.01,1969.7,892.053
101.01,2020.2,888.192
101.01,2070.71,889.025
101.01,2121.21,889.792
101.01,2171.72,890.095
101.01,2222.22,885.598
101.01,2272.73,887.021
101.01,2323.23,886.488
101.01,2373.74,885.938
101.01,2424.24,890.64
101.01,2474.75,887.844
101.01,2525.25,884.497
101.01,2575.76,888.898
101.01,2626.26,891.41
101.01,2676.77,889.394
101.01,2727.27,884.512
101.01,2777.78,886.861
101.01,2828.28,890.699
101.01,2878.79,887.14
101.01,2929.29,889.887
101.01,2979.8,891.045
101.01,3030.3,888.188
101.01,3080.81,890.517
101.01,3131.31,884.792
101.01,3181.82,889.908
101.01,3232.32,892.174
101.01,3282.83,890.942
101.01,3333.33,897.496
101.01,3383.84,892.195
101.01,3434.34,895.028
101.01,3484.85,897.046
101.01,3535.35,900.564
101.01,3585.86,895.724
101.01,3636.36,901.851
101.01,3686.87,900.483
101.01,3737.37,899.444
101.01,3787.88,903.278
101.01,3838.38,903.697
101.01,3888.89,903.039
101.01,3939.39,905.31
101.01,3989.9,905.319
101.01,4040.4,907.219
101.01,4090.91,909.2
101.01,4141.41,911.907
101.01,4191.92,907.092
101.01,4242.42,914.636
101.01,4292.93,907.235
101.01,4343.43,911.569
101.01,4393.94,913.743
101.01,4444.44,913.78
101.01,4494.95,912.58
101.01,4545.45,913.969
101.01,4595.96,913.91
101.01,4646.46,914.177
101.01,4696.97,917.461
101.01,4747.47,916.827
101.01,4797.98,915.023
101.01,4848.48,918.446
101.01,4898.99,917.441
101.01,4949.49,918.573
101.01,5000.0,918.268
151.52,0.0,916.361
151.52,50.51,916.868
151.52,101.01,919.394
151.52,151.52,918.971
151.52,202.02,917.501
151.52,252.53,917.512
151.52,303.03,919.511
151.52,353.54,915.395
151.52,404.04,917.24
151.52,454.55,915.258
151.52,505.05,914.692
151.52,555.56,916.742
151.52,606.06,915.567
151.52,656.57,914.871
151.52,707.07,915.143
151.52,757.58,911.823
151.52,808.08,912.359
151.52,858.59,909.557
151.52,909.09,909.98
151.52,959.6,908.201
151.52,1010.1,907.762
151.52,1060.61,907.848
151.52,1111.11,904.096
151.52,1161.62,908.981
151.52,1212.12,901.841
151.52,1262.63,900.478
151.52,1313.13,904.277
151.52,1363.64,902.602
151.52,1414.14,901.333
151.52,1464.65,900.419
151.52,1515.15,898.231
151.52,1565.66,895.573
151.52,1616.16,896.654
151.52,1666.67,894.309
151.52,1717.17,896.803
151.52,1767.68,893.781
151.52,1818.18,891.682
151.52,1868.69,891.987
151.52,1919.19,892.794
151.52,1969.7,890.223
151.52,2020.2,889.134
151.52,2070.71,890.743
151.52,2121.21,890.274
151.52,2171.72,888.351
151.52,2222.22,888.058
151.52,2272.73,889.156
151.52,2323.23,885.544
151.52,2373.74,885.431
151.52,2424.24,886.675
151.52,2474.75,887.609
151.52,2525.25,888.642
151.52,2575.76,891.015
151.52,2626.26,889.883
151.52,2676.77,888.011
151.52,2727.27,888.514
151.52,2777.78,886.826
151.52,2828.28,889.13
151.52,2878.79,888.98
151.52,2929.29,890.647
151.52,2979.8,888.843
151.52,3030.3,892.083
151.52,3080.81,894.703
151.52,3131.31,892.059
151.52,3181.82,893.762
151.52,3232.32,895.061
151.52,3282.83,893.637
151.52,3333.33,895.681
151.52,3383.84,896.083
151.52,3434.34,897.105
151.52,3484.85,896.24
151.52,3535.35,898.733
151.52,3585.86,900.594
151.52,3636.36,903.429
151.52,3686.87,903.383
151.52,3737.37,906.715
151.52,3787.88,901.821
151.52,3838.38,906.046
151.52,3888.89,905.608
151.52,3939.39,910.552
151.52,3989.9,905.475
151.52,4040.4,906.315
151.52,4090.91,907.678
151.52,4141.41,905.489
151.52,4191.92,909.518
151.52,4242.42,909.854
151.52,4292.93,912.442
151.52,4343.43,913.558
151.52,4393.94,917.321
151.52,4444.44,916.121
151.52,4494.95,913.673
151.52,4545.45,913.59
151.52,4595.96,916.882
151.52,4646.46,913.717
151.52,4696.97,920.427
151.52,4747.47,919.474
151.52,4797.98,916.472
151.52,4848.48,914.222
151.52,4898.99,920.536
151.52,4949.49,917.72
151.52,5000.0,920.486
202.02,0.0,915.824
202.02,50.51,917.784
202.02,101.01,918.904
202.02,151.52,918.839
202.02,202.02,917.637
202.02,252.53,919.518
202.02,303.03,915.814
202.02,353.54,917.287
202.02,404.04,917.381
202.02,454.55,917.685
202.02,505.05,917.545
202.02,555.56,913.29
202.02,606.06,911.842
202.02,656.57,916.794
202.02,707.07,914.19
202.02,757.58,911.278
202.02,808.08,915.092
202.02,858.59,911.404
202.02,909.09,912.685
202.02,959.6,909.59
202.02,1010.1,912.684
202.02,1060.61,911.163
202.02,1111.11,906.229
202.02,1161.62,907.734
202.02,1212.12,906.138
202.02,1262.63,906.638
202.02,1313.13,901.025
202.02,1363.64,903.385
202.02,1414.14,903.196
202.02,1464.65,896.639
202.02,1515.15,896.883
202.02,1565.66,894.283
202.02,1616.16,896.958
202.02,1666.67,898.092
202.02,1717.17,898.852
202.02,1767.68,895.218
202.02,1818.18,897.585
202.02,1868.69,890.864
202.02,1919.19,889.556
202.02,1969.7,892.233
202.02,2020.2,892.541
202.02,2070.71,891.185
202.02,2121.21,886.644
202.02,2171.72,890.181
202.02,2222.22,887.386
202.02,2272.73,891.025
202.02,2323.23,890.167
202.02,2373.74,887.361
202.02,2424.24,888.078
202.02,2474.75,886.912
202.02,2525.25,888.889
202.02,2575.76,890.969
202.02,2626.26,887.191
202.02,2676.77,890.333
202.02,2727.27,888.486
202.02,2777.78,888.24
202.02,2828.28,889.947
202.02,2878.79,888.481
202.02,2929.29,889.889
202.02,2979.8,889.096
202.02,3030.3,895.968
202.02,3080.81,892.702
202.02,3131.31,891.872
202.02,3181.82,894.381
202.02,3232.32,894.45
202.02,3282.83,894.992
202.02,3333.33,897.456
202.02,3383.84,898.567
202.02,3434.34,896.843
202.02,3484.85,897.629
202.02,3535.35,899.128
202.02,3585.86,895.989
202.02,3636.36,898.49
202.02,3686.87,905.192
202.02,3737.37,906.693
202.02,3787.88,903.852
202.02,3838.38,906.448
202.02,3888.89,906.858
202.02,3939.39,913.325
202.02,3989.9,910.325
202.02,4040.4,908.733
202.02,4090.91,907.96
202.02,4141.41,907.518
202.02,4191.92,911.971
202.02,4242.42,910.854
202.02,4292.93,910.291
202.02,4343.43,912.576
202.02,4393.94,912.399
202.02,4444.44,918.589
202.02,4494.95,917.585
202.02,4545.45,916.365
202.02,4595.96,919.852
202.02,4646.46,917.506
202.02,4696.97,916.035
202.02,4747.47,921.156
202.02,4797.98,919.483
202.02,4848.48,916.568
202.02,4898.99,918.442
202.02,4949.49,917.192
202.02,5000.0,916.239
252.53,0.0,921.849
252.53,50.51,923.786
252.53,101.01,917.08
252.53,151.52,920.855
252.53,202.02,918.22
252.53,252.53,918.282
252.53,303.03,917.749
252.53,353.54,916.828
252.53,404.04,918.221
252.53,454.55,915.978
252.53,505.05,917.647
252.53,555.56,916.423
252.53,606.06,915.417
252.53,656.57,913.407
252.53,707.07,913.356
252.53,757.58,915.27
252.53,808.08,913.975
252.53,858.59,910.201
252.53,909.09,911.509
252.53,959.6,911.942
252.53,1010.1,906.208
252.53,1060.61,909.723
252.53,1111.11,906.385
252.53,1161.62,907.916
252.53,1212.12,904.305
252.53,1262.63,901.275
252.53,1313.13,900.684
252.53,1363.64,903.093
252.53,1414.14,902.582
252.53,1464.65,899.332
252.53,1515.15,901.511
252.53,1565.66,896.023
252.53,1616.16,898.348
252.53,1666.67,895.219
252.53,1717.17,895.527
252.53,1767.68,896.148
252.53,1818.18,893.591
252.53,1868.69,893.839
252.53,1919.19,895.959
252.53,1969.7,892.175
252.53,2020.2,894.428
252.53,2070.71,889.975
252.53,2121.21,892.822
252.53,2171.72,894.227
252.53,2222.22,886.036
252.53,2272.73,889.076
252.53,2323.23,891.572
252.53,2373.74,889.818
252.53,2424.24,890.832
252.53,2474.75,888.806
252.53,2525.25,890.172
252.53,2575.76,889.731
252.53,2626.26,892.482
252.53,2676.77,890.818
252.53,2727.27,891.206
252.53,2777.78,889.986
252.53,2828.28,890.17
252.53,2878.79,890.67
252.53,2929.29,892.769
252.53,2979.8,891.634
252.53,3030.3,893.602
252.53,3080.81,897.767
252.53,3131.31,895.997
252.53,3181.82,894.285
252.53,3232.32,898.061
252.53,3282.83,895.602
252.53,3333.33,893.135
252.53,3383.84,896.02
252.53,3434.34,895.146
252.53,3484.85,899.061
252.53,3535.35,900.699
252.53,3585.86,904.929
252.53,3636.36,903.158
252.53,3686.87,903.005
252.53,3737.37,906.046
252.53,3787.88,900.912
252.53,3838.38,906.751
252.53,3888.89,908.761
252.53,3939.39,905.194
252.53,3989.9,911.357
252.53,4040.4,910.65
252.53,4090.91,910.025
252.53,4141.41,912.981
252.53,4191.92,917.089
252.53,4242.42,913.714
252.53,4292.93,914.616
252.53,4343.43,913.934
252.53,4393.94,913.847
252.53,4444.44,917.859
252.53,4494.95,915.093
252.53,4545.45,917.509
252.53,4595.96,916.921
252.53,4646.46,919.294
252.53,4696.97,919.409
252.53,4747.47,921.169
252.53,4797.98,918.369
252.53,4848.48,919.087
252.53,4898.99,917.849
252.53,4949.49,919.039
252.53,5000.0,920.743
303.03,0.0,922.482
303.03,50.51,919.094
303.03,101.01,922.588
303.03,151.52,923.411
303.03,202.02,921.319
303.03,252.53,923.981
303.03,303.03,918.357
303.03,353.54,917.038
303.03,404.04,915.538
303.03,454.55,921.604
303.03,505.05,919.386
303.03,555.56,917.383
303.03,606.06,917.426
303.03,656.57,913.943
303.03,707.07,920.373
303.03,757.58,914.989
303.03,808.08,914.164
303.03,858.59,914.579
303.03,909.09,913.244
303.03,959.6,911.858
303.03,1010.1,908.937
303.03,1060.61,910.55
303.03,1111.11,912.446
303.03,1161.62,910.437
303.03,1212.12,909.989
303.03,1262.63,904.834
303.03,1313.13,902.931
303.03,1363.64,903.716
303.03,1414.14,903.146
303.03,1464.65,904.3
303.03,1515.15,897.82
303.03,1565.66,903.376
303.03,1616.16,899.136
303.03,1666.67,897.759
303.03,1717.17,895.778
303.03,1767.68,893.715
303.03,1818.18,897.929
303.03,1868.69,895.726
303.03,1919.19,892.338
303.03,1969.7,891.71
303.03,2020.2,893.057
303.03,2070.71,896.544
303.03,2121.21,892.215
303.03,2171.72,889.308
303.03,2222.22,891.459
303.03,2272.73,891.096
303.03,2323.23,885.996
303.03,2373.74,891.087
303.03,2424.24,890.599
303.03,2474.75,892.378
303.03,2525.25,894.668
303.03,2575.76,893.267
303.03,2626.26,890.58
303.03,2676.77,889.067
303.03,2727.27,896.648
303.03,2777.78,891.899
303.03,2828.28,892.144
303.03,2878.79,892.459
303.03,2929.29,893.347
303.03,2979.8,893.159
303.03,3030.3,892.846
303.03,3080.81,893.493
303.03,3131.31,895.161
303.03,3181.82,894.821
303.03,3232.32,895.204
303.03,3282.83,897.602
303.03,3333.33,897.673
303.03,3383.84,902.015
303.03,3434.34,894.557
303.03,3484.85,902.919
303.03,3535.35,904.125
303.03,3585.86,898.401
303.03,3636.36,902.79
303.03,3686.87,903.671
303.03,3737.37,902.543
303.03,3787.88,904.75
303.03,3838.38,905.029
303.03,3888.89,911.695
303.03,3939.39,910.994
303.03,3989.9,912.584
303.03,4040.4,912.387
303.03,4090.91,909.569
303.03,4141.41,911.637
303.03,4191.92,914.498
303.03,4242.42,911.877
303.03,4292.93,916.517
303.03,4343.43,915.343
303.03,4393.94,915.768
303.03,4444.44,918.591
303.03,4494.95,918.665
303.03,4545.45,917.615
303.03,4595.96,921.166
303.03,4646.46,917.145
303.03,4696.97,920.945
303.03,4747.47,921.251
303.03,4797.98,919.741
303.03,4848.48,921.251
303.03,4898.99,918.276
303.03,4949.49,922.747
303.03,5000.0,920.59
353.54,0.0,920.879
353.54,50.51,923.992
353.54,101.01,920.396
353.54,151.52,918.839
353.54,202.02,918.335
353.54,252.53,922.395
353.54,303.03,918.3
353.54,353.54,923.993
353.54,404.04,915.888
353.54,454.55,922.96
353.54,505.05,919.455
353.54,555.56,918.257
353.54,606.06,916.732
353.54,656.57,917.948
353.54,707.07,916.362
353.54,757.58,917.893
353.54,808.08,915.129
353.54,858.59,914.384
353.54,909.09,912.511
353.54,959.6,912.253
353.54,1010.1,912.09
353.54,1060.61,907.143
353.54,1111.11,906.942
353.54,1161.62,910.188
353.54,1212.12,908.1
353.54,1262.63,906.444
353.54,1313.13,905.903
353.54,1363.64,905.619
353.54,1414.14,902.911
353.54,1464.65,901.511
353.54,1515.15,902.553
353.54,1565.66,899.316
353.54,1616.16,901.224
353.54,1666.67,896.163
353.54,1717.17,900.817
353.54,1767.68,898.926
353.54,1818.18,897.751
353.54,1868.69,898.501
353.54,1919.19,899.205
353.54,1969.7,897.284
353.54,2020.2,891.003
353.54,2070.71,891.603
353.54,2121.21,892.44
353.54,2171.72,893.323
353.54,2222.22,893.941
353.54,2272.73,891.146
353.54,2323.23,892.719
353.54,2373.74,890.641
353.54,2424.24,890.794
353.54,2474.75,889.128
353.54,2525.25,890.08
353.54,2575.76,889.267
353.54,2626.26,890.122
353.54,2676.77,894.344
353.54,2727.27,890.559
353.54,2777.78,898.002
353.54,2828.28,894.059
353.54,2878.79,893.833
353.54,2929.29,892.191
353.54,2979.8,895.804
353.54,3030.3,893.798
353.54,3080.81,895.787
353.54,3131.31,901.302
353.54,3181.82,896.672
353.54,3232.32,899.885
353.54,3282.83,896.939
353.54,3333.33,899.069
353.54,3383.84,903.505
353.54,3434.34,899.561
353.54,3484.85,905.317
353.54,3535.35,904.005
353.54,3585.86,902.379
353.54,3636.36,905.697
353.54,3686.87,907.315
353.54,3737.37,907.558
353.54,3787.88,904.121
353.54,3838.38,906.752
353.54,3888.89,908.652
353.54,3939.39,909.93
353.54,3989.9,912.239
353.54,4040.4,912.255
353.54,4090.91,910.112
353.54,4141.41,914.403
353.54,4191.92,915.696
353.54,4242.42,916.397
353.54,4292.93,918.209
353.54,4343.43,918.448
353.54,4393.94,918.392
353.54,4444.44,917.985
353.54,4494.95,915.411
353.54,4545.45,920.152
353.54,4595.96,920.219
353.54,4646.46,920.806
353.54,4696.97,918.116
353.54,4747.47,918.859
353.54,4797.98,923.423
353.54,4848.48,921.475
353.54,4898.99,923.097
353.54,4949.49,921.911
353.54,5000.0,921.976
404.04,0.0,924.739
404.04,50.51,921.801
404.04,101.01,922.936
404.04,151.52,921.67
404.04,202.02,921.518
404.04,252.53,921.503
404.04,303.03,922.244
404.04,353.54,920.464
404.04,404.04,923.501
404.04,454.55,918.717
404.04,505.05,919.598
404.04,555.56,918.509
404.04,606.06,921.654
404.04,656.57,918.481
404.04,707.07,919.439
404.04,757.58,913.654
404.04,808.08,916.373
404.04,858.59,916.801
404.04,909.09,914.341
404.04,959.6,915.436
404.04,1010.1,911.378
404.04,1060.61,914.32
404.04,1111.11,915.174
404.04,1161.62,908.915
404.04,1212.12,907.806
404.04,1262.63,910.657
404.04,1313.13,909.963
404.04,1363.64,904.817
404.04,1414.14,904.088
404.04,1464.65,903.443
404.04,1515.15,900.411
404.04,1565.66,900.374
404.04,1616.16,899.338
404.04,1666.67,898.971
404.04,1717.17,899.627
404.04,1767.68,899.388
404.04,1818.18,901.278
404.04,1868.69,895.477
404.04,1919.19,898.781
404.04,1969.7,895.766
404.04,2020.2,895.524
404.04,2070.71,896.45
404.04,2121.21,892.383
404.04,2171.72,894.974
404.04,2222.22,894.177
404.04,2272.73,894.521
404.04,2323.23,893.862
404.04,2373.74,898.001
404.04,2424.24,891.68
404.04,2474.75,891.818
404.04,2525.25,891.618
404.04,2575.76,891.798
404.04,2626.26,891.737
404.04,2676.77,895.553
404.04,2727.27,896.237
404.04,2777.78,892.534
404.04,2828.28,892.346
404.04,2878.79,895.344
404.04,2929.29,893.741
404.04,2979.8,896.608
404.04,3030.3,896.294
404.04,3080.81,893.45
404.04,3131.31,900.216
404.04,3181.82,901.394
404.04,3232.32,897.299
404.04,3282.83,898.508
404.04,3333.33,900.649
404.04,3383.84,901.571
404.04,3434.34,903.071
404.04,3484.85,906.651
404.04,3535.35,903.174
404.04,3585.86,902.846
404.04,3636.36,902.612
404.04,3686.87,904.847
404.04,3737.37,907.187
404.04,3787.88,911.789
404.04,3838.38,908.11
404.04,3888.89,910.533
404.04,3939.39,910.984
404.04,3989.9,914.313
404.04,4040.4,917.892
404.04,4090.91,912.659
404.04,4141.41,913.602
404.04,4191.92,917.502
404.04,4242.42,917.58
404.04,4292.93,920.679
404.04,4343.43,918.886
404.04,4393.94,917.694
404.04,4444.44,920.245
404.04,4494.95,921.889
404.04,4545.45,921.872
404.04,4595.96,921.756
404.04,4646.46,923.335
404.04,4696.97,923.946
404.04,4747.47,924.724
404.04,4797.98,923.552
404.04,4848.48,922.158
404.04,4898.99,922.966
404.04,4949.49,925.206
404.04,5000.0,921.221
454.55,0.0,924.518
454.55,50.51,922.965
454.55,101.01,923.719
454.55,151.52,926.07
454.55,202.02,923.688
454.55,252.53,923.133
454.55,303.03,919.998
454.55,353.54,923.833
454.55,404.04,923.199
454.55,454.55,925.751
454.55,505.05,920.274
454.55,555.56,920.746
454.55,606.06,920.177
454.55,656.57,922.162
454.55,707.07,918.103
454.55,757.58,918.101
454.55,808.08,917.974
454.55,858.59,916.314
454.55,909.09,914.202
454.55,959.6,914.612
454.55,1010.1,915.478
454.55,1060.61,910.367
454.55,1111.11,911.761
454.55,1161.62,909.158
454.55,1212.12,912.005
454.55,1262.63,905.622
454.55,1313.13,906.605
454.55,1363.64,907.535
454.55,1414.14,908.978
454.55,1464.65,904.793
454.55,1515.15,902.907
454.55,1565.66,906.892
454.55,1616.16,899.369
454.55,1666.67,897.028
454.55,1717.17,901.495
454.55,1767.68,898.833
454.55,1818.18,897.053
454.55,1868.69,899.809
454.55,1919.19,898.218
454.55,1969.7,895.984
454.55,2020.2,893.98
454.55,2070.71,897.763
454.55,2121.21,896.847
454.55,2171.72,894.929
454.55,2222.22,898.456
454.55,2272.73,892.314
454.55,2323.23,891.151
454.55,2373.74,892.625
454.55,2424.24,893.783
454.55,2474.75,894.285
454.55,2525.25,893.3
454.55,2575.76,894.531
454.55,2626.26,891.427
454.55,2676.77,896.981
454.55,2727.27,894.15
454.55,2777.78,896.828
454.55,2828.28,895.614
454.55,2878.79,896.233
454.55,2929.29,896.904
454.55,2979.8,897.156
454.55,3030.3,898.092
454.55,3080.81,900.058
454.55,3131.31,898.432
454.55,3181.82,900.139
454.55,3232.32,899.263
454.55,3282.83,903.082
454.55,3333.33,899.643
454.55,3383.84,905.422
454.55,3434.34,902.592
454.55,3484.85,900.687
454.55,3535.35,904.702
454.55,3585.86,903.998
454.55,3636.36,907.97
454.55,3686.87,905.922
454.55,3737.37,907.279
454.55,3787.88,905.339
454.55,3838.38,909.159
454.55,3888.89,906.156
454.55,3939.39,908.767
454.55,3989.9,914.375
454.55,4040.4,915.328
454.55,4090.91,915.49
454.55,4141.41,913.565
454.55,4191.92,916.236
454.55,4242.42,917.127
454.55,4292.93,915.587
454.55,4343.43,921.644
454.55,4393.94,921.085
454.55,4444.44,919.54
454.55,4494.95,920.643
454.55,4545.45,921.566
454.55,4595.96,917.577
454.55,4646.46,921.625
454.55,4696.97,921.162
454.55,4747.47,920.874
454.55,4797.98,922.611
454.55,4848.48,927.006
454.55,4898.99,924.872
454.55,4949.49,922.569
454.55,5000.0,924.918
505.05,0.0,927.476
505.05,50.51,926.496
505.05,101.01,924.677
505.05,151.52,923.115
505.05,202.02,925.598
505.05,252.53,924.723
505.05,303.03,925.404
505.05,353.54,924.506
505.05,404.04,924.903
505.05,454.55,921.25
505.05,505.05,924.421
505.05,555.56,921.598
505.05,606.06,924.725
505.05,656.57,918.524
505.05,707.07,922.662
505.05,757.58,918.835
505.05,808.08,916.351
505.05,858.59,915.869
505.05,909.09,915.35
505.05,959.6,915.968
505.05,1010.1,915.272
505.05,1060.61,912.169
505.05,1111.11,912.342
505.05,1161.62,915.739
505.05,1212.12,913.966
505.05,1262.63,910.437
505.05,1313.13,908.695
505.05,1363.64,907.917
505.05,1414.14,907.97
505.05,1464.65,903.775
505.05,1515.15,904.399
505.05,1565.66,900.689
505.05,1616.16,903.959
505.05,1666.67,903.616
505.05,1717.17,900.545
505.05,1767.68,903.882
505.05,1818.18,897.54
505.05,1868.69,896.36
505.05,1919.19,899.075
505.05,1969.7,900.103
505.05,2020.2,900.805
505.05,2070.71,895.997
505.05,2121.21,898.6
505.05,2171.72,895.946
505.05,2222.22,895.314
505.05,2272.73,897.117
505.05,2323.23,896.403
505.05,2373.74,891.752
505.05,2424.24,897.723
505.05,2474.75,897.455
505.05,2525.25,893.428
505.05,2575.76,895.514
505.05,2626.26,895.814
505.05,2676.77,895.511
505.05,2727.27,894.11
505.05,2777.78,894.146
505.05,2828.28,895.774
505.05,2878.79,898.561
505.05,2929.29,897.747
505.05,2979.8,896.415
505.05,3030.3,899.246
505.05,3080.81,892.599
505.05,3131.31,901.233
505.05,3181.82,896.138
505.05,3232.32,899.614
505.05,3282.83,898.859
505.05,3333.33,899.302
505.05,3383.84,905.038
505.05,3434.34,902.633
505.05,3484.85,905.138
505.05,3535.35,905.248
505.05,3585.86,907.21
505.05,3636.36,907.338
505.05,3686.87,905.557
505.05,3737.37,911.06
505.05,3787.88,909.026
505.05,3838.38,907.846
505.05,3888.89,911.043
505.05,3939.39,915.833
505.05,3989.9,915.45
505.05,4040.4,913.955
505.05,4090.91,914.837
505.05,4141.41,915.752
505.05,4191.92,921.381
505.05,4242.42,918.794
505.05,4292.93,919.66
505.05,4343.43,921.593
505.05,4393.94,920.704
505.05,4444.44,920.36
505.05,4494.95,921.093
505.05,4545.45,921.902
