event_id,city,event_name,event_type,start_datetime,end_datetime,expected_attendance
56,city_7,Symphony Gala,concert,2024-06-11 11:00:00,2024-06-11 17:00:00,11274
57,city_19,Night Market,festival,2024-06-08 10:00:00,2024-06-08 13:00:00,9171
58,city_16,Charity Run,marathon,2024-02-28 19:00:00,2024-02-28 23:00:00,6508
59,city_22,Symphony Gala,concert,2024-01-03 11:00:00,2024-01-03 14:00:00,14775
60,city_7,Pop Extravaganza,concert,2024-06-25 11:00:00,2024-06-25 14:00:00,22722
61,city_47,Innovation Conf,conference,2024-04-15 14:00:00,2024-04-15 17:00:00,6983
62,city_41,Pop Extravaganza,concert,2024-01-16 17:00:00,2024-01-16 23:00:00,9587
63,city_22,Pop Extravaganza,concert,2024-06-17 10:00:00,2024-06-17 14:00:00,39060
64,city_16,Jazz Fest,concert,2024-04-02 16:00:00,2024-04-02 19:00:00,38447
65,city_27,Playoffs Night,sports_game,2024-06-17 14:00:00,2024-06-17 16:00:00,39041
66,city_28,Pop Extravaganza,concert,2024-06-02 11:00:00,2024-06-02 17:00:00,9912
67,city_38,Street Food Fest,festival,2024-06-24 11:00:00,2024-06-24 16:00:00,6992
68,city_47,Innovation Conf,conference,2024-03-19 14:00:00,2024-03-19 19:00:00,6386
69,city_43,Pop Extravaganza,concert,2024-01-20 12:00:00,2024-01-20 18:00:00,13768
70,city_40,Street Food Fest,festival,2024-03-01 15:00:00,2024-03-01 21:00:00,16332
71,city_47,Charity Run,marathon,2024-04-19 12:00:00,2024-04-19 16:00:00,2307
72,city_19,Half Marathon,marathon,2024-01-21 16:00:00,2024-01-21 23:00:00,10543
73,city_14,Night Market,festival,2024-02-15 12:00:00,2024-02-15 15:00:00,24881
74,city_38,Charity Run,marathon,2024-06-23 11:00:00,2024-06-23 18:00:00,1732
75,city_24,Cultural Festival,festival,2024-01-27 11:00:00,2024-01-27 17:00:00,10012
76,city_16,City Marathon,marathon,2024-06-15 19:00:00,2024-06-16 00:00:00,2821
77,city_8,League Match,sports_game,2024-01-28 14:00:00,2024-01-28 16:00:00,36095
78,city_2,Tech Summit,conference,2024-02-05 11:00:00,2024-02-05 17:00:00,900
79,city_22,Night Market,festival,2024-05-03 18:00:00,2024-05-03 22:00:00,21221
80,city_16,Fun Run 5K,marathon,2024-05-13 18:00:00,2024-05-14 00:00:00,10363
81,city_27,Jazz Fest,concert,2024-02-03 18:00:00,2024-02-03 21:00:00,12982
82,city_13,Startup Expo,conference,2024-06-21 14:00:00,2024-06-21 17:00:00,869
83,city_1,Playoffs Night,sports_game,2024-04-05 18:00:00,2024-04-05 20:00:00,12852
84,city_42,Rock Night,concert,2024-03-14 19:00:00,2024-03-15 01:00:00,8469
85,city_42,Charity Run,marathon,2024-06-13 12:00:00,2024-06-13 19:00:00,4527
86,city_41,Beer Fest,festival,2024-04-24 16:00:00,2024-04-24 21:00:00,20138
87,city_37,Symphony Gala,concert,2024-04-07 13:00:00,2024-04-07 18:00:00,38845
88,city_43,Half Marathon,marathon,2024-05-22 13:00:00,2024-05-22 19:00:00,8035
89,city_13,City Derby,sports_game,2024-01-26 14:00:00,2024-01-26 18:00:00,16586
90,city_21,Tech Summit,conference,2024-03-02 13:00:00,2024-03-02 18:00:00,3248
91,city_37,Championship Final,sports_game,2024-03-10 11:00:00,2024-03-10 17:00:00,20243
92,city_15,Innovation Conf,conference,2024-05-02 19:00:00,2024-05-03 02:00:00,4107
93,city_39,Championship Final,sports_game,2024-04-07 19:00:00,2024-04-08 02:00:00,33441
94,city_33,Playoffs Night,sports_game,2024-04-10 15:00:00,2024-04-10 21:00:00,40912
95,city_4,City Derby,sports_game,2024-05-13 10:00:00,2024-05-13 13:00:00,39067
96,city_35,Beer Fest,festival,2024-06-16 11:00:00,2024-06-16 18:00:00,16516
97,city_32,Pop Extravaganza,concert,2024-05-12 15:00:00,2024-05-12 17:00:00,23313
98,city_47,Tech Summit,conference,2024-06-23 19:00:00,2024-06-23 22:00:00,6507
99,city_21,Cultural Festival,festival,2024-05-22 19:00:00,2024-05-23 01:00:00,23491
100,city_48,Jazz Fest,concert,2024-05-11 15:00:00,2024-05-11 17:00:00,8326
101,city_27,Tech Summit,conference,2024-02-01 11:00:00,2024-02-01 16:00:00,558
102,city_29,Cultural Festival,festival,2024-05-03 15:00:00,2024-05-03 21:00:00,19807
103,city_47,Startup Expo,conference,2024-03-30 12:00:00,2024-03-30 17:00:00,1543
104,city_47,City Marathon,marathon,2024-05-23 11:00:00,2024-05-23 17:00:00,1964
105,city_25,Startup Expo,conference,2024-03-17 19:00:00,2024-03-18 01:00:00,2062
106,city_34,Business Forum,conference,2024-05-14 18:00:00,2024-05-15 00:00:00,6219
107,city_32,Playoffs Night,sports_game,2024-03-07 15:00:00,2024-03-07 18:00:00,24277
108,city_8,City Marathon,marathon,2024-01-16 19:00:00,2024-01-17 00:00:00,5817
109,city_37,City Derby,sports_game,2024-05-12 11:00:00,2024-05-12 16:00:00,57352
110,city_47,Playoffs Night,sports_game,2024-04-21 14:00:00,2024-04-21 16:00:00,27571
111,city_33,City Marathon,marathon,2024-05-10 18:00:00,2024-05-11 01:00:00,5662
112,city_6,Playoffs Night,sports_game,2024-06-08 16:00:00,2024-06-08 18:00:00,14340
113,city_24,Street Food Fest,festival,2024-05-04 15:00:00,2024-05-04 17:00:00,5105
114,city_23,Innovation Conf,conference,2024-03-19 12:00:00,2024-03-19 19:00:00,3939
115,city_16,Street Food Fest,festival,2024-02-24 15:00:00,2024-02-24 22:00:00,19241
116,city_40,Street Food Fest,festival,2024-03-12 19:00:00,2024-03-12 21:00:00,22343
117,city_35,Playoffs Night,sports_game,2024-06-01 10:00:00,2024-06-01 12:00:00,42619
118,city_50,Pop Extravaganza,concert,2024-01-25 16:00:00,2024-01-25 21:00:00,8165
119,city_35,Charity Run,marathon,2024-01-06 12:00:00,2024-01-06 15:00:00,5986
120,city_8,Charity Run,marathon,2024-05-27 11:00:00,2024-05-27 13:00:00,11017
121,city_15,Innovation Conf,conference,2024-01-07 10:00:00,2024-01-07 12:00:00,1672
122,city_3,Fun Run 5K,marathon,2024-06-27 18:00:00,2024-06-28 01:00:00,3624
123,city_15,City Marathon,marathon,2024-01-11 16:00:00,2024-01-11 22:00:00,11651
124,city_47,Symphony Gala,concert,2024-06-02 16:00:00,2024-06-02 22:00:00,34330
125,city_23,Jazz Fest,concert,2024-02-06 11:00:00,2024-02-06 13:00:00,29408
126,city_26,Night Market,festival,2024-04-09 16:00:00,2024-04-09 18:00:00,21725
127,city_23,Symphony Gala,concert,2024-05-13 10:00:00,2024-05-13 13:00:00,5551
128,city_14,Pop Extravaganza,concert,2024-04-05 19:00:00,2024-04-06 01:00:00,26404
129,city_26,Rock Night,concert,2024-04-22 10:00:00,2024-04-22 12:00:00,12669
130,city_45,Night Market,festival,2024-03-15 11:00:00,2024-03-15 15:00:00,5017
131,city_39,Jazz Fest,concert,2024-06-27 15:00:00,2024-06-27 19:00:00,24005
132,city_40,League Match,sports_game,2024-06-07 15:00:00,2024-06-07 19:00:00,15546
133,city_13,Fun Run 5K,marathon,2024-02-24 14:00:00,2024-02-24 19:00:00,6913
134,city_35,League Match,sports_game,2024-03-21 19:00:00,2024-03-21 21:00:00,15718
135,city_24,Night Market,festival,2024-03-14 19:00:00,2024-03-14 23:00:00,5845
136,city_6,City Marathon,marathon,2024-06-21 12:00:00,2024-06-21 14:00:00,4352
137,city_31,Beer Fest,festival,2024-04-21 14:00:00,2024-04-21 19:00:00,24373
138,city_21,Jazz Fest,concert,2024-06-01 12:00:00,2024-06-01 19:00:00,25591
139,city_31,Playoffs Night,sports_game,2024-01-07 12:00:00,2024-01-07 16:00:00,32818
140,city_24,Rock Night,concert,2024-01-18 15:00:00,2024-01-18 19:00:00,24802
141,city_30,Startup Expo,conference,2024-04-27 15:00:00,2024-04-27 20:00:00,5125
142,city_16,Playoffs Night,sports_game,2024-03-03 15:00:00,2024-03-03 18:00:00,30434
143,city_27,Startup Expo,conference,2024-03-06 19:00:00,2024-03-07 00:00:00,6563
144,city_37,Beer Fest,festival,2024-01-24 19:00:00,2024-01-25 02:00:00,14080
145,city_37,Cultural Festival,festival,2024-05-25 12:00:00,2024-05-25 15:00:00,14424
146,city_42,Championship Final,sports_game,2024-01-08 11:00:00,2024-01-08 13:00:00,11747
147,city_44,Charity Run,marathon,2024-01-11 10:00:00,2024-01-11 13:00:00,7218
148,city_17,Street Food Fest,festival,2024-05-13 13:00:00,2024-05-13 15:00:00,19339
149,city_46,Jazz Fest,concert,2024-05-30 17:00:00,2024-05-31 00:00:00,19532
150,city_19,Tech Summit,conference,2024-02-13 16:00:00,2024-02-13 22:00:00,1397
151,city_26,League Match,sports_game,2024-06-23 10:00:00,2024-06-23 17:00:00,31378
152,city_39,Cultural Festival,festival,2024-05-20 16:00:00,2024-05-20 18:00:00,18519
153,city_38,Playoffs Night,sports_game,2024-04-26 13:00:00,2024-04-26 15:00:00,43098
154,city_11,Startup Expo,conference,2024-03-25 11:00:00,2024-03-25 17:00:00,1744
155,city_21,Charity Run,marathon,2024-06-29 19:00:00,2024-06-30 00:00:00,3205
156,city_42,Charity Run,marathon,2024-04-28 11:00:00,2024-04-28 16:00:00,5931
157,city_43,Championship Final,sports_game,2024-01-15 18:00:00,2024-01-16 00:00:00,10143
158,city_22,Cultural Festival,festival,2024-06-16 11:00:00,2024-06-16 14:00:00,6980
159,city_13,Charity Run,marathon,2024-01-09 16:00:00,2024-01-09 19:00:00,3118
160,city_15,Jazz Fest,concert,2024-06-30 15:00:00,2024-06-30 21:00:00,22265
161,city_1,Jazz Fest,concert,2024-02-14 18:00:00,2024-02-15 01:00:00,34895
162,city_32,Night Market,festival,2024-03-15 16:00:00,2024-03-15 22:00:00,19784
163,city_31,Pop Extravaganza,concert,2024-03-07 17:00:00,2024-03-07 22:00:00,35842
164,city_17,Charity Run,marathon,2024-03-01 14:00:00,2024-03-01 19:00:00,9455
165,city_35,Half Marathon,marathon,2024-04-01 14:00:00,2024-04-01 21:00:00,4355
166,city_30,Symphony Gala,concert,2024-03-10 13:00:00,2024-03-10 18:00:00,22459
167,city_43,Night Market,festival,2024-01-20 10:00:00,2024-01-20 14:00:00,24961
168,city_46,Startup Expo,conference,2024-03-12 11:00:00,2024-03-12 13:00:00,3041
169,city_16,Jazz Fest,concert,2024-01-05 16:00:00,2024-01-05 23:00:00,29178
170,city_23,Cultural Festival,festival,2024-01-26 15:00:00,2024-01-26 20:00:00,3160
171,city_21,City Derby,sports_game,2024-05-07 15:00:00,2024-05-07 20:00:00,45101
172,city_50,Fun Run 5K,marathon,2024-06-08 14:00:00,2024-06-08 21:00:00,9376
173,city_33,Fun Run 5K,marathon,2024-05-11 12:00:00,2024-05-11 19:00:00,7857
174,city_40,Beer Fest,festival,2024-01-14 11:00:00,2024-01-14 16:00:00,19113
175,city_41,Night Market,festival,2024-04-10 19:00:00,2024-04-11 00:00:00,12170
176,city_49,Symphony Gala,concert,2024-01-29 12:00:00,2024-01-29 18:00:00,30682
177,city_49,Startup Expo,conference,2024-03-04 10:00:00,2024-03-04 12:00:00,2733
178,city_3,Beer Fest,festival,2024-06-24 14:00:00,2024-06-24 21:00:00,24682
179,city_43,Cultural Festival,festival,2024-06-26 12:00:00,2024-06-26 16:00:00,4628
180,city_40,Tech Summit,conference,2024-02-10 15:00:00,2024-02-10 20:00:00,6516
181,city_14,Half Marathon,marathon,2024-05-29 12:00:00,2024-05-29 14:00:00,1605
182,city_19,City Marathon,marathon,2024-03-08 11:00:00,2024-03-08 18:00:00,8429
183,city_39,Startup Expo,conference,2024-05-20 10:00:00,2024-05-20 17:00:00,6049
184,city_37,Playoffs Night,sports_game,2024-03-10 10:00:00,2024-03-10 17:00:00,20196
185,city_6,Tech Summit,conference,2024-06-05 14:00:00,2024-06-05 16:00:00,7638
186,city_26,League Match,sports_game,2024-04-06 10:00:00,2024-04-06 16:00:00,28870
187,city_35,Fun Run 5K,marathon,2024-05-02 12:00:00,2024-05-02 15:00:00,5565
188,city_43,Cultural Festival,festival,2024-05-21 18:00:00,2024-05-22 01:00:00,9577
189,city_36,Cultural Festival,festival,2024-03-13 11:00:00,2024-03-13 14:00:00,15093
190,city_45,City Marathon,marathon,2024-05-03 10:00:00,2024-05-03 16:00:00,4761
191,city_23,Business Forum,conference,2024-05-26 15:00:00,2024-05-26 22:00:00,5287
192,city_15,Business Forum,conference,2024-04-07 11:00:00,2024-04-07 13:00:00,4812
193,city_10,Charity Run,marathon,2024-05-07 17:00:00,2024-05-07 22:00:00,1663
194,city_20,Beer Fest,festival,2024-02-09 14:00:00,2024-02-09 18:00:00,5956
195,city_6,City Derby,sports_game,2024-01-13 13:00:00,2024-01-13 16:00:00,36850
196,city_1,Championship Final,sports_game,2024-06-24 16:00:00,2024-06-24 23:00:00,25851
197,city_23,Beer Fest,festival,2024-06-23 19:00:00,2024-06-24 01:00:00,14068
198,city_28,Half Marathon,marathon,2024-03-04 18:00:00,2024-03-04 22:00:00,3586
199,city_29,Playoffs Night,sports_game,2024-06-14 13:00:00,2024-06-14 18:00:00,59168
200,city_38,League Match,sports_game,2024-04-22 16:00:00,2024-04-22 18:00:00,23568
201,city_43,Championship Final,sports_game,2024-02-28 11:00:00,2024-02-28 13:00:00,26045
202,city_44,Jazz Fest,concert,2024-01-12 15:00:00,2024-01-12 18:00:00,32719
203,city_30,Startup Expo,conference,2024-03-20 18:00:00,2024-03-20 22:00:00,7625
204,city_50,Night Market,festival,2024-02-16 18:00:00,2024-02-17 00:00:00,22857
205,city_14,Business Forum,conference,2024-02-03 11:00:00,2024-02-03 16:00:00,2896
206,city_6,Night Market,festival,2024-02-28 19:00:00,2024-02-29 01:00:00,14280
207,city_47,Street Food Fest,festival,2024-01-07 19:00:00,2024-01-08 02:00:00,19264
208,city_6,City Derby,sports_game,2024-01-10 12:00:00,2024-01-10 17:00:00,11407
209,city_50,Cultural Festival,festival,2024-04-03 17:00:00,2024-04-03 20:00:00,4045
210,city_3,City Marathon,marathon,2024-04-25 13:00:00,2024-04-25 19:00:00,1665
211,city_45,Business Forum,conference,2024-02-07 19:00:00,2024-02-07 22:00:00,4179
212,city_20,Championship Final,sports_game,2024-01-28 10:00:00,2024-01-28 13:00:00,13827
213,city_21,City Marathon,marathon,2024-01-01 11:00:00,2024-01-01 16:00:00,4023
214,city_25,Jazz Fest,concert,2024-03-15 14:00:00,2024-03-15 19:00:00,32321
215,city_24,Fun Run 5K,marathon,2024-02-17 12:00:00,2024-02-17 15:00:00,7572
216,city_13,Half Marathon,marathon,2024-06-06 16:00:00,2024-06-06 20:00:00,3511
217,city_38,City Derby,sports_game,2024-06-18 14:00:00,2024-06-18 16:00:00,33728
218,city_24,Fun Run 5K,marathon,2024-02-04 11:00:00,2024-02-04 16:00:00,1521
219,city_16,Rock Night,concert,2024-06-16 10:00:00,2024-06-16 12:00:00,37652
220,city_10,City Marathon,marathon,2024-01-28 11:00:00,2024-01-28 17:00:00,7822
221,city_24,City Derby,sports_game,2024-04-13 12:00:00,2024-04-13 17:00:00,43749
222,city_43,Street Food Fest,festival,2024-02-21 18:00:00,2024-02-21 23:00:00,16621
223,city_23,Symphony Gala,concert,2024-05-20 19:00:00,2024-05-21 02:00:00,15189
224,city_13,Playoffs Night,sports_game,2024-04-11 14:00:00,2024-04-11 21:00:00,39378
225,city_46,City Marathon,marathon,2024-03-06 17:00:00,2024-03-06 23:00:00,2633
226,city_16,Beer Fest,festival,2024-01-21 16:00:00,2024-01-21 19:00:00,7760
227,city_26,Night Market,festival,2024-02-27 18:00:00,2024-02-27 20:00:00,21962
228,city_2,Business Forum,conference,2024-03-10 10:00:00,2024-03-10 16:00:00,1741
229,city_33,Innovation Conf,conference,2024-05-08 13:00:00,2024-05-08 19:00:00,6695
230,city_16,Symphony Gala,concert,2024-01-27 15:00:00,2024-01-27 18:00:00,9411
231,city_39,Pop Extravaganza,concert,2024-05-06 10:00:00,2024-05-06 13:00:00,32803
232,city_26,Symphony Gala,concert,2024-02-18 10:00:00,2024-02-18 17:00:00,5580
233,city_28,Fun Run 5K,marathon,2024-04-16 13:00:00,2024-04-16 15:00:00,7300
234,city_45,Symphony Gala,concert,2024-03-16 15:00:00,2024-03-16 17:00:00,26763
235,city_10,League Match,sports_game,2024-01-10 14:00:00,2024-01-10 19:00:00,14865
236,city_15,League Match,sports_game,2024-06-26 18:00:00,2024-06-26 21:00:00,8944
237,city_3,Street Food Fest,festival,2024-02-12 18:00:00,2024-02-13 01:00:00,21459
238,city_13,Startup Expo,conference,2024-02-03 15:00:00,2024-02-03 20:00:00,3471
239,city_38,Startup Expo,conference,2024-05-12 17:00:00,2024-05-12 22:00:00,2507
240,city_38,Innovation Conf,conference,2024-01-28 14:00:00,2024-01-28 21:00:00,4359
241,city_48,Rock Night,concert,2024-05-24 13:00:00,2024-05-24 18:00:00,19980
242,city_21,City Marathon,marathon,2024-05-20 18:00:00,2024-05-20 23:00:00,5345
243,city_9,Business Forum,conference,2024-01-28 13:00:00,2024-01-28 20:00:00,2490
244,city_9,Tech Summit,conference,2024-06-16 18:00:00,2024-06-17 01:00:00,7345
245,city_13,Championship Final,sports_game,2024-03-26 18:00:00,2024-03-27 00:00:00,41511
246,city_44,Business Forum,conference,2024-03-16 15:00:00,2024-03-16 17:00:00,6063
247,city_33,Startup Expo,conference,2024-05-22 19:00:00,2024-05-23 00:00:00,3833
248,city_6,Innovation Conf,conference,2024-05-07 18:00:00,2024-05-08 01:00:00,6486
249,city_26,Rock Night,concert,2024-02-07 14:00:00,2024-02-07 20:00:00,20953
250,city_2,Playoffs Night,sports_game,2024-06-28 13:00:00,2024-06-28 19:00:00,45404
251,city_47,Fun Run 5K,marathon,2024-03-12 16:00:00,2024-03-12 19:00:00,4829
252,city_31,Night Market,festival,2024-03-11 14:00:00,2024-03-11 16:00:00,16239
253,city_29,Fun Run 5K,marathon,2024-03-26 10:00:00,2024-03-26 13:00:00,4718
254,city_19,Championship Final,sports_game,2024-05-19 11:00:00,2024-05-19 14:00:00,16469
255,city_16,Tech Summit,conference,2024-03-02 10:00:00,2024-03-02 17:00:00,5955
256,city_13,Rock Night,concert,2024-03-27 17:00:00,2024-03-27 22:00:00,35837
257,city_18,Championship Final,sports_game,2024-02-06 19:00:00,2024-02-06 22:00:00,32901
258,city_27,Jazz Fest,concert,2024-03-23 12:00:00,2024-03-23 14:00:00,6581
259,city_1,Street Food Fest,festival,2024-06-23 12:00:00,2024-06-23 17:00:00,17817
260,city_25,City Marathon,marathon,2024-02-12 12:00:00,2024-02-12 14:00:00,4242
261,city_16,Business Forum,conference,2024-06-08 17:00:00,2024-06-09 00:00:00,1289
262,city_50,Innovation Conf,conference,2024-03-05 19:00:00,2024-03-06 00:00:00,1038
263,city_21,Symphony Gala,concert,2024-02-25 12:00:00,2024-02-25 17:00:00,19881
264,city_5,Charity Run,marathon,2024-05-15 16:00:00,2024-05-15 20:00:00,6966
265,city_27,Rock Night,concert,2024-02-16 14:00:00,2024-02-16 16:00:00,8733
266,city_43,League Match,sports_game,2024-04-05 17:00:00,2024-04-05 23:00:00,23394
267,city_43,Playoffs Night,sports_game,2024-03-14 11:00:00,2024-03-14 17:00:00,9568
268,city_39,Rock Night,concert,2024-04-19 19:00:00,2024-04-19 23:00:00,9223
269,city_12,Fun Run 5K,marathon,2024-01-19 13:00:00,2024-01-19 16:00:00,2956
270,city_43,Tech Summit,conference,2024-04-28 14:00:00,2024-04-28 16:00:00,3874
271,city_10,Playoffs Night,sports_game,2024-05-09 11:00:00,2024-05-09 18:00:00,37864
272,city_44,Business Forum,conference,2024-04-07 15:00:00,2024-04-07 21:00:00,2363
273,city_17,Championship Final,sports_game,2024-01-30 10:00:00,2024-01-30 17:00:00,11864
274,city_45,Symphony Gala,concert,2024-02-29 15:00:00,2024-02-29 18:00:00,22171
275,city_23,Cultural Festival,festival,2024-04-07 18:00:00,2024-04-07 22:00:00,10950
276,city_7,City Derby,sports_game,2024-02-03 19:00:00,2024-02-03 21:00:00,33066
277,city_42,City Marathon,marathon,2024-01-30 13:00:00,2024-01-30 18:00:00,11558
278,city_11,Jazz Fest,concert,2024-06-08 10:00:00,2024-06-08 14:00:00,9163
279,city_8,City Marathon,marathon,2024-02-28 19:00:00,2024-02-29 00:00:00,1789
280,city_24,Half Marathon,marathon,2024-04-06 15:00:00,2024-04-06 20:00:00,3059
281,city_42,City Marathon,marathon,2024-05-28 18:00:00,2024-05-29 00:00:00,5080
282,city_24,City Marathon,marathon,2024-05-30 19:00:00,2024-05-31 01:00:00,4755
283,city_28,Symphony Gala,concert,2024-03-03 10:00:00,2024-03-03 16:00:00,28015
284,city_32,Symphony Gala,concert,2024-04-25 17:00:00,2024-04-25 23:00:00,12418
285,city_11,Fun Run 5K,marathon,2024-03-20 12:00:00,2024-03-20 17:00:00,9294
286,city_1,Beer Fest,festival,2024-02-21 12:00:00,2024-02-21 19:00:00,4365
287,city_20,Beer Fest,festival,2024-01-24 14:00:00,2024-01-24 16:00:00,20328
288,city_32,Cultural Festival,festival,2024-01-28 19:00:00,2024-01-29 00:00:00,10021
289,city_21,Startup Expo,conference,2024-03-24 13:00:00,2024-03-24 18:00:00,5437
290,city_30,Jazz Fest,concert,2024-04-21 19:00:00,2024-04-22 00:00:00,16995
291,city_28,Rock Night,concert,2024-05-03 19:00:00,2024-05-04 02:00:00,25428
292,city_3,Half Marathon,marathon,2024-02-22 18:00:00,2024-02-23 00:00:00,9246
293,city_14,Half Marathon,marathon,2024-04-06 17:00:00,2024-04-06 22:00:00,2895
294,city_16,Playoffs Night,sports_game,2024-05-10 13:00:00,2024-05-10 19:00:00,46403
295,city_20,Beer Fest,festival,2024-04-12 11:00:00,2024-04-12 17:00:00,15971
296,city_26,Innovation Conf,conference,2024-03-01 14:00:00,2024-03-01 17:00:00,5353
297,city_21,League Match,sports_game,2024-03-15 14:00:00,2024-03-15 18:00:00,21444
298,city_7,City Marathon,marathon,2024-02-29 16:00:00,2024-02-29 18:00:00,8211
299,city_37,Business Forum,conference,2024-01-04 18:00:00,2024-01-04 21:00:00,6538
300,city_10,Symphony Gala,concert,2024-06-20 18:00:00,2024-06-21 00:00:00,13634
301,city_46,Tech Summit,conference,2024-01-24 18:00:00,2024-01-24 21:00:00,6244
302,city_7,Championship Final,sports_game,2024-02-21 16:00:00,2024-02-21 23:00:00,55337
303,city_38,Playoffs Night,sports_game,2024-04-08 15:00:00,2024-04-08 21:00:00,47993
304,city_48,Night Market,festival,2024-05-15 12:00:00,2024-05-15 15:00:00,16761
305,city_4,League Match,sports_game,2024-06-26 15:00:00,2024-06-26 19:00:00,30900
306,city_35,Street Food Fest,festival,2024-04-08 14:00:00,2024-04-08 20:00:00,22253
