packet_num,timestamp,src_ip,dst_ip,dst_port,packet_size,inter_arrival_ms,flow_id
128,1700000001.380809,192.168.9.197,104.18.142.90,443,393,20.531,NORMAL_0128
129,1700000001.390101,192.168.6.42,104.20.18.214,443,771,9.292,NORMAL_0129
130,1700000001.402530,192.168.10.110,104.26.104.176,443,892,12.429,NORMAL_0130
131,1700000001.405762,192.168.4.151,104.27.20.231,443,669,3.232,NORMAL_0131
132,1700000001.410492,192.168.6.126,104.25.107.184,443,1010,4.73,NORMAL_0132
133,1700000001.415627,192.168.5.192,104.29.0.134,443,1263,5.135,NORMAL_0133
134,1700000001.426037,192.168.1.207,104.24.91.149,443,1386,10.41,NORMAL_0134
135,1700000001.427954,192.168.3.172,104.19.197.231,443,813,1.917,NORMAL_0135
136,1700000001.484442,192.168.10.109,104.19.197.231,443,1002,56.488,NORMAL_0136
137,1700000001.488452,192.168.3.130,104.26.63.185,443,1106,4.01,NORMAL_0137
138,1700000001.496969,192.168.2.40,104.29.176.187,443,338,8.517,NORMAL_0138
139,1700000001.511036,192.168.4.172,104.28.169.241,443,865,14.067,NORMAL_0139
140,1700000001.521734,192.168.8.63,104.25.65.50,443,706,10.698,NORMAL_0140
141,1700000001.533131,192.168.4.40,104.18.125.95,443,251,11.397,NORMAL_0141
142,1700000001.536610,192.168.10.72,104.27.107.175,443,291,3.479,NORMAL_0142
143,1700000001.541429,192.168.9.193,104.27.107.175,443,190,4.819,NORMAL_0143
144,1700000001.560946,192.168.4.43,104.22.186.111,443,101,19.517,NORMAL_0144
145,1700000001.563827,192.168.4.234,104.27.20.231,443,508,2.881,NORMAL_0145
146,1700000001.571403,192.168.10.7,104.20.18.214,443,353,7.576,NORMAL_0146
147,1700000001.577652,192.168.5.249,104.29.194.174,443,518,6.249,NORMAL_0147
148,1700000001.609930,192.168.4.238,104.27.75.111,443,975,32.278,NORMAL_0148
149,1700000001.615591,192.168.6.19,104.20.21.79,443,1015,5.661,NORMAL_0149
150,1700000001.641878,192.168.1.167,104.18.142.90,443,187,26.287,NORMAL_0150
151,1700000001.642603,192.168.1.221,104.21.154.104,443,763,0.725,NORMAL_0151
152,1700000001.644886,192.168.8.98,104.19.79.70,443,1266,2.283,NORMAL_0152
153,1700000001.648029,192.168.6.113,104.22.235.90,443,612,3.143,NORMAL_0153
154,1700000001.673352,192.168.4.2,104.19.197.231,443,1205,25.323,NORMAL_0154
155,1700000001.673394,192.168.3.137,104.20.135.30,443,800,0.042,NORMAL_0155
156,1700000001.700956,192.168.1.150,104.21.170.201,443,911,27.562,NORMAL_0156
157,1700000001.704310,192.168.6.29,104.25.4.171,443,1181,3.354,NORMAL_0157
158,1700000001.704431,192.168.6.155,104.24.250.65,443,200,0.121,NORMAL_0158
159,1700000001.708528,192.168.9.197,104.28.169.241,443,1298,4.097,NORMAL_0159
160,1700000001.862087,192.168.5.17,104.29.176.187,443,1071,153.559,NORMAL_0160
161,1700000001.864873,192.168.2.64,104.21.55.98,443,582,2.786,NORMAL_0161
162,1700000001.870361,192.168.2.22,104.25.107.184,443,559,5.488,NORMAL_0162
163,1700000001.871765,192.168.2.182,104.17.47.163,443,857,1.404,NORMAL_0163
164,1700000001.880221,192.168.7.106,104.25.116.58,443,269,8.456,NORMAL_0164
165,1700000001.890248,192.168.9.236,104.22.186.111,443,1196,10.027,NORMAL_0165
166,1700000001.897696,192.168.8.102,104.26.223.156,443,610,7.448,NORMAL_0166
167,1700000001.901944,192.168.2.242,104.29.194.174,443,1304,4.248,NORMAL_0167
168,1700000001.908254,192.168.8.138,104.25.107.184,443,397,6.31,NORMAL_0168
169,1700000001.931342,192.168.6.225,104.26.63.185,443,911,23.088,NORMAL_0169
170,1700000001.932407,192.168.2.22,104.20.18.214,443,155,1.065,NORMAL_0170
171,1700000001.950081,192.168.8.98,104.21.154.104,443,334,17.674,NORMAL_0171
172,1700000001.965686,192.168.2.22,104.29.194.174,443,1393,15.605,NORMAL_0172
173,1700000001.968803,192.168.5.53,104.16.98.103,443,1135,3.117,NORMAL_0173
174,1700000001.970742,192.168.10.142,104.16.57.20,443,1218,1.939,NORMAL_0174
175,1700000001.981718,192.168.10.103,104.29.79.237,443,669,10.976,NORMAL_0175
176,1700000001.983936,192.168.8.37,104.22.235.90,443,457,2.218,NORMAL_0176
177,1700000002.073608,192.168.2.92,104.16.170.198,443,225,89.672,NORMAL_0177
178,1700000002.086210,192.168.4.238,104.28.169.241,443,344,12.602,NORMAL_0178
179,1700000002.106130,192.168.4.198,104.24.250.65,443,1100,19.92,NORMAL_0179
180,1700000002.115224,192.168.9.81,104.29.79.237,443,347,9.094,NORMAL_0180
181,1700000002.116152,192.168.7.49,104.29.141.12,443,228,0.928,NORMAL_0181
182,1700000002.139818,192.168.10.18,104.20.18.214,443,1259,23.666,NORMAL_0182
183,1700000002.141504,192.168.6.226,104.29.79.237,443,1041,1.686,NORMAL_0183
184,1700000002.220647,192.168.9.236,104.25.80.113,443,1125,79.143,NORMAL_0184
185,1700000002.246619,192.168.2.174,104.29.176.187,443,442,25.972,NORMAL_0185
186,1700000002.248311,192.168.6.148,104.25.65.50,443,1205,1.692,NORMAL_0186
187,1700000002.269145,192.168.2.98,104.24.250.65,443,496,20.834,NORMAL_0187
188,1700000002.289665,192.168.10.26,104.24.91.149,443,1285,20.52,NORMAL_0188
189,1700000002.296098,192.168.5.136,104.24.250.65,443,1124,6.433,NORMAL_0189
190,1700000002.296527,192.168.5.103,104.28.169.241,443,494,0.429,NORMAL_0190
191,1700000002.298087,192.168.1.167,104.20.18.214,443,1214,1.56,NORMAL_0191
192,1700000002.318376,192.168.10.72,104.19.197.231,443,1116,20.289,NORMAL_0192
193,1700000002.324128,192.168.8.222,104.16.57.20,443,323,5.752,NORMAL_0193
194,1700000002.330551,192.168.4.40,104.22.235.90,443,143,6.423,NORMAL_0194
195,1700000002.339024,192.168.8.98,104.24.250.65,443,447,8.473,NORMAL_0195
196,1700000002.344555,192.168.2.25,104.27.20.231,443,594,5.531,NORMAL_0196
197,1700000002.378754,192.168.2.219,104.21.154.104,443,700,34.199,NORMAL_0197
198,1700000002.383665,192.168.3.179,104.25.116.58,443,1048,4.911,NORMAL_0198
199,1700000002.385475,192.168.4.104,104.25.116.58,443,705,1.81,NORMAL_0199
200,1700000002.388958,192.168.1.187,104.30.218.144,443,1065,3.483,NORMAL_0200
201,1700000002.389701,192.168.8.98,104.27.75.111,443,1239,0.743,NORMAL_0201
202,1700000002.452424,192.168.4.49,104.25.80.113,443,299,62.723,NORMAL_0202
203,1700000002.454604,192.168.1.59,104.26.104.176,443,107,2.18,NORMAL_0203
204,1700000002.456852,192.168.4.172,104.19.197.231,443,777,2.248,NORMAL_0204
205,1700000002.463037,192.168.7.1,104.26.63.185,443,1125,6.185,NORMAL_0205
206,1700000002.465199,192.168.7.21,104.19.197.231,443,327,2.162,NORMAL_0206
207,1700000002.529010,192.168.4.181,104.20.18.214,443,407,63.811,NORMAL_0207
208,1700000002.533068,192.168.1.195,104.21.55.98,443,1043,4.058,NORMAL_0208
209,1700000002.540821,192.168.3.179,104.20.134.42,443,721,7.753,NORMAL_0209
210,1700000002.552260,192.168.2.64,104.20.135.30,443,1179,11.439,NORMAL_0210
211,1700000002.556121,192.168.1.195,104.19.197.231,443,916,3.861,NORMAL_0211
212,1700000002.594988,192.168.2.251,104.25.4.171,443,679,38.867,NORMAL_0212
213,1700000002.598405,192.168.6.15,104.28.169.241,443,555,3.417,NORMAL_0213
214,1700000002.603328,192.168.2.99,104.25.53.241,443,506,4.923,NORMAL_0214
215,1700000002.609390,192.168.4.181,104.26.223.156,443,1383,6.062,NORMAL_0215
216,1700000002.615256,192.168.7.153,104.21.170.201,443,1312,5.866,NORMAL_0216
217,1700000002.623898,192.168.2.108,104.27.107.175,443,527,8.642,NORMAL_0217
218,1700000002.627266,192.168.4.191,104.17.240.57,443,751,3.368,NORMAL_0218
219,1700000002.634752,192.168.5.254,104.25.53.241,443,653,7.486,NORMAL_0219
220,1700000002.639949,192.168.7.179,104.29.141.12,443,294,5.197,NORMAL_0220
221,1700000002.642842,192.168.4.151,104.16.98.103,443,1290,2.893,NORMAL_0221
222,1700000002.643310,192.168.9.193,104.29.79.237,443,302,0.468,NORMAL_0222
223,1700000002.647546,192.168.2.98,104.29.176.187,443,788,4.236,NORMAL_0223
224,1700000002.647629,192.168.7.88,104.28.169.241,443,406,0.083,NORMAL_0224
225,1700000002.653097,192.168.5.253,104.25.53.241,443,881,5.468,NORMAL_0225
226,1700000002.653426,192.168.4.104,104.16.98.103,443,554,0.329,NORMAL_0226
227,1700000002.664708,192.168.1.221,104.16.59.225,443,1111,11.282,NORMAL_0227
228,1700000002.669642,192.168.8.129,104.22.130.12,443,1095,4.934,NORMAL_0228
229,1700000002.677169,192.168.9.236,104.30.218.144,443,676,7.527,NORMAL_0229
230,1700000002.678134,192.168.4.40,104.25.116.58,443,782,0.965,NORMAL_0230
231,1700000002.680386,192.168.3.72,104.23.83.250,443,1185,2.252,NORMAL_0231
232,1700000002.734536,192.168.10.109,104.20.21.79,443,608,54.15,NORMAL_0232
233,1700000002.737539,192.168.4.40,104.22.186.111,443,813,3.003,NORMAL_0233
234,1700000002.748678,192.168.10.110,104.29.167.104,443,867,11.139,NORMAL_0234
235,1700000002.920734,192.168.5.254,104.25.80.113,443,1030,172.056,NORMAL_0235
236,1700000002.942480,192.168.7.1,104.29.127.69,443,457,21.746,NORMAL_0236
237,1700000003.007781,192.168.5.34,104.22.235.90,443,333,65.301,NORMAL_0237
238,1700000003.061408,192.168.8.129,104.29.194.174,443,491,53.627,NORMAL_0238
239,1700000003.062836,192.168.5.172,104.18.125.95,443,372,1.428,NORMAL_0239
240,1700000003.067147,192.168.1.29,104.17.240.57,443,744,4.311,NORMAL_0240
241,1700000003.068369,192.168.2.64,104.29.176.187,443,622,1.222,NORMAL_0241
242,1700000003.078288,192.168.9.138,104.28.169.241,443,634,9.919,NORMAL_0242
243,1700000003.085360,192.168.2.219,104.20.135.30,443,433,7.072,NORMAL_0243
244,1700000003.096602,192.168.5.63,104.25.53.241,443,678,11.242,NORMAL_0244
245,1700000003.099488,192.168.4.17,104.27.20.231,443,1221,2.886,NORMAL_0245
246,1700000003.100605,192.168.6.55,104.27.107.175,443,640,1.117,NORMAL_0246
247,1700000003.151564,192.168.3.172,104.29.194.174,443,603,50.959,NORMAL_0247
248,1700000003.152385,192.168.1.246,104.24.19.28,443,579,0.821,NORMAL_0248
249,1700000003.153671,192.168.4.222,104.29.141.12,443,936,1.286,NORMAL_0249
250,1700000003.155080,192.168.2.223,104.24.91.149,443,1163,1.409,NORMAL_0250
251,1700000003.170298,192.168.2.99,104.26.104.176,443,1178,15.218,NORMAL_0251
252,1700000003.205549,192.168.5.117,104.25.158.171,443,552,35.251,NORMAL_0252
253,1700000003.215600,192.168.10.26,104.25.107.184,443,1399,10.051,NORMAL_0253
254,1700000003.515103,192.168.1.221,104.26.223.156,443,150,299.503,NORMAL_0254
255,1700000003.527373,192.168.2.98,104.27.107.175,443,1270,12.27,NORMAL_0255
256,1700000003.528455,192.168.5.117,104.29.79.237,443,1108,1.082,NORMAL_0256
257,1700000003.536019,192.168.8.55,104.25.107.184,443,766,7.564,NORMAL_0257
258,1700000003.537738,192.168.9.115,104.24.91.149,443,787,1.719,NORMAL_0258
259,1700000003.681986,192.168.9.51,104.19.197.231,443,543,144.248,NORMAL_0259
260,1700000003.686860,192.168.2.182,104.30.218.144,443,240,4.874,NORMAL_0260
261,1700000003.687239,192.168.5.112,104.21.154.104,443,552,0.379,NORMAL_0261
262,1700000003.691593,192.168.7.125,104.26.104.176,443,343,4.354,NORMAL_0262
263,1700000003.744461,192.168.2.251,104.29.176.187,443,577,52.868,NORMAL_0263
264,1700000003.745519,192.168.9.108,104.20.134.42,443,1104,1.058,NORMAL_0264
265,1700000003.746417,192.168.2.175,104.29.127.69,443,426,0.898,NORMAL_0265
266,1700000003.765846,192.168.10.145,104.21.170.201,443,1234,19.429,NORMAL_0266
267,1700000003.768497,192.168.7.21,104.27.75.111,443,827,2.651,NORMAL_0267
268,1700000003.800510,192.168.8.98,104.25.4.171,443,214,32.013,NORMAL_0268
269,1700000003.824297,192.168.10.7,104.20.134.42,443,951,23.787,NORMAL_0269
270,1700000003.831938,192.168.4.181,104.23.52.91,443,1018,7.641,NORMAL_0270
271,1700000003.833032,192.168.2.7,104.29.194.174,443,1016,1.094,NORMAL_0271
272,1700000003.834716,192.168.1.187,104.26.223.156,443,962,1.684,NORMAL_0272
273,1700000003.855112,192.168.5.192,104.25.4.171,443,573,20.396,NORMAL_0273
274,1700000003.857292,192.168.9.34,104.16.59.225,443,1355,2.18,NORMAL_0274
275,1700000003.858652,192.168.10.18,104.21.211.7,443,148,1.36,NORMAL_0275
276,1700000003.859429,192.168.9.196,104.20.134.42,443,1375,0.777,NORMAL_0276
277,1700000003.860676,192.168.1.167,104.16.59.225,443,720,1.247,NORMAL_0277
278,1700000003.861153,192.168.9.81,104.29.0.134,443,569,0.477,NORMAL_0278
279,1700000003.862148,192.168.4.246,104.22.130.12,443,663,0.995,NORMAL_0279
280,1700000003.863426,192.168.9.81,104.22.235.90,443,999,1.278,NORMAL_0280
281,1700000003.968835,192.168.5.216,104.25.107.184,443,828,105.409,NORMAL_0281
282,1700000003.984831,192.168.6.62,104.16.98.103,443,180,15.996,NORMAL_0282
283,1700000003.985042,192.168.1.29,104.29.167.104,443,204,0.211,NORMAL_0283
284,1700000004.047828,192.168.5.192,104.16.98.103,443,237,62.786,NORMAL_0284
285,1700000004.052595,192.168.5.136,104.25.53.241,443,961,4.767,NORMAL_0285
286,1700000004.055103,192.168.5.254,104.25.80.113,443,1357,2.508,NORMAL_0286
287,1700000004.056286,192.168.5.112,104.19.79.70,443,1008,1.183,NORMAL_0287
288,1700000004.058160,192.168.2.174,104.29.79.237,443,822,1.874,NORMAL_0288
289,1700000004.059033,192.168.4.42,104.21.211.7,443,644,0.873,NORMAL_0289
290,1700000004.063556,192.168.9.57,104.25.158.171,443,449,4.523,NORMAL_0290
291,1700000004.065142,192.168.2.40,104.21.170.201,443,1178,1.586,NORMAL_0291
292,1700000004.066386,192.168.2.98,104.16.98.103,443,483,1.244,NORMAL_0292
293,1700000004.079782,192.168.6.226,104.25.158.171,443,330,13.396,NORMAL_0293
294,1700000004.207437,192.168.8.209,104.29.127.69,443,650,127.655,NORMAL_0294
295,1700000004.254756,192.168.10.7,104.17.240.57,443,743,47.319,NORMAL_0295
296,1700000004.263911,192.168.2.108,104.16.98.103,443,1316,9.155,NORMAL_0296
297,1700000004.270288,192.168.8.37,104.21.170.201,443,472,6.377,NORMAL_0297
298,1700000004.271312,192.168.8.63,104.18.142.90,443,1207,1.024,NORMAL_0298
299,1700000004.279809,192.168.6.62,104.19.197.231,443,1117,8.497,NORMAL_0299
300,1700000004.294087,192.168.8.63,104.18.142.90,443,846,14.278,NORMAL_0300
301,1700000004.294230,192.168.5.63,104.17.47.163,443,566,0.143,NORMAL_0301
302,1700000004.406569,192.168.5.192,104.26.223.156,443,1138,112.339,NORMAL_0302
303,1700000004.409360,192.168.2.250,104.21.211.7,443,499,2.791,NORMAL_0303
304,1700000004.410148,192.168.2.22,104.25.158.171,443,584,0.788,NORMAL_0304
305,1700000004.410533,192.168.2.64,104.23.83.250,443,187,0.385,NORMAL_0305
306,1700000004.411263,192.168.5.207,104.26.63.185,443,1160,0.73,NORMAL_0306
307,1700000004.413608,192.168.1.59,104.22.130.12,443,361,2.345,NORMAL_0307
308,1700000004.461674,192.168.8.37,104.27.75.111,443,1104,48.066,NORMAL_0308
309,1700000004.463204,192.168.2.92,104.29.127.69,443,1155,1.53,NORMAL_0309
310,1700000004.487394,192.168.2.232,104.16.59.225,443,508,24.19,NORMAL_0310
311,1700000004.492612,192.168.2.232,104.24.19.28,443,211,5.218,NORMAL_0311
312,1700000004.507199,192.168.1.221,104.26.223.156,443,718,14.587,NORMAL_0312
313,1700000004.507468,192.168.8.74,104.25.53.241,443,1093,0.269,NORMAL_0313
314,1700000004.508715,192.168.9.16,104.18.169.160,443,1167,1.247,NORMAL_0314
315,1700000004.517362,192.168.5.197,104.17.47.163,443,1217,8.647,NORMAL_0315
316,1700000004.519002,192.168.1.167,104.26.142.222,443,608,1.64,NORMAL_0316
317,1700000004.555741,192.168.1.43,104.19.79.70,443,1197,36.739,NORMAL_0317
318,1700000004.556185,192.168.9.21,104.28.169.241,443,813,0.444,NORMAL_0318
319,1700000004.557171,192.168.8.243,104.21.170.201,443,292,0.986,NORMAL_0319
